Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,5.9e-05,16.141873,[21 33] ; [ 4 53],[12.16216216 41.83783784] ; [12.83783784 44.16216216],1
s7,1,6.6e-05,15.930865,[40 13] ; [21 35],[29.66055046 23.33944954] ; [31.33944954 24.66055046],1
d2,1,0.000102,15.10375,[34 20] ; [15 42],[23.83783784 30.16216216] ; [25.16216216 31.83783784],1
d1,1,0.0003,13.070272,[41 13] ; [24 33],[31.62162162 22.37837838] ; [33.37837838 23.62162162],1
s2,1,0.001132,10.598033,[46  7] ; [33 23],[38.41284404 14.58715596] ; [40.58715596 15.41284404],0
s3,1,0.001829,9.713544,[45  8] ; [33 24],[37.58181818 15.41818182] ; [40.41818182 16.58181818],0
p6,1,0.004127,8.227226,[30 24] ; [16 40],[22.58181818 31.41818182] ; [23.41818182 32.58181818],0
a2,1,0.009435,6.738656,[19 35] ; [ 8 49],[13.13513514 40.86486486] ; [13.86486486 43.13513514],0
p5,1,0.011749,6.348393,[ 8 46] ; [ 1 56],[ 4.37837838 49.62162162] ; [ 4.62162162 52.37837838],0
p4,1,0.011779,6.343843,[40 14] ; [29 28],[33.56756757 20.43243243] ; [35.43243243 21.56756757],0
s5,1,0.013549,6.096031,[29 19] ; [19 34],[22.81188119 25.18811881] ; [25.18811881 27.81188119],0
p7,1,0.019989,5.412875,[37 15] ; [27 28],[31.10280374 20.89719626] ; [32.89719626 22.10280374],0
d5,1,0.025076,5.018601,[48  6] ; [41 16],[43.2972973 10.7027027] ; [45.7027027 11.2972973],0
s6,1,0.047719,3.919863,[48  5] ; [42 13],[44.16666667  8.83333333] ; [45.83333333  9.16666667],0
r4,1,0.107879,2.585019,[50  4] ; [47 10],[47.18918919  6.81081081] ; [49.81081081  7.18918919],0
b5,1,0.113293,2.50767,[44 10] ; [39 18],[40.37837838 13.62162162] ; [42.62162162 14.37837838],0
p2,1,0.118896,2.431806,[47  7] ; [43 14],[43.78378378 10.21621622] ; [46.21621622 10.78378378],0
p8,1,0.1234,2.373626,[30 24] ; [22 32],[26. 28.] ; [26. 28.],0
p10,1,0.163445,1.942056,[47  7] ; [43 13],[44.18181818  9.81818182] ; [45.81818182 10.18181818],0
p9,1,0.176381,1.827859,[49  5] ; [45 10],[46.56880734  7.43119266] ; [47.43119266  7.56880734],0
n4,1,0.178945,1.806367,[37 17] ; [32 25],[33.56756757 20.43243243] ; [35.43243243 21.56756757],0
v1,1,0.184628,1.759974,[29 25] ; [23 33],[25.52727273 28.47272727] ; [26.47272727 29.52727273],0
n2,1,0.199482,1.646161,[7 4] ; [12  2],[8.36 2.64] ; [10.64  3.36],0
n5,1,0.216028,1.530563,[40 14] ; [36 21],[36.97297297 17.02702703] ; [39.02702703 17.97297297],0
n3,1,0.226765,1.461039,[10  1] ; [10  4],[8.8 2.2] ; [11.2  2.8],0
n1,1,0.226765,1.461039,[ 1 10] ; [ 4 10],[2.2 8.8] ; [ 2.8 11.2],0
a4,1,0.229295,1.445227,[25 29] ; [20 37],[21.89189189 32.10810811] ; [23.10810811 33.89189189],0
n6,1,0.245793,1.34706,[44 10] ; [50  6],[46.14545455  7.85454545] ; [47.85454545  8.14545455],0
u3,1,0.266636,1.233974,[11  4] ; [11  9],[9.42857143 5.57142857] ; [12.57142857  7.42857143],0
a6,1,0.281738,1.158689,[41 13] ; [38 19],[38.43243243 15.56756757] ; [40.56756757 16.43243243],0
r1,1,0.344634,0.893116,[43 11] ; [41 16],[40.86486486 13.13513514] ; [43.13513514 13.86486486],0
a8,1,0.35898,0.841458,[ 4 45] ; [ 2 50],[ 2.91089109 46.08910891] ; [ 3.08910891 48.91089109],0
v3,1,0.359201,0.840685,[17 37] ; [13 42],[14.86238532 39.13761468] ; [15.13761468 39.86238532],0
p12,1,0.363931,0.824283,[ 4 50] ; [ 2 55],[ 2.91891892 51.08108108] ; [ 3.08108108 53.91891892],0
b2,1,0.391862,0.733158,[ 9 22] ; [ 5 21],[ 7.61403509 23.38596491] ; [ 6.38596491 19.61403509],0
b3,1,0.391862,0.733158,[ 9 22] ; [ 5 21],[ 7.61403509 23.38596491] ; [ 6.38596491 19.61403509],0
a5,1,0.393432,0.728309,[40 14] ; [38 19],[37.94594595 16.05405405] ; [40.05405405 16.94594595],0
p3,1,0.404166,0.695898,[27 27] ; [24 33],[24.81081081 29.18918919] ; [26.18918919 30.81081081],0
a3,1,0.407413,0.686338,[39 15] ; [37 20],[36.97297297 17.02702703] ; [39.02702703 17.97297297],0
p11,1,0.407413,0.686338,[39 15] ; [37 20],[36.97297297 17.02702703] ; [39.02702703 17.97297297],0
u2,1,0.485667,0.486111,[7 8] ; [ 7 13],[6. 9.] ; [ 8. 12.],0
