Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000484,12.178123,[8 9] ; [65 11],[13.34408602  3.65591398] ; [59.65591398 16.34408602],1
d2,1,0.001935,9.60982,[ 3 14] ; [45 31],[8.77419355 8.22580645] ; [39.22580645 36.77419355],0
r2,1,0.010879,6.484962,[12  4] ; [72  4],[14.60869565  1.39130435] ; [69.39130435  6.60869565],0
s8,1,0.013645,6.083545,[ 6 11] ; [50 24],[10.46153846  6.53846154] ; [45.53846154 28.46153846],0
r4,1,0.015178,5.895702,[13  4] ; [72  4],[15.53763441  1.46236559] ; [69.46236559  6.53763441],0
a5,1,0.026744,4.907255,[9 8] ; [60 16],[12.61290323  4.38709677] ; [56.38709677 19.61290323],0
p1,1,0.068185,3.326175,[ 2 15] ; [26 50],[ 5.11827957 11.88172043] ; [22.88172043 53.11827957],0
a4,1,0.072701,3.220965,[ 4 13] ; [36 40],[7.31182796 9.68817204] ; [32.68817204 43.31182796],0
v3,1,0.078339,3.099032,[ 6 11] ; [43 30],[9.25555556 7.74444444] ; [39.74444444 33.25555556],0
p6,1,0.085391,2.959183,[7 9] ; [50 25],[10.02197802  5.97802198] ; [46.97802198 28.02197802],0
n5,1,0.098404,2.731224,[13  4] ; [69  7],[14.98924731  2.01075269] ; [67.01075269  8.98924731],0
s7,1,0.109307,2.564213,[9 7] ; [54 17],[11.5862069  4.4137931] ; [51.4137931 19.5862069],0
a1,1,0.148254,2.090127,[ 4 13] ; [ 8 68],[ 2.19354839 14.80645161] ; [ 9.80645161 66.19354839],0
d1,1,0.149572,2.076611,[8 9] ; [50 26],[10.60215054  6.39784946] ; [47.39784946 28.60215054],0
p7,1,0.155367,2.018746,[12  5] ; [63 11],[14.01098901  2.98901099] ; [60.98901099 13.01098901],0
s3,1,0.161132,1.963571,[8 9] ; [49 26],[10.5326087  6.4673913] ; [46.4673913 28.5326087],0
d5,1,0.245633,1.347972,[12  5] ; [63 13],[13.70967742  3.29032258] ; [61.29032258 14.70967742],0
u2,1,0.278503,1.174381,[7 2] ; [6 5],[5.85 3.15] ; [7.15 3.85],0
u3,1,0.278503,1.174381,[7 2] ; [6 5],[5.85 3.15] ; [7.15 3.85],0
b2,1,0.283018,1.152542,[6 3] ; [28 31],[4.5 4.5] ; [29.5 29.5],0
b3,1,0.283018,1.152542,[6 3] ; [28 31],[4.5 4.5] ; [29.5 29.5],0
n4,1,0.310071,1.030375,[14  3] ; [69  7],[15.17204301  1.82795699] ; [67.82795699  8.17204301],0
p4,1,0.310071,1.030375,[14  3] ; [69  7],[15.17204301  1.82795699] ; [67.82795699  8.17204301],0
n6,1,0.323936,0.97299,[15  2] ; [72  4],[15.90322581  1.09677419] ; [71.09677419  4.90322581],0
n1,1,0.329114,0.952381,[2 4] ; [8 6],[3. 3.] ; [7. 7.],0
s4,1,0.331546,0.94285,[ 1 16] ; [11 64],[ 2.2173913 14.7826087] ; [ 9.7826087 65.2173913],0
s6,1,0.460247,0.545294,[13  4] ; [58 11],[14.03488372  2.96511628] ; [56.96511628 12.03488372],0
v2,1,0.509481,0.435133,[9 8] ; [45 28],[10.2  6.8] ; [43.8 29.2],0
a7,1,0.529215,0.395898,[11  6] ; [55 21],[12.06451613  4.93548387] ; [53.93548387 22.06451613],0
p3,1,0.535572,0.383808,[13  4] ; [63 13],[13.89247312  3.10752688] ; [62.10752688 13.89247312],0
p8,1,0.552307,0.353201,[13  4] ; [62 13],[13.85869565  3.14130435] ; [61.14130435 13.85869565],0
v1,1,0.560359,0.339083,[12  4] ; [50 24],[11.02222222  4.97777778] ; [50.97777778 23.02222222],0
a6,1,0.565206,0.33077,[9 8] ; [46 30],[10.05376344  6.94623656] ; [44.94623656 31.05376344],0
n2,1,0.573138,0.31746,[4 2] ; [11  3],[4.5 1.5] ; [10.5  3.5],0
s2,1,0.593553,0.28483,[9 8] ; [45 30],[9.97826087 7.02173913] ; [44.02173913 30.97826087],0
p11,1,0.629432,0.232832,[14  3] ; [66 10],[14.62365591  2.37634409] ; [65.37634409 10.62365591],0
d3,1,0.685629,0.163859,[11  6] ; [53 23],[11.69892473  5.30107527] ; [52.30107527 23.69892473],0
n3,1,0.690328,0.15873,[4 2] ; [8 6],[3.6 2.4] ; [8.4 5.6],0
b4,1,0.709204,0.139074,[9 8] ; [44 32],[9.68817204 7.31182796] ; [43.31182796 32.68817204],0
d4,1,0.770914,0.084786,[15  2] ; [65 11],[14.62365591  2.37634409] ; [65.37634409 10.62365591],0
b5,1,0.78925,0.071441,[ 7 10] ; [34 42],[7.49462366 9.50537634] ; [33.50537634 42.49462366],0
p12,1,0.91325,0.011868,[ 4 12] ; [20 56],[ 4.17391304 11.82608696] ; [19.82608696 56.17391304],0
s1,1,0.915831,0.01117,[ 1 16] ; [ 5 71],[ 1.09677419 15.90322581] ; [ 4.90322581 71.09677419],0
r3,1,0.928164,0.008128,[16  1] ; [71  4],[16.07608696  0.92391304] ; [70.92391304  4.07608696],0
b1,1,0.94407,0.004922,[ 7 10] ; [32 44],[7.12903226 9.87096774] ; [31.87096774 44.12903226],0
p10,1,0.961369,0.002346,[15  1] ; [71  5],[14.95652174  1.04347826] ; [71.04347826  4.95652174],0
s5,1,1.0,0.0,[10  5] ; [46 23],[10.  5.] ; [46. 23.],0
