Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3e-06,21.73631,[82  8] ; [14 13],[73.84615385 16.15384615] ; [22.15384615  4.84615385],1
r1,1,5.1e-05,16.4122,[72 17] ; [11 16],[63.68103448 25.31896552] ; [19.31896552  7.68103448],1
s2,1,9.6e-05,15.219655,[74 16] ; [12 15],[66.15384615 23.84615385] ; [19.84615385  7.15384615],1
s8,1,0.000285,13.16365,[49 41] ; [ 4 23],[40.76923077 49.23076923] ; [12.23076923 14.76923077],1
d5,1,0.000908,11.006969,[70 20] ; [12 15],[63.07692308 26.92307692] ; [18.92307692  8.07692308],1
a7,1,0.001128,10.604559,[72 18] ; [13 14],[65.38461538 24.61538462] ; [19.61538462  7.38461538],0
s4,1,0.001515,10.060493,[36 54] ; [ 2 25],[29.23076923 60.76923077] ; [ 8.76923077 18.23076923],0
s1,1,0.002153,9.414625,[ 1 88] ; [ 4 23],[ 3.8362069 85.1637931] ; [ 1.1637931 25.8362069],0
d3,1,0.00391,8.324952,[64 26] ; [11 16],[57.69230769 32.30769231] ; [17.30769231  9.69230769],0
d4,1,0.003991,8.287933,[78 12] ; [16 10],[72.93103448 17.06896552] ; [21.06896552  4.93103448],0
p10,1,0.00462,8.022537,[69 19] ; [13 13],[63.29824561 24.70175439] ; [18.70175439  7.29824561],0
r2,1,0.006108,7.518234,[87  3] ; [22  5],[83.84615385  6.15384615] ; [25.15384615  1.84615385],0
p9,1,0.006849,7.312215,[73 14] ; [16 11],[67.92105263 19.07894737] ; [21.07894737  5.92105263],0
s5,1,0.007141,7.237039,[41 45] ; [ 5 22],[35.00884956 50.99115044] ; [10.99115044 16.00884956],0
s7,1,0.007697,7.102679,[43 43] ; [ 5 20],[37.18918919 48.81081081] ; [10.81081081 14.18918919],0
v3,1,0.012786,6.198436,[28 56] ; [ 2 23],[23.11926606 60.88073394] ; [ 6.88073394 18.11926606],0
b5,1,0.015413,5.868627,[57 33] ; [10 17],[51.53846154 38.46153846] ; [15.46153846 11.53846154],0
v4,1,0.02336,5.141534,[85  5] ; [20  5],[82.17391304  7.82608696] ; [22.82608696  2.17391304],0
d1,1,0.023665,5.119035,[49 41] ; [ 8 19],[43.84615385 46.15384615] ; [13.15384615 13.84615385],0
v2,1,0.027852,4.837231,[45 36] ; [ 8 18],[40.12149533 40.87850467] ; [12.87850467 13.12149533],0
a6,1,0.047435,3.92988,[65 25] ; [14 13],[60.76923077 29.23076923] ; [18.23076923  8.76923077],0
p8,1,0.047607,3.923795,[43 45] ; [ 7 19],[38.59649123 49.40350877] ; [11.40350877 14.59649123],0
a5,1,0.04782,3.916299,[56 34] ; [11 16],[51.53846154 38.46153846] ; [15.46153846 11.53846154],0
p2,1,0.071916,3.238746,[71 19] ; [16 10],[67.5 22.5] ; [19.5  6.5],0
n6,1,0.075973,3.149012,[56 32] ; [12 15],[52.03478261 35.96521739] ; [15.96521739 11.03478261],0
p6,1,0.079117,3.082953,[25 63] ; [ 3 23],[21.61403509 66.38596491] ; [ 6.38596491 19.61403509],0
b4,1,0.102967,2.658981,[59 31] ; [13 14],[55.38461538 34.61538462] ; [16.61538462 10.38461538],0
