Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.00029,13.133234,[41 12] ; [ 5 12],[34.82857143 18.17142857] ; [11.17142857  5.82857143],1
a4,1,0.000485,12.172032,[14 43] ; [12  5],[20.02702703 36.97297297] ; [ 5.97297297 11.02702703],1
p8,1,0.00227,9.317647,[33 22] ; [ 3 14],[27.5 27.5] ; [8.5 8.5],0
a7,1,0.003697,8.426746,[49  8] ; [9 8],[44.67567568 12.32432432] ; [13.32432432  3.67567568],0
d2,1,0.014022,6.035394,[21 36] ; [12  5],[25.41891892 31.58108108] ; [7.58108108 9.41891892],0
a3,1,0.019068,5.495227,[37 20] ; [16  1],[40.82432432 16.17567568] ; [12.17567568  4.82432432],0
p9,1,0.021861,5.256845,[49  7] ; [10  6],[45.88888889 10.11111111] ; [13.11111111  2.88888889],0
v4,1,0.023908,5.101309,[54  3] ; [13  4],[51.60810811  5.39189189] ; [15.39189189  1.60810811],0
d1,1,0.028411,4.802977,[23 34] ; [12  5],[26.95945946 30.04054054] ; [8.04054054 8.95945946],0
p10,1,0.031431,4.629252,[49  7] ; [11  6],[46.02739726  9.97260274] ; [13.97260274  3.02739726],0
b4,1,0.065984,3.380205,[33 24] ; [14  3],[36.2027027 20.7972973] ; [10.7972973  6.2027027],0
a6,1,0.079732,3.070361,[40 17] ; [8 9],[36.97297297 20.02702703] ; [11.02702703  5.97297297],0
n1,1,0.079741,3.070175,[ 6 13] ; [6 3],[ 8.14285714 10.85714286] ; [3.85714286 5.14285714],0
d3,1,0.104843,2.63028,[42 15] ; [9 8],[39.28378378 17.71621622] ; [11.71621622  5.28378378],0
s4,1,0.131809,2.271067,[25 32] ; [ 4 13],[22.33783784 34.66216216] ; [ 6.66216216 10.33783784],0
p3,1,0.1513,2.059097,[28 29] ; [ 5 12],[25.41891892 31.58108108] ; [7.58108108 9.41891892],0
r1,1,0.239383,1.384226,[42 15] ; [10  7],[40.05405405 16.94594595] ; [11.94594595  5.05405405],0
b1,1,0.292757,1.106897,[22 35] ; [9 8],[23.87837838 33.12162162] ; [7.12162162 9.87837838],0
p4,1,0.292757,1.106897,[35 22] ; [8 9],[33.12162162 23.87837838] ; [9.87837838 7.12162162],0
v2,1,0.339925,0.910714,[27 27] ; [9 5],[28.58823529 25.41176471] ; [7.41176471 6.58823529],0
u4,1,0.35697,0.848527,[ 1 56] ; [ 1 16],[ 1.54054054 55.45945946] ; [ 0.45945946 16.54054054],0
a2,1,0.373998,0.790337,[11 46] ; [ 5 12],[12.32432432 44.67567568] ; [ 3.67567568 13.32432432],0
v3,1,0.390248,0.738168,[18 36] ; [ 3 11],[16.67647059 37.32352941] ; [4.32352941 9.67647059],0
a5,1,0.41438,0.666199,[34 23] ; [12  5],[35.43243243 21.56756757] ; [10.56756757  6.43243243],0
s5,1,0.47602,0.507967,[22 33] ; [8 8],[23.23943662 31.76056338] ; [6.76056338 9.23943662],0
n3,1,0.506984,0.440286,[13  6] ; [5 4],[12.21428571  6.78571429] ; [5.78571429 3.21428571],0
r3,1,0.553432,0.351204,[50  6] ; [16  1],[50.63013699  5.36986301] ; [15.36986301  1.63013699],0
s3,1,0.573284,0.317218,[36 21] ; [12  5],[36.97297297 20.02702703] ; [11.02702703  5.97297297],0
n5,1,0.578818,0.308149,[24 32] ; [ 6 11],[23.01369863 32.98630137] ; [ 6.98630137 10.01369863],0
n2,1,0.592516,0.286432,[15  4] ; [7 3],[14.4137931  4.5862069] ; [7.5862069 2.4137931],0
s8,1,0.647172,0.209484,[37 20] ; [10  7],[36.2027027 20.7972973] ; [10.7972973  6.2027027],0
d4,1,0.650134,0.205731,[44 13] ; [14  3],[44.67567568 12.32432432] ; [13.32432432  3.67567568],0
b2,1,0.679126,0.171111,[13 17] ; [7 7],[13.63636364 16.36363636] ; [6.36363636 7.63636364],0
b3,1,0.679126,0.171111,[13 17] ; [7 7],[13.63636364 16.36363636] ; [6.36363636 7.63636364],0
a8,1,0.692005,0.156924,[ 5 48] ; [ 1 15],[ 4.60869565 48.39130435] ; [ 1.39130435 14.60869565],0
r2,1,0.701665,0.146745,[52  5] ; [16  1],[52.37837838  4.62162162] ; [15.62162162  1.37837838],0
s6,1,0.703307,0.145055,[46 11] ; [13  4],[45.44594595 11.55405405] ; [13.55405405  3.44594595],0
s2,1,0.746389,0.10459,[36 21] ; [10  7],[35.43243243 21.56756757] ; [10.56756757  6.43243243],0
p11,1,0.773969,0.082477,[39 18] ; [11  6],[38.51351351 18.48648649] ; [11.48648649  5.51351351],0
n6,1,0.808588,0.058684,[38 18] ; [11  6],[37.5890411 18.4109589] ; [11.4109589  5.5890411],0
b5,1,0.81584,0.054242,[32 25] ; [9 8],[31.58108108 25.41891892] ; [9.41891892 7.58108108],0
p1,1,0.903347,0.014746,[ 6 50] ; [ 2 15],[ 6.1369863 49.8630137] ; [ 1.8630137 15.1369863],0
p6,1,0.954809,0.003211,[19 36] ; [ 6 11],[19.09722222 35.90277778] ; [ 5.90277778 11.09722222],0
v1,1,0.963608,0.002082,[30 26] ; [9 8],[29.91780822 26.08219178] ; [9.08219178 7.91780822],0
r4,1,0.99217,9.6e-05,[47 10] ; [14  3],[46.98648649 10.01351351] ; [14.01351351  2.98648649],0
