Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,42.540182,[68  9] ; [ 6 21],[54.78846154 22.21153846] ; [19.21153846  7.78846154],1
s7,1,2.3e-05,17.919665,[57 17] ; [ 9 19],[47.88235294 26.11764706] ; [18.11764706  9.88235294],1
s6,1,0.008183,6.993,[65  8] ; [18  9],[60.59 12.41] ; [22.41  4.59],0
s8,1,0.008675,6.888625,[47 30] ; [ 9 19],[41.06666667 35.93333333] ; [14.93333333 13.06666667],0
u2,1,0.010407,6.56382,[11  6] ; [ 2 10],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
r2,1,0.010569,6.536352,[72  4] ; [21  6],[68.62135922  7.37864078] ; [24.37864078  2.62135922],0
a3,1,0.035211,4.434912,[60 17] ; [16 12],[55.73333333 21.26666667] ; [20.26666667  7.73333333],0
v3,1,0.047773,3.917946,[27 50] ; [ 4 23],[22.95192308 54.04807692] ; [ 8.04807692 18.95192308],0
p2,1,0.060681,3.518669,[65 12] ; [19  9],[61.6 15.4] ; [22.4  5.6],0
b3,1,0.062573,3.467852,[ 6 37] ; [ 6 11],[ 8.6 34.4] ; [ 3.4 13.6],0
b2,1,0.062573,3.467852,[ 6 37] ; [ 6 11],[ 8.6 34.4] ; [ 3.4 13.6],0
a6,1,0.075784,3.153074,[53 24] ; [14 14],[49.13333333 27.86666667] ; [17.86666667 10.13333333],0
r3,1,0.083536,2.994721,[71  5] ; [23  5],[68.69230769  7.30769231] ; [25.30769231  2.69230769],0
u3,1,0.119358,2.425726,[12  5] ; [5 7],[9.96551724 7.03448276] ; [7.03448276 4.96551724],0
b1,1,0.119766,2.420378,[35 42] ; [ 8 20],[31.53333333 45.46666667] ; [11.46666667 16.53333333],0
n5,1,0.139472,2.183778,[67 10] ; [21  7],[64.53333333 12.46666667] ; [23.46666667  4.53333333],0
r4,1,0.141154,2.165335,[69  8] ; [22  6],[66.73333333 10.26666667] ; [24.26666667  3.73333333],0
p3,1,0.143994,2.134746,[48 29] ; [13 15],[44.73333333 32.26666667] ; [16.26666667 11.73333333],0
p11,1,0.226668,1.461648,[61 16] ; [19  9],[58.66666667 18.33333333] ; [21.33333333  6.66666667],0
r1,1,0.247344,1.338246,[63 14] ; [20  8],[60.86666667 16.13333333] ; [22.13333333  5.86666667],0
n2,1,0.259177,1.273148,[14  4] ; [2 2],[13.09090909  4.90909091] ; [2.90909091 1.09090909],0
d1,1,0.288985,1.124344,[50 27] ; [15 13],[47.66666667 29.33333333] ; [17.33333333 10.66666667],0
b4,1,0.329761,0.949836,[44 33] ; [13 15],[41.8 35.2] ; [15.2 12.8],0
p12,1,0.34582,0.888736,[ 7 70] ; [ 1 27],[ 5.86666667 71.13333333] ; [ 2.13333333 25.86666667],0
s1,1,0.34582,0.888736,[ 7 70] ; [ 1 27],[ 5.86666667 71.13333333] ; [ 2.13333333 25.86666667],0
a2,1,0.387829,0.745739,[20 57] ; [ 5 23],[18.33333333 58.66666667] ; [ 6.66666667 21.33333333],0
p5,1,0.405208,0.692815,[10 67] ; [ 2 26],[ 8.8 68.2] ; [ 3.2 24.8],0
a4,1,0.409983,0.678849,[40 37] ; [12 16],[38.13333333 38.86666667] ; [13.86666667 14.13333333],0
p9,1,0.410899,0.676199,[68  9] ; [23  5],[66.73333333 10.26666667] ; [24.26666667  3.73333333],0
n6,1,0.410899,0.676199,[68  9] ; [23  5],[66.73333333 10.26666667] ; [24.26666667  3.73333333],0
v2,1,0.42337,0.640942,[34 42] ; [15 13],[35.80769231 40.19230769] ; [13.19230769 14.80769231],0
a8,1,0.446359,0.579882,[ 6 66] ; [ 1 25],[ 5.14285714 66.85714286] ; [ 1.85714286 24.14285714],0
d2,1,0.461458,0.542355,[42 35] ; [13 15],[40.33333333 36.66666667] ; [14.66666667 13.33333333],0
u1,1,0.461873,0.541351,[19 58] ; [ 5 23],[17.6 59.4] ; [ 6.4 21.6],0
v1,1,0.479892,0.499109,[38 39] ; [16 12],[39.6 37.4] ; [14.4 13.6],0
v4,1,0.499248,0.456535,[73  3] ; [26  2],[72.34615385  3.65384615] ; [26.65384615  1.34615385],0
p4,1,0.515113,0.423666,[52 25] ; [17 11],[50.6 26.4] ; [18.4  9.6],0
d3,1,0.531842,0.39087,[57 20] ; [19  9],[55.73333333 21.26666667] ; [20.26666667  7.73333333],0
s5,1,0.581303,0.304133,[37 31] ; [13 14],[35.78947368 32.21052632] ; [14.21052632 12.78947368],0
a5,1,0.585502,0.297424,[59 18] ; [20  8],[57.93333333 19.06666667] ; [21.06666667  6.93333333],0
p8,1,0.586586,0.295708,[44 32] ; [14 13],[42.7961165 33.2038835] ; [15.2038835 11.7961165],0
d4,1,0.643777,0.213836,[61 16] ; [21  7],[60.13333333 16.86666667] ; [21.86666667  6.13333333],0
a7,1,0.688888,0.160292,[49 28] ; [19  9],[49.86666667 27.13333333] ; [18.13333333  9.86666667],0
