Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3e-05,17.443801,[ 2 41] ; [14 17],[ 9.2972973 33.7027027] ; [ 6.7027027 24.2972973],1
s3,1,3.7e-05,17.026363,[12 30] ; [24  7],[20.71232877 21.28767123] ; [15.28767123 15.71232877],1
s2,1,0.000451,12.307178,[ 8 35] ; [18 13],[15.10810811 27.89189189] ; [10.89189189 20.10810811],1
v4,1,0.001121,10.616327,[27 15] ; [29  1],[32.66666667  9.33333333] ; [23.33333333  6.66666667],0
p2,1,0.001262,10.397681,[22 21] ; [27  4],[28.47297297 14.52702703] ; [20.52702703 10.47297297],0
s7,1,0.003704,8.423333,[ 6 34] ; [14 16],[11.42857143 28.57142857] ; [ 8.57142857 21.42857143],0
r3,1,0.005373,7.749563,[26 17] ; [27  3],[31.21917808 11.78082192] ; [21.78082192  8.21917808],0
p4,1,0.007852,7.067032,[ 7 35] ; [14 17],[12.08219178 29.91780822] ; [ 8.91780822 22.08219178],0
p7,1,0.01073,6.509523,[15 26] ; [19  9],[20.20289855 20.79710145] ; [13.79710145 14.20289855],0
s5,1,0.011847,6.333568,[ 4 38] ; [10 20],[ 8.16666667 33.83333333] ; [ 5.83333333 24.16666667],0
p3,1,0.013912,6.049338,[ 5 38] ; [11 20],[ 9.2972973 33.7027027] ; [ 6.7027027 24.2972973],0
s4,1,0.014326,5.997482,[ 6 37] ; [12 19],[10.45945946 32.54054054] ; [ 7.54054054 23.45945946],0
p11,1,0.033962,4.496624,[17 26] ; [20 11],[21.5 21.5] ; [15.5 15.5],0
d3,1,0.042284,4.123788,[17 25] ; [20 11],[21.28767123 20.71232877] ; [15.71232877 15.28767123],0
v1,1,0.054385,3.700848,[12 31] ; [15 15],[15.90410959 27.09589041] ; [11.09589041 18.90410959],0
d5,1,0.06987,3.286069,[20 23] ; [21 10],[23.82432432 19.17567568] ; [17.17567568 13.82432432],0
d4,1,0.071145,3.256406,[24 18] ; [24  7],[27.61643836 14.38356164] ; [20.38356164 10.61643836],0
p9,1,0.072184,3.232653,[22 20] ; [22  8],[25.66666667 16.33333333] ; [18.33333333 11.66666667],0
u3,1,0.085018,2.96627,[13 15] ; [13  5],[15.82608696 12.17391304] ; [10.17391304  7.82608696],0
p8,1,0.139114,2.187727,[12 31] ; [13 16],[14.93055556 28.06944444] ; [10.06944444 18.93055556],0
p6,1,0.148074,2.091978,[10 33] ; [11 17],[12.71830986 30.28169014] ; [ 8.28169014 19.71830986],0
r4,1,0.180653,1.792241,[21 22] ; [20 11],[23.82432432 19.17567568] ; [17.17567568 13.82432432],0
p10,1,0.187055,1.740659,[20 22] ; [19 11],[22.75 19.25] ; [16.25 13.75],0
