Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.010352,6.573215,[38  3] ; [53 20],[32.72807018  8.27192982] ; [58.27192982 14.72807018],0
s7,1,0.012175,6.285243,[29 11] ; [33 36],[22.75229358 17.24770642] ; [39.24770642 29.75229358],0
p5,1,0.019906,5.420088,[ 9 32] ; [ 5 67],[ 5.07964602 35.92035398] ; [ 8.92035398 63.07964602],0
p9,1,0.025584,4.983949,[36  4] ; [51 20],[31.35135135  8.64864865] ; [55.64864865 15.35135135],0
b5,1,0.035872,4.403177,[21 22] ; [50 23],[26.31896552 16.68103448] ; [44.68103448 28.31896552],0
p8,1,0.084314,2.979717,[24 17] ; [30 42],[19.59292035 21.40707965] ; [34.40707965 37.59292035],0
d5,1,0.086923,2.930452,[34  9] ; [46 26],[29.91304348 13.08695652] ; [50.08695652 21.91304348],0
p3,1,0.103539,2.65016,[19 23] ; [22 51],[14.97391304 27.02608696] ; [26.02608696 46.97391304],0
n1,1,0.106864,2.6,[7 6] ; [ 3 10],[5. 8.] ; [5. 8.],0
p2,1,0.111566,2.5319,[36  5] ; [55 18],[32.72807018  8.27192982] ; [58.27192982 14.72807018],0
s4,1,0.118355,2.438954,[15 27] ; [16 56],[11.42105263 30.57894737] ; [19.57894737 52.42105263],0
v1,1,0.161829,1.957051,[23 20] ; [28 42],[19.40707965 23.59292035] ; [31.59292035 38.40707965],0
p6,1,0.169351,1.888683,[18 23] ; [22 49],[14.64285714 26.35714286] ; [25.35714286 45.64285714],0
b4,1,0.1802,1.795977,[29 14] ; [40 33],[25.57758621 17.42241379] ; [43.42241379 29.57758621],0
v4,1,0.2016,1.630746,[41  1] ; [66  6],[39.42105263  2.57894737] ; [67.57894737  4.42105263],0
r2,1,0.234222,1.415036,[41  2] ; [64  8],[39.26086957  3.73913043] ; [65.73913043  6.26086957],0
p10,1,0.240038,1.380373,[35  6] ; [54 17],[32.58035714  8.41964286] ; [56.41964286 14.58035714],0
p4,1,0.275127,1.191003,[24 18] ; [34 39],[21.1826087 20.8173913] ; [36.8173913 36.1826087],0
u1,1,0.277801,1.177815,[ 3 40] ; [ 2 71],[ 1.85344828 41.14655172] ; [ 3.14655172 69.85344828],0
d2,1,0.289153,1.123561,[ 7 36] ; [18 55],[ 9.26724138 33.73275862] ; [15.73275862 57.26724138],0
a4,1,0.309403,1.033221,[ 9 34] ; [10 63],[ 7.04310345 35.95689655] ; [11.95689655 61.04310345],0
v3,1,0.320683,0.986159,[15 26] ; [19 50],[12.67272727 28.32727273] ; [21.32727273 47.67272727],0
s3,1,0.371357,0.799119,[39  4] ; [62 11],[37.43965517  5.56034483] ; [63.56034483  9.43965517],0
n4,1,0.376698,0.781451,[30 13] ; [45 28],[27.80172414 15.19827586] ; [47.19827586 25.80172414],0
r3,1,0.424623,0.637484,[41  1] ; [68  4],[40.15789474  1.84210526] ; [68.84210526  3.15789474],0
n3,1,0.431401,0.619048,[8 5] ; [6 7],[7. 6.] ; [7. 6.],0
n6,1,0.464996,0.533841,[34  8] ; [54 18],[32.42105263  9.57894737] ; [55.57894737 16.42105263],0
p12,1,0.481247,0.496037,[ 3 39] ; [ 3 70],[ 2.19130435 39.80869565] ; [ 3.80869565 69.19130435],0
a7,1,0.494484,0.466754,[27 16] ; [49 22],[28.66666667 14.33333333] ; [47.33333333 23.66666667],0
a3,1,0.534847,0.385174,[22 21] ; [33 40],[20.38793103 22.61206897] ; [34.61206897 38.38793103],0
r4,1,0.587942,0.29357,[37  6] ; [60 13],[35.95689655  7.04310345] ; [61.04310345 11.95689655],0
d3,1,0.667555,0.184476,[28 15] ; [44 28],[26.92173913 16.07826087] ; [45.07826087 26.92173913],0
p7,1,0.670856,0.180602,[25 14] ; [47 22],[26. 13.] ; [46. 23.],0
p11,1,0.683291,0.166445,[31 12] ; [50 23],[30.02586207 12.97413793] ; [50.97413793 22.02586207],0
u3,1,0.694194,0.154582,[14  7] ; [24 15],[13.3  7.7] ; [24.7 14.3],0
s1,1,0.747767,0.103417,[ 3 39] ; [ 4 67],[ 2.60176991 39.39823009] ; [ 4.39823009 66.60176991],0
b1,1,0.756895,0.095828,[17 26] ; [31 42],[17.79310345 25.20689655] ; [30.20689655 42.79310345],0
u2,1,0.764012,0.09013,[13  8] ; [22 16],[12.45762712  8.54237288] ; [22.54237288 15.45762712],0
a6,1,0.813714,0.055525,[21 22] ; [34 39],[20.38793103 22.61206897] ; [34.61206897 38.38793103],0
a8,1,0.850782,0.035389,[ 5 34] ; [ 8 61],[ 4.69444444 34.30555556] ; [ 8.30555556 60.69444444],0
d4,1,0.864697,0.029036,[33 10] ; [55 18],[32.62068966 10.37931034] ; [55.37931034 17.62068966],0
b2,1,0.864929,0.028935,[ 5 21] ; [ 9 34],[ 5.27536232 20.72463768] ; [ 8.72463768 34.27536232],0
b3,1,0.864929,0.028935,[ 5 21] ; [ 9 34],[ 5.27536232 20.72463768] ; [ 8.72463768 34.27536232],0
a1,1,0.892034,0.018423,[ 1 42] ; [ 2 71],[ 1.11206897 41.88793103] ; [ 1.88793103 71.11206897],0
n5,1,0.892386,0.018302,[30 12] ; [53 20],[30.31304348 11.68695652] ; [52.68695652 20.31304348],0
v2,1,0.931751,0.007334,[18 24] ; [29 40],[17.78378378 24.21621622] ; [29.21621622 39.78378378],0
d1,1,0.93645,0.006357,[15 28] ; [26 47],[15.19827586 27.80172414] ; [25.80172414 47.19827586],0
r1,1,0.952693,0.003519,[31 12] ; [53 20],[31.13793103 11.86206897] ; [52.86206897 20.13793103],0
p1,1,0.983354,0.000435,[ 5 36] ; [ 9 64],[ 5.03508772 35.96491228] ; [ 8.96491228 64.03508772],0
s8,1,0.994698,4.4e-05,[20 23] ; [34 39],[20.01724138 22.98275862] ; [33.98275862 39.01724138],0
