Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,1.3e-05,18.998037,[334  57] ; [36 22],[322.20489978  68.79510022] ; [47.79510022 10.20489978],1
s6,1,1.4e-05,18.881136,[345  40] ; [40 18],[334.59367946  50.40632054] ; [50.40632054  7.59367946],1
s7,1,0.000152,14.353384,[278 101] ; [26 28],[266.08775982 112.91224018] ; [37.91224018 16.08775982],1
s8,1,0.006058,7.533079,[255 136] ; [27 31],[245.57238307 145.42761693] ; [36.42761693 21.57238307],0
n1,1,0.007142,7.236855,[39 44] ; [ 2 15],[34.03 48.97] ; [ 6.97 10.03],0
p11,1,0.008041,7.024406,[312  81] ; [37 21],[304.11751663  88.88248337] ; [44.88248337 13.11751663],0
p12,1,0.017211,5.674726,[ 48 342] ; [ 1 56],[ 42.75167785 347.24832215] ; [ 6.24832215 50.75167785],0
p9,1,0.018819,5.518267,[347  40] ; [45 12],[341.67567568  45.32432432] ; [50.32432432  6.67567568],0
r2,1,0.032974,4.547145,[382   8] ; [54  4],[379.55357143  10.44642857] ; [56.44642857  1.55357143],0
n3,1,0.047201,3.938224,[65 20] ; [9 8],[61.66666667 23.33333333] ; [12.33333333  4.66666667],0
r4,1,0.047547,3.925924,[372  21] ; [51  7],[368.60088692  24.39911308] ; [54.39911308  3.60088692],0
s5,1,0.064135,3.427083,[186 186] ; [21 36],[179.4965035 192.5034965] ; [27.5034965 29.4965035],0
p6,1,0.068934,3.308214,[161 226] ; [31 26],[167.35135135 219.64864865] ; [24.64864865 32.35135135],0
n4,1,0.076923,3.128744,[310  81] ; [40 18],[304.78841871  86.21158129] ; [45.21158129 12.78841871],0
n5,1,0.080608,3.052606,[308  83] ; [39 18],[302.85044643  88.14955357] ; [44.14955357 12.85044643],0
a3,1,0.150155,2.070671,[298  94] ; [39 19],[293.56444444  98.43555556] ; [43.43555556 14.56444444],0
u2,1,0.224348,1.476338,[58 35] ; [ 9 10],[55.63392857 37.36607143] ; [11.36607143  7.63392857],0
p1,1,0.239248,1.385018,[ 39 351] ; [ 3 55],[ 36.5625 353.4375] ; [ 5.4375 52.5625],0
p2,1,0.273046,1.20138,[331  60] ; [45 12],[328.16071429  62.83928571] ; [47.83928571  9.16071429],0
n2,1,0.275606,1.188628,[69 15] ; [12  5],[67.36633663 16.63366337] ; [13.63366337  3.36633663],0
p5,1,0.325644,0.966144,[ 52 335] ; [ 5 52],[ 49.68243243 337.31756757] ; [ 7.31756757 49.68243243],0
