Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,21.714308,[20  9] ; [ 4 30],[11.04761905 17.95238095] ; [12.95238095 21.04761905],1
n2,1,0.01128,6.42059,[12  2] ; [ 8 11],[8.48484848 5.51515152] ; [11.51515152  7.48484848],0
r4,1,0.016774,5.719848,[19 10] ; [12 22],[14.26984127 14.73015873] ; [16.73015873 17.26984127],0
b5,1,0.018342,5.563165,[18 11] ; [11 23],[13.34920635 15.65079365] ; [15.65079365 18.34920635],0
p11,1,0.020147,5.399087,[14 15] ; [ 7 27],[ 9.66666667 19.33333333] ; [11.33333333 22.66666667],0
r3,1,0.02865,4.788547,[23  6] ; [18 16],[18.87301587 10.12698413] ; [22.12698413 11.87301587],0
v4,1,0.03513,4.438826,[22  7] ; [17 17],[17.95238095 11.04761905] ; [21.04761905 12.95238095],0
v1,1,0.073104,3.211923,[12 17] ; [ 7 27],[ 8.74603175 20.25396825] ; [10.25396825 23.74603175],0
p3,1,0.124075,2.365113,[ 8 21] ; [ 4 29],[ 5.61290323 23.38709677] ; [ 6.38709677 26.61290323],0
s7,1,0.126687,2.332635,[ 9 18] ; [ 5 26],[ 6.51724138 20.48275862] ; [ 7.48275862 23.51724138],0
p7,1,0.127892,2.317906,[10 16] ; [ 7 27],[ 7.36666667 18.63333333] ; [ 9.63333333 24.36666667],0
s8,1,0.179749,1.799696,[ 6 23] ; [ 3 31],[ 4.14285714 24.85714286] ; [ 4.85714286 29.14285714],0
b3,1,0.191556,1.70561,[ 5 13] ; [11 12],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
b2,1,0.191556,1.70561,[ 5 13] ; [11 12],[ 7.02439024 10.97560976] ; [ 8.97560976 14.02439024],0
s2,1,0.210874,1.565416,[12 17] ; [ 9 25],[ 9.66666667 19.33333333] ; [11.33333333 22.66666667],0
s6,1,0.214452,1.541111,[11 18] ; [ 8 26],[ 8.74603175 20.25396825] ; [10.25396825 23.74603175],0
d4,1,0.267236,1.230882,[21  7] ; [21 13],[18.96774194  9.03225806] ; [23.03225806 10.96774194],0
