Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000141,14.49345,[22 14] ; [ 71 173],[11.95714286 24.04285714] ; [ 81.04285714 162.95714286],1
s7,1,0.00038,12.629604,[21 15] ; [ 68 170],[11.69343066 24.30656934] ; [ 77.30656934 160.69343066],1
s2,1,0.000981,10.86281,[23 14] ; [ 84 163],[13.94014085 23.05985915] ; [ 93.05985915 153.94014085],1
s8,1,0.009042,6.814418,[17 20] ; [ 63 186],[10.34965035 26.65034965] ; [ 69.65034965 179.34965035],0
p3,1,0.011149,6.44148,[12 26] ; [ 37 211],[ 6.51048951 31.48951049] ; [ 42.48951049 205.51048951],0
v4,1,0.025178,5.011597,[37  1] ; [204  40],[32.4751773  5.5248227] ; [208.5248227  35.4751773],0
a6,1,0.049232,3.867436,[29  9] ; [148 100],[23.51748252 14.48251748] ; [153.48251748  94.51748252],0
r3,1,0.074272,3.185993,[36  2] ; [205  40],[32.36042403  5.63957597] ; [208.63957597  36.36042403],0
r2,1,0.092727,2.826383,[37  1] ; [214  28],[34.06428571  3.93571429] ; [216.93571429  25.06428571],0
v2,1,0.093139,2.819258,[22 15] ; [104 129],[17.26666667 19.73333333] ; [108.73333333 124.26666667],0
s6,1,0.093235,2.817621,[23 14] ; [117 130],[18.23943662 18.76056338] ; [121.76056338 125.23943662],0
p2,1,0.097826,2.740638,[27 11] ; [141 107],[22.32167832 15.67832168] ; [145.67832168 102.32167832],0
s5,1,0.100248,2.701598,[11 22] ; [ 50 192],[ 7.32 25.68] ; [ 53.68 188.32],0
r4,1,0.11924,2.427281,[32  6] ; [180  69],[28.06968641  9.93031359] ; [183.93031359  65.06968641],0
u2,1,0.131371,2.276231,[9 3] ; [43 40],[6.56842105 5.43157895] ; [45.43157895 37.56842105],0
n6,1,0.247251,1.33877,[30  8] ; [171  74],[26.98939929 11.01060071] ; [174.01060071  70.98939929],0
a8,1,0.254174,1.300217,[ 2 33] ; [ 29 207],[ 4.00369004 30.99630996] ; [ 26.99630996 209.00369004],0
p1,1,0.287138,1.132994,[ 3 35] ; [ 10 238],[ 1.72727273 36.27272727] ; [ 11.27272727 236.72727273],0
n4,1,0.324267,0.97166,[28 10] ; [162  85],[25.33333333 12.66666667] ; [164.66666667  82.33333333],0
p11,1,0.331667,0.942379,[21 17] ; [158  91],[23.70034843 14.29965157] ; [155.29965157  93.70034843],0
s3,1,0.351853,0.866763,[21 17] ; [116 130],[18.33098592 19.66901408] ; [118.66901408 127.33098592],0
a1,1,0.355111,0.855108,[ 4 34] ; [ 16 233],[ 2.64808362 35.35191638] ; [ 17.35191638 231.64808362],0
n2,1,0.359192,0.840718,[11  3] ; [63 32],[9.50458716 4.49541284] ; [64.49541284 30.50458716],0
u1,1,0.373321,0.79258,[ 6 32] ; [ 27 222],[ 4.36933798 33.63066202] ; [ 28.63066202 220.36933798],0
b4,1,0.410149,0.678369,[21 17] ; [155  94],[23.30313589 14.69686411] ; [152.69686411  96.30313589],0
v1,1,0.456998,0.553238,[17 20] ; [ 96 147],[14.93214286 22.06785714] ; [ 98.06785714 144.93214286],0
d4,1,0.514272,0.425366,[31  7] ; [189  57],[29.43661972  8.56338028] ; [190.56338028  55.43661972],0
b3,1,0.517321,0.419231,[10 13] ; [51 89],[ 8.60736196 14.39263804] ; [52.39263804 87.60736196],0
b2,1,0.517321,0.419231,[10 13] ; [51 89],[ 8.60736196 14.39263804] ; [52.39263804 87.60736196],0
d3,1,0.518375,0.417125,[19 17] ; [145 103],[20.78873239 15.21126761] ; [143.21126761 104.78873239],0
b5,1,0.54397,0.368232,[25 13] ; [151  98],[23.30313589 14.69686411] ; [152.69686411  96.30313589],0
p9,1,0.580982,0.304649,[27 11] ; [161  81],[25.51428571 12.48571429] ; [162.48571429  79.51428571],0
u3,1,0.641381,0.216941,[7 5] ; [44 42],[6.24489796 5.75510204] ; [44.75510204 41.24489796],0
a4,1,0.649344,0.206728,[14 24] ; [101 147],[15.27972028 22.72027972] ; [ 99.72027972 148.27972028],0
p5,1,0.65818,0.195742,[ 1 37] ; [  4 243],[ 0.66666667 37.33333333] ; [  4.33333333 242.66666667],0
n1,1,0.668982,0.182796,[4 9] ; [35 60],[4.69444444 8.30555556] ; [34.30555556 60.69444444],0
d2,1,0.694552,0.154202,[15 23] ; [105 140],[16.1130742 21.8869258] ; [103.8869258 141.1130742],0
n3,1,0.70408,0.144262,[10  4] ; [61 31],[9.37735849 4.62264151] ; [61.62264151 30.37735849],0
a3,1,0.768031,0.086996,[26 12] ; [163  84],[25.2 12.8] ; [163.8  83.2],0
s1,1,0.76906,0.086204,[ 1 36] ; [  9 237],[ 1.30742049 35.69257951] ; [  8.69257951 237.30742049],0
s4,1,0.819944,0.05181,[ 6 31] ; [ 44 204],[ 6.49122807 30.50877193] ; [ 43.50877193 204.49122807],0
p10,1,0.834061,0.043889,[24 14] ; [151  95],[23.41549296 14.58450704] ; [151.58450704  94.41549296],0
r1,1,0.839553,0.040992,[26 12] ; [173  74],[26.53333333 11.46666667] ; [172.46666667  74.53333333],0
a2,1,0.86156,0.030411,[ 7 31] ; [ 43 206],[ 6.62020906 31.37979094] ; [ 43.37979094 205.62020906],0
d5,1,0.879677,0.022916,[27 10] ; [178  70],[26.61403509 10.38596491] ; [178.38596491  69.61403509],0
b1,1,0.894039,0.017741,[16 22] ; [102 147],[15.62369338 22.37630662] ; [102.37630662 146.62369338],0
v3,1,0.907813,0.013409,[11 26] ; [ 73 165],[11.30181818 25.69818182] ; [ 72.69818182 165.30181818],0
d1,1,0.940721,0.00553,[17 21] ; [113 136],[17.21254355 20.78745645] ; [112.78745645 136.21254355],0
n5,1,0.950991,0.003778,[24 14] ; [156  89],[24.16961131 13.83038869] ; [155.83038869  89.16961131],0
a7,1,0.979598,0.000654,[23 14] ; [153  94],[22.92957746 14.07042254] ; [153.07042254  93.92957746],0
a5,1,0.989099,0.000187,[23 15] ; [151  98],[23.03832753 14.96167247] ; [150.96167247  98.03832753],0
