Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,38.63531,[ 22 138] ; [61 69],[ 45.79310345 114.20689655] ; [37.20689655 92.79310345],1
r3,1,0.000262,13.327017,[139  24] ; [127   3],[147.97952218  15.02047782] ; [118.02047782  11.97952218],1
r1,1,0.000484,12.176411,[114  49] ; [114  17],[126.40816327  36.59183673] ; [101.59183673  29.40816327],1
p10,1,0.002608,9.063552,[111  50] ; [111  21],[121.98634812  39.01365188] ; [100.01365188  31.98634812],0
r2,1,0.003002,8.805969,[140  18] ; [128   3],[146.51903114  11.48096886] ; [121.48096886   9.51903114],0
s1,1,0.010001,6.634737,[ 11 151] ; [  1 129],[  6.65753425 155.34246575] ; [  5.34246575 124.65753425],0
r4,1,0.011503,6.385872,[131  32] ; [120  12],[138.68813559  24.31186441] ; [112.31186441  19.68813559],0
a7,1,0.016409,5.758532,[105  58] ; [102  30],[114.37627119  48.62372881] ; [92.62372881 39.37627119],0
d5,1,0.02008,5.404889,[127  35] ; [117  15],[134.44897959  27.55102041] ; [109.55102041  22.44897959],0
p9,1,0.022824,5.181854,[118  42] ; [111  20],[125.91065292  34.08934708] ; [103.08934708  27.91065292],0
s2,1,0.027313,4.870899,[ 62 100] ; [67 64],[71.32423208 90.67576792] ; [57.67576792 73.32423208],0
n3,1,0.071121,3.256961,[37 20] ; [25  5],[40.62068966 16.37931034] ; [21.37931034  8.62068966],0
s3,1,0.075623,3.156555,[79 84] ; [76 53],[86.5239726 76.4760274] ; [68.4760274 60.5239726],0
p4,1,0.078139,3.103182,[81 81] ; [79 52],[88.46416382 73.53583618] ; [71.53583618 59.46416382],0
s5,1,0.088802,2.895954,[ 43 117] ; [45 79],[ 49.57746479 110.42253521] ; [38.42253521 85.57746479],0
p7,1,0.108212,2.580144,[87 74] ; [83 48],[93.73287671 67.26712329] ; [76.26712329 54.73287671],0
p3,1,0.11237,2.520576,[66 96] ; [66 66],[72.73469388 89.26530612] ; [59.26530612 72.73469388],0
n2,1,0.129778,2.295158,[37 23] ; [24  7],[40.21978022 19.78021978] ; [20.78021978 10.21978022],0
