Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,55.59476,[22 39] ; [291  68],[45.45952381 15.54047619] ; [267.54047619  91.45952381],1
n4,1,0.0,45.441011,[28 33] ; [303  57],[47.95961995 13.04038005] ; [283.04038005  76.95961995],1
r4,1,1e-06,24.794022,[46 15] ; [340  20],[55.92874109  5.07125891] ; [330.07125891  29.92874109],1
p11,1,5e-06,20.977643,[34 27] ; [295  65],[47.66983373 13.33016627] ; [281.33016627  78.66983373],1
p10,1,4.3e-05,16.742345,[39 21] ; [309  49],[49.95215311 10.04784689] ; [298.04784689  59.95215311],1
v4,1,0.00033,12.893501,[54  7] ; [350   8],[58.81622912  2.18377088] ; [345.18377088  12.81622912],1
p9,1,0.00074,11.386889,[43 17] ; [312  42],[51.44927536  8.55072464] ; [303.55072464  50.44927536],1
r3,1,0.001526,10.047288,[54  7] ; [347  10],[58.51913876  2.48086124] ; [342.48086124  14.51913876],0
p4,1,0.003133,8.72827,[29 31] ; [244 115],[39.09307876 20.90692124] ; [233.90692124 125.09307876],0
p6,1,0.005485,7.712294,[13 46] ; [146 210],[22.60481928 36.39518072] ; [136.39518072 219.60481928],0
p2,1,0.007424,7.167335,[43 17] ; [307  52],[50.11933174  9.88066826] ; [299.88066826  59.11933174],0
u1,1,0.008911,6.840637,[11 50] ; [126 234],[19.85035629 41.14964371] ; [117.14964371 242.85035629],0
v1,1,0.009719,6.685695,[24 35] ; [205 144],[33.11519608 25.88480392] ; [195.88480392 153.11519608],0
s7,1,0.010059,6.624418,[20 37] ; [184 160],[28.99750623 28.00249377] ; [175.00249377 168.99750623],0
p8,1,0.013277,6.131837,[23 36] ; [200 155],[31.78019324 27.21980676] ; [191.21980676 163.78019324],0
v3,1,0.018047,5.591568,[16 40] ; [155 186],[24.1209068 31.8790932] ; [146.8790932 194.1209068],0
p12,1,0.022489,5.207542,[ 1 59] ; [ 40 320],[ 5.85714286 54.14285714] ; [ 35.14285714 324.85714286],0
p3,1,0.028875,4.775022,[23 36] ; [195 164],[30.77033493 28.22966507] ; [187.22966507 171.77033493],0
s8,1,0.044135,4.051393,[22 39] ; [178 178],[29.25659472 31.74340528] ; [170.74340528 185.25659472],0
a8,1,0.048563,3.890379,[ 3 51] ; [ 49 263],[ 7.67213115 46.32786885] ; [ 44.32786885 267.67213115],0
n2,1,0.049308,3.864845,[11 10] ; [56 19],[14.65625  6.34375] ; [52.34375 22.65625],0
d2,1,0.056436,3.639151,[36 24] ; [259 100],[42.24343675 17.75656325] ; [252.75656325 106.24343675],0
p7,1,0.064843,3.408966,[30 28] ; [226 125],[36.30317848 21.69682152] ; [219.69682152 131.30317848],0
s2,1,0.07909,3.083498,[27 33] ; [203 152],[33.25301205 26.74698795] ; [196.74698795 158.25301205],0
p1,1,0.080384,3.057121,[ 2 59] ; [ 37 322],[ 5.66428571 55.33571429] ; [ 33.33571429 325.66428571],0
s6,1,0.083322,2.998878,[36 25] ; [247 105],[41.79903148 19.20096852] ; [241.20096852 110.79903148],0
r2,1,0.089291,2.887117,[56  4] ; [346   9],[58.12048193  1.87951807] ; [343.87951807  11.12048193],0
n3,1,0.105408,2.621751,[11  9] ; [56 20],[13.95833333  6.04166667] ; [53.04166667 22.95833333],0
r1,1,0.120644,2.408939,[48 12] ; [313  45],[51.81818182  8.18181818] ; [309.18181818  48.81818182],0
u2,1,0.129117,2.303091,[12  3] ; [42 29],[9.41860465 5.58139535] ; [44.58139535 26.41860465],0
a4,1,0.129982,2.292723,[29 32] ; [208 151],[34.42142857 26.57857143] ; [202.57857143 156.42142857],0
a5,1,0.134387,2.241082,[47 14] ; [305  55],[51.0023753  9.9976247] ; [300.9976247  59.0023753],0
d3,1,0.161241,1.962545,[59  1] ; [338  22],[56.71428571  3.28571429] ; [340.28571429  19.71428571],0
v2,1,0.180459,1.793838,[32 26] ; [222 123],[36.55583127 21.44416873] ; [217.44416873 127.55583127],0
s5,1,0.190715,1.712087,[15 42] ; [121 223],[19.33167082 37.66832918] ; [116.66832918 227.33167082],0
a2,1,0.192505,1.698339,[21 40] ; [156 204],[25.64608076 35.35391924] ; [151.35391924 208.64608076],0
p5,1,0.243488,1.360286,[ 4 56] ; [ 42 315],[ 6.61870504 53.38129496] ; [ 39.38129496 317.61870504],0
b2,1,0.297289,1.086317,[12 27] ; [ 89 136],[14.92045455 24.07954545] ; [ 86.07954545 138.92045455],0
b3,1,0.297289,1.086317,[12 27] ; [ 89 136],[14.92045455 24.07954545] ; [ 86.07954545 138.92045455],0
n1,1,0.303346,1.059425,[ 5 15] ; [28 47],[ 6.94736842 13.05263158] ; [26.05263158 48.94736842],0
s4,1,0.321994,0.980829,[ 7 54] ; [ 58 294],[ 9.60048426 51.39951574] ; [ 55.39951574 296.60048426],0
s3,1,0.336628,0.92323,[31 28] ; [209 144],[34.36893204 24.63106796] ; [205.63106796 147.36893204],0
a3,1,0.337723,0.919055,[46 15] ; [289  69],[48.77088305 12.22911695] ; [286.22911695  71.77088305],0
s1,1,0.352667,0.863838,[ 3 56] ; [ 10 346],[ 1.84819277 57.15180723] ; [ 11.15180723 344.84819277],0
b1,1,0.39978,0.708988,[23 38] ; [116 244],[20.14014252 40.85985748] ; [118.85985748 241.14014252],0
u3,1,0.592018,0.287204,[11  4] ; [47 24],[10.11627907  4.88372093] ; [47.88372093 23.11627907],0
b4,1,0.64566,0.211415,[39 22] ; [219 141],[37.3824228 23.6175772] ; [220.6175772 139.3824228],0
b5,1,0.769089,0.086181,[42 19] ; [241 119],[41.00475059 19.99524941] ; [241.99524941 118.00475059],0
d5,1,0.783217,0.075696,[59  1] ; [352   8],[58.71428571  1.28571429] ; [352.28571429   7.71428571],0
a6,1,0.905586,0.014068,[51  9] ; [303  56],[50.69212411  9.30787589] ; [303.30787589  55.69212411],0
