Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2e-06,22.615356,[142  11] ; [25 14],[133.078125  19.921875] ; [33.921875  5.078125],1
r3,1,0.000399,12.534777,[150   3] ; [33  6],[145.828125   7.171875] ; [37.171875  1.828125],1
p10,1,0.00045,12.310315,[125  26] ; [22 17],[116.82631579  34.17368421] ; [30.17368421  8.82631579],1
b1,1,0.000934,10.954558,[57 96] ; [26 13],[66.140625 86.859375] ; [16.859375 22.140625],1
n4,1,0.004008,8.280282,[117  35] ; [21 18],[109.82198953  42.17801047] ; [28.17801047 10.82198953],0
r2,1,0.007473,7.155677,[143   8] ; [31  7],[139.01587302  11.98412698] ; [34.98412698  3.01587302],0
v3,1,0.012588,6.226045,[58 92] ; [ 6 30],[51.61290323 98.38709677] ; [12.38709677 23.61290323],0
n5,1,0.014034,6.033853,[112  41] ; [20 18],[105.7382199  47.2617801] ; [26.2617801 11.7382199],0
r1,1,0.014896,5.928704,[121  30] ; [24 15],[115.23684211  35.76315789] ; [29.76315789  9.23684211],0
n1,1,0.031798,4.609363,[14 23] ; [ 1 13],[10.88235294 26.11764706] ; [4.11764706 9.88235294],0
u2,1,0.036316,4.382227,[21 18] ; [9 1],[23.87755102 15.12244898] ; [6.12244898 3.87755102],0
p9,1,0.053919,3.71522,[127  26] ; [27 12],[122.71875  30.28125] ; [31.28125  7.71875],0
b3,1,0.065817,3.384378,[43 62] ; [ 5 19],[39.06976744 65.93023256] ; [ 8.93023256 15.06976744],0
b2,1,0.065817,3.384378,[43 62] ; [ 5 19],[39.06976744 65.93023256] ; [ 8.93023256 15.06976744],0
v1,1,0.081093,3.042858,[78 70] ; [14 24],[73.20430108 74.79569892] ; [18.79569892 19.20430108],0
p6,1,0.081795,3.028869,[59 93] ; [ 9 29],[54.4 97.6] ; [13.6 24.4],0
v4,1,0.084685,2.972621,[144   8] ; [33  5],[141.6  10.4] ; [35.4  2.6],0
s5,1,0.090478,2.865849,[ 49 102] ; [ 7 31],[ 44.74074074 106.25925926] ; [11.25925926 26.74074074],0
b4,1,0.09228,2.834141,[79 74] ; [26 13],[83.671875 69.328125] ; [21.328125 17.671875],0
d5,1,0.115606,2.475869,[122  30] ; [26 12],[118.4  33.6] ; [29.6  8.4],0
s1,1,0.138733,2.191953,[  4 146] ; [ 3 36],[  5.55555556 144.44444444] ; [ 1.44444444 37.55555556],0
