Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000204,13.79464,[ 5 64] ; [15 28],[12.32142857 56.67857143] ; [ 7.67857143 35.32142857],1
p3,1,0.00033,12.891977,[ 6 64] ; [16 29],[13.39130435 56.60869565] ; [ 8.60869565 36.39130435],1
p8,1,0.001781,9.762808,[14 56] ; [21 23],[21.49122807 48.50877193] ; [13.50877193 30.49122807],0
v2,1,0.003982,8.292009,[17 48] ; [23 20],[24.07407407 40.92592593] ; [15.92592593 27.07407407],0
p2,1,0.008588,6.906539,[34 36] ; [33 12],[40.7826087 29.2173913] ; [26.2173913 18.7826087],0
r3,1,0.015307,5.880729,[50 19] ; [41  4],[55.07894737 13.92105263] ; [35.92105263  9.07894737],0
v4,1,0.016979,5.698504,[53 17] ; [41  3],[57.71929825 12.28070175] ; [36.28070175  7.71929825],0
a5,1,0.019277,5.47619,[34 36] ; [12 33],[28. 42.] ; [18. 27.],0
b4,1,0.024629,5.049766,[43 27] ; [18 27],[37.13043478 32.86956522] ; [23.86956522 21.13043478],0
r4,1,0.025045,5.02079,[42 28] ; [36  9],[47.47826087 22.52173913] ; [30.52173913 14.47826087],0
r1,1,0.03103,4.651309,[39 31] ; [34 11],[44.43478261 25.56521739] ; [28.56521739 16.43478261],0
s5,1,0.040695,4.188673,[10 57] ; [14 31],[14.35714286 52.64285714] ; [ 9.64285714 35.35714286],0
n4,1,0.099293,2.71687,[48 22] ; [24 21],[43.82608696 26.17391304] ; [28.17391304 16.82608696],0
b2,1,0.104114,2.641372,[18 18] ; [ 8 19],[14.85714286 21.14285714] ; [11.14285714 15.85714286],0
b3,1,0.104114,2.641372,[18 18] ; [ 8 19],[14.85714286 21.14285714] ; [11.14285714 15.85714286],0
a7,1,0.118211,2.440861,[30 40] ; [26 19],[34.08695652 35.91304348] ; [21.91304348 23.08695652],0
u2,1,0.144048,2.134179,[13 26] ; [12 11],[15.72580645 23.27419355] ; [ 9.27419355 13.72580645],0
n3,1,0.146812,2.105067,[15 12] ; [11  3],[17.12195122  9.87804878] ; [8.87804878 5.12195122],0
s8,1,0.150828,2.063858,[10 60] ; [11 33],[12.89473684 57.10526316] ; [ 8.10526316 35.89473684],0
d4,1,0.171638,1.868578,[29 41] ; [24 20],[32.54385965 37.45614035] ; [20.45614035 23.54385965],0
p1,1,0.194547,1.682842,[ 8 62] ; [ 2 43],[ 6.08695652 63.91304348] ; [ 3.91304348 41.08695652],0
s3,1,0.198102,1.656311,[26 41] ; [23 22],[29.3125 37.6875] ; [19.6875 25.3125],0
r2,1,0.205066,1.605921,[54 16] ; [39  6],[56.60869565 13.39130435] ; [36.39130435  8.60869565],0
s6,1,0.230157,1.439892,[27 43] ; [22 22],[30.0877193 39.9122807] ; [18.9122807 25.0877193],0
b1,1,0.241783,1.370166,[28 42] ; [23 22],[31.04347826 38.95652174] ; [19.95652174 25.04347826],0
p11,1,0.243754,1.358754,[44 26] ; [33 12],[46.86956522 23.13043478] ; [30.13043478 14.86956522],0
d2,1,0.24538,1.34942,[11 59] ; [11 34],[13.39130435 56.60869565] ; [ 8.60869565 36.39130435],0
