Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.9e-05,18.26544,[66  5] ; [47 27],[55.33103448 15.66896552] ; [57.66896552 16.33103448],1
r3,1,4.8e-05,16.534032,[66  6] ; [47 27],[55.7260274 16.2739726] ; [57.2739726 16.7260274],1
p7,1,0.000179,14.043399,[37 36] ; [15 57],[26.17931034 46.82068966] ; [25.82068966 46.17931034],1
r4,1,0.001538,10.032618,[57 16] ; [40 35],[47.84459459 25.15540541] ; [49.15540541 25.84459459],0
a6,1,0.004001,8.283577,[52 21] ; [36 39],[43.40540541 29.59459459] ; [44.59459459 30.40540541],0
p11,1,0.005256,7.789101,[42 31] ; [26 49],[33.54054054 39.45945946] ; [34.45945946 40.54054054],0
p8,1,0.005373,7.749412,[24 49] ; [10 64],[16.88435374 56.11564626] ; [17.11564626 56.88435374],0
b3,1,0.010933,6.476169,[ 6 37] ; [18 30],[11.34065934 31.65934066] ; [12.65934066 35.34065934],0
b2,1,0.010933,6.476169,[ 6 37] ; [18 30],[11.34065934 31.65934066] ; [12.65934066 35.34065934],0
p4,1,0.01462,5.961667,[32 41] ; [18 55],[25. 48.] ; [25. 48.],0
a7,1,0.01668,5.729766,[50 22] ; [37 37],[42.90410959 29.09589041] ; [44.09589041 29.90410959],0
s1,1,0.017064,5.689757,[ 2 71] ; [10 64],[ 5.95918367 67.04081633] ; [ 6.04081633 67.95918367],0
b5,1,0.020438,5.374064,[46 27] ; [33 42],[38.96621622 34.03378378] ; [40.03378378 34.96621622],0
d3,1,0.030942,4.656176,[46 27] ; [34 41],[39.45945946 33.54054054] ; [40.54054054 34.45945946],0
a1,1,0.03177,4.610842,[ 2 71] ; [ 9 66],[ 5.42567568 67.57432432] ; [ 5.57432432 69.42567568],0
r1,1,0.032454,4.574361,[58 15] ; [47 27],[52.14285714 20.85714286] ; [52.85714286 21.14285714],0
p10,1,0.049414,3.861244,[23 50] ; [13 61],[17.87755102 55.12244898] ; [18.12244898 55.87755102],0
n1,1,0.059099,3.5625,[ 5 20] ; [14 18],[ 8.33333333 16.66666667] ; [10.66666667 21.33333333],0
s3,1,0.067873,3.33373,[34 38] ; [24 50],[28.60273973 43.39726027] ; [29.39726027 44.60273973],0
n2,1,0.071749,3.242555,[17  7] ; [16 18],[13.65517241 10.34482759] ; [19.34482759 14.65517241],0
d5,1,0.085441,2.958239,[57 16] ; [49 26],[52.28378378 20.71621622] ; [53.71621622 21.28378378],0
