Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000603,11.766412,[10 60] ; [12 13],[16.21052632 53.78947368] ; [ 5.78947368 19.21052632],1
p8,1,0.001019,10.793202,[ 8 63] ; [10 14],[13.45263158 57.54736842] ; [ 4.54736842 19.45263158],0
p4,1,0.001549,10.019502,[ 8 63] ; [10 15],[13.3125 57.6875] ; [ 4.6875 20.3125],0
s2,1,0.014021,6.03546,[ 6 65] ; [ 7 18],[ 9.61458333 61.38541667] ; [ 3.38541667 21.61458333],0
r4,1,0.020453,5.372802,[32 39] ; [18  7],[36.97916667 34.02083333] ; [13.02083333 11.97916667],0
p11,1,0.024719,5.043481,[27 44] ; [16  9],[31.80208333 39.19791667] ; [11.19791667 13.80208333],0
r3,1,0.042795,4.103471,[44 27] ; [21  4],[48.07291667 22.92708333] ; [16.92708333  8.07291667],0
s3,1,0.048212,3.902582,[14 56] ; [10 15],[17.68421053 52.31578947] ; [ 6.31578947 18.68421053],0
b4,1,0.061234,3.503641,[41 30] ; [ 9 16],[36.97916667 34.02083333] ; [13.02083333 11.97916667],0
a2,1,0.06268,3.465014,[14 57] ; [ 1 24],[11.09375 59.90625] ; [ 3.90625 21.09375],0
d3,1,0.063968,3.431403,[38 33] ; [ 8 17],[34.02083333 36.97916667] ; [11.97916667 13.02083333],0
p10,1,0.094936,2.788623,[28 41] ; [15 10],[31.56382979 37.43617021] ; [11.43617021 13.56382979],0
b3,1,0.17482,1.841121,[20 23] ; [ 5 13],[17.62295082 25.37704918] ; [ 7.37704918 10.62295082],0
b2,1,0.17482,1.841121,[20 23] ; [ 5 13],[17.62295082 25.37704918] ; [ 7.37704918 10.62295082],0
a1,1,0.221988,1.491475,[ 9 62] ; [ 1 24],[ 7.39583333 63.60416667] ; [ 2.60416667 22.39583333],0
v2,1,0.229908,1.441429,[19 48] ; [10 14],[21.35164835 45.64835165] ; [ 7.64835165 16.35164835],0
p9,1,0.246216,1.344646,[28 38] ; [14 11],[30.46153846 35.53846154] ; [11.53846154 13.46153846],0
v4,1,0.249684,1.32507,[45 26] ; [19  6],[47.33333333 23.66666667] ; [16.66666667  8.33333333],0
n2,1,0.269879,1.21736,[22 16] ; [7 2],[23.44680851 14.55319149] ; [5.55319149 3.44680851],0
a8,1,0.274521,1.194018,[ 4 66] ; [ 3 21],[ 5.21276596 64.78723404] ; [ 1.78723404 22.21276596],0
p6,1,0.27895,1.1722,[ 2 67] ; [ 2 23],[ 2.93617021 66.06382979] ; [ 1.06382979 23.93617021],0
s1,1,0.287939,1.129234,[ 6 65] ; [ 4 21],[ 7.39583333 63.60416667] ; [ 2.60416667 22.39583333],0
r1,1,0.297456,1.085565,[34 37] ; [15 10],[36.23958333 34.76041667] ; [12.76041667 12.23958333],0
b5,1,0.346833,0.885011,[32 39] ; [14 11],[34.02083333 36.97916667] ; [11.97916667 13.02083333],0
b1,1,0.356866,0.848892,[36 35] ; [10 15],[34.02083333 36.97916667] ; [11.97916667 13.02083333],0
p5,1,0.402414,0.701102,[ 1 69] ; [ 1 22],[ 1.50537634 68.49462366] ; [ 0.49462366 22.50537634],0
v1,1,0.407978,0.684685,[14 56] ; [ 7 18],[15.47368421 54.52631579] ; [ 5.52631579 19.47368421],0
a7,1,0.430418,0.621696,[39 32] ; [16  9],[40.67708333 30.32291667] ; [14.32291667 10.67708333],0
a5,1,0.455131,0.557843,[43 28] ; [13 12],[41.41666667 29.58333333] ; [14.58333333 10.41666667],0
n3,1,0.460944,0.543602,[18 16] ; [6 3],[18.97674419 15.02325581] ; [5.02325581 3.97674419],0
s4,1,0.461688,0.5418,[ 6 65] ; [ 1 24],[ 5.17708333 65.82291667] ; [ 1.82291667 23.17708333],0
a4,1,0.471355,0.518799,[31 39] ; [ 9 16],[29.47368421 40.52631579] ; [10.52631579 14.47368421],0
d5,1,0.514369,0.425169,[45 26] ; [14 11],[43.63541667 27.36458333] ; [15.36458333  9.63541667],0
s5,1,0.549575,0.358079,[ 5 62] ; [ 1 24],[ 4.36956522 62.63043478] ; [ 1.63043478 23.36956522],0
n5,1,0.590201,0.29003,[44 27] ; [17  8],[45.11458333 25.88541667] ; [15.88541667  9.11458333],0
n6,1,0.597257,0.279153,[37 34] ; [14 10],[38.11578947 32.88421053] ; [12.88421053 11.11578947],0
v3,1,0.693203,0.15564,[16 51] ; [ 5 20],[15.29347826 51.70652174] ; [ 5.70652174 19.29347826],0
a3,1,0.702963,0.145408,[45 25] ; [15 10],[44.21052632 25.78947368] ; [15.78947368  9.21052632],0
d2,1,0.742553,0.107896,[33 36] ; [11 14],[32.29787234 36.70212766] ; [11.70212766 13.29787234],0
s8,1,0.763148,0.090812,[ 7 64] ; [ 3 22],[ 7.39583333 63.60416667] ; [ 2.60416667 22.39583333],0
s7,1,0.7783,0.079262,[10 57] ; [ 4 19],[10.42222222 56.57777778] ; [ 3.57777778 19.42222222],0
n1,1,0.785904,0.073784,[17 21] ; [4 4],[17.34782609 20.65217391] ; [3.65217391 4.34782609],0
d4,1,0.820528,0.051468,[50 21] ; [17  8],[49.55208333 21.44791667] ; [17.44791667  7.55208333],0
d1,1,0.830606,0.045764,[33 38] ; [11 14],[32.54166667 38.45833333] ; [11.45833333 13.54166667],0
a6,1,0.84418,0.038632,[41 30] ; [15 10],[41.41666667 29.58333333] ; [14.58333333 10.41666667],0
n4,1,0.857042,0.032451,[44 27] ; [16  9],[44.375 26.625] ; [15.625  9.375],0
u2,1,0.911106,0.012464,[11 15] ; [4 5],[11.14285714 14.85714286] ; [3.85714286 5.14285714],0
u3,1,0.932412,0.007193,[10 16] ; [4 6],[10.11111111 15.88888889] ; [3.88888889 6.11111111],0
r2,1,0.954641,0.003235,[55 14] ; [19  5],[54.90322581 14.09677419] ; [19.09677419  4.90322581],0
