Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.8e-05,16.540196,[35 84] ; [13  3],[42.31111111 76.68888889] ; [ 5.68888889 10.31111111],1
p7,1,0.000166,14.183042,[27 89] ; [11  5],[33.39393939 82.60606061] ; [ 4.60606061 11.39393939],1
p8,1,0.001112,10.631395,[23 96] ; [9 7],[28.20740741 90.79259259] ; [ 3.79259259 12.20740741],0
p3,1,0.004048,8.262,[27 93] ; [9 7],[31.76470588 88.23529412] ; [ 4.23529412 11.76470588],0
s2,1,0.004718,7.98464,[27 91] ; [9 7],[31.70149254 86.29850746] ; [ 4.29850746 11.70149254],0
s7,1,0.014864,5.932481,[15 97] ; [ 6 10],[18.375 93.625] ; [ 2.625 13.375],0
p12,1,0.015989,5.80404,[  2 118] ; [ 2 14],[  3.52941176 116.47058824] ; [ 0.47058824 15.52941176],0
p4,1,0.049473,3.859246,[25 92] ; [7 9],[28.15037594 88.84962406] ; [ 3.84962406 12.15037594],0
s5,1,0.05458,3.694861,[16 99] ; [ 5 10],[18.57692308 96.42307692] ; [ 2.42307692 12.57692308],0
r4,1,0.087742,2.915324,[71 49] ; [13  3],[74.11764706 45.88235294] ; [9.88235294 6.11764706],0
v2,1,0.089683,2.880058,[42 71] ; [9 6],[45.0234375 67.9765625] ; [5.9765625 9.0234375],0
p9,1,0.141987,2.156295,[49 65] ; [10  6],[51.73846154 62.26153846] ; [7.26153846 8.73846154],0
r3,1,0.154479,2.027453,[84 35] ; [14  2],[86.38518519 32.61481481] ; [11.61481481  4.38518519],0
v4,1,0.154479,2.027453,[84 35] ; [14  2],[86.38518519 32.61481481] ; [11.61481481  4.38518519],0
p5,1,0.159867,1.975482,[  5 114] ; [ 2 14],[  6.17037037 112.82962963] ; [ 0.82962963 15.17037037],0
r2,1,0.204506,1.609899,[93 22] ; [15  1],[94.80916031 20.19083969] ; [13.19083969  2.80916031],0
n6,1,0.204583,1.609352,[69 49] ; [12  4],[71.32835821 46.67164179] ; [9.67164179 6.32835821],0
s3,1,0.216136,1.529843,[36 81] ; [7 8],[38.11363636 78.88636364] ; [ 4.88636364 10.11363636],0
a7,1,0.236603,1.400719,[71 48] ; [12  4],[73.16296296 45.83703704] ; [9.83703704 6.16296296],0
