Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,4.2e-05,16.78058,[33 40] ; [ 66 238],[19.16976127 53.83023873] ; [ 79.83023873 224.16976127],1
s3,1,0.000135,14.573859,[42 30] ; [104 202],[27.80952381 44.19047619] ; [118.19047619 187.80952381],1
s2,1,0.000162,14.225526,[36 36] ; [ 84 226],[22.61780105 49.38219895] ; [ 97.38219895 212.61780105],1
d1,1,0.000189,13.935968,[61 12] ; [189 124],[47.27979275 25.72020725] ; [202.72020725 110.27979275],1
d2,1,0.000287,13.155646,[49 24] ; [135 175],[35.07049608 37.92950392] ; [148.92950392 161.07049608],1
r4,1,0.000401,12.528266,[72  1] ; [258  55],[62.40932642 10.59067358] ; [267.59067358  45.40932642],1
p3,1,0.000555,11.919741,[41 32] ; [106 203],[28.09162304 44.90837696] ; [118.90837696 190.09162304],1
p8,1,0.001185,10.513802,[46 26] ; [132 177],[33.63779528 38.36220472] ; [144.36220472 164.63779528],0
s6,1,0.001229,10.446123,[49 23] ; [143 162],[36.66843501 35.33156499] ; [155.33156499 149.66843501],0
p11,1,0.003069,8.766237,[65  8] ; [227  86],[55.22279793 17.77720207] ; [236.77720207  76.22279793],0
a5,1,0.004763,7.967473,[62 11] ; [214  99],[52.19689119 20.80310881] ; [223.80310881  89.19689119],0
p4,1,0.010766,6.503566,[46 27] ; [142 164],[36.21108179 36.78891821] ; [151.78891821 154.21108179],0
d5,1,0.012996,6.169597,[69  4] ; [260  53],[62.22020725 10.77979275] ; [266.77979275  46.22020725],0
v3,1,0.014323,5.997905,[30 39] ; [ 85 215],[21.50406504 47.49593496] ; [ 93.49593496 206.50406504],0
r1,1,0.021754,5.265336,[63 10] ; [228  82],[55.46475196 17.53524804] ; [235.53524804  74.46475196],0
p9,1,0.025901,4.962583,[64  9] ; [233  75],[56.90551181 16.09448819] ; [240.09448819  67.90551181],0
r3,1,0.030977,4.654251,[72  1] ; [285  27],[67.69090909  5.30909091] ; [289.30909091  22.69090909],0
p2,1,0.033523,4.518849,[64  9] ; [235  73],[57.28871391 15.71128609] ; [241.71128609  66.28871391],0
s5,1,0.034011,4.494154,[24 44] ; [ 70 235],[17.13672922 50.86327078] ; [ 76.86327078 228.13672922],0
v1,1,0.034598,4.464893,[42 29] ; [138 167],[33.9893617 37.0106383] ; [146.0106383 158.9893617],0
n4,1,0.036612,4.368352,[57 16] ; [204 108],[49.48831169 23.51168831] ; [211.51168831 100.48831169],0
