Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,23.034074,[103  41] ; [12 28],[90. 54.] ; [25. 15.],1
r2,1,1.7e-05,18.544389,[140   4] ; [31  9],[133.82608696  10.17391304] ; [37.17391304  2.82608696],1
r3,1,0.000162,14.230412,[139   3] ; [33  7],[134.1978022   7.8021978] ; [37.8021978  2.1978022],1
r4,1,0.000291,13.126672,[131  14] ; [27 13],[123.83783784  21.16216216] ; [34.16216216  5.83783784],1
a2,1,0.00072,11.437296,[ 40 105] ; [ 1 39],[ 32.13513514 112.86486486] ; [ 8.86486486 31.13513514],1
v4,1,0.000887,11.050379,[137   6] ; [32  8],[132.06010929  10.93989071] ; [36.93989071  3.06010929],1
r1,1,0.003441,8.557597,[118  26] ; [24 16],[111.13043478  32.86956522] ; [30.86956522  9.13043478],0
p10,1,0.003724,8.41359,[118  24] ; [24 15],[111.40331492  30.59668508] ; [30.59668508  8.40331492],0
p9,1,0.003894,8.332673,[118  21] ; [25 14],[111.66853933  27.33146067] ; [31.33146067  7.66853933],0
d4,1,0.014497,5.976536,[127  17] ; [29 11],[122.08695652  21.91304348] ; [33.91304348  6.08695652],0
d3,1,0.018298,5.567401,[107  37] ; [22 18],[100.95652174  43.04347826] ; [28.04347826 11.95652174],0
u1,1,0.020195,5.394921,[ 30 115] ; [ 2 38],[ 25.08108108 119.91891892] ; [ 6.91891892 33.08108108],0
n3,1,0.022791,5.184332,[24  6] ; [7 8],[20.66666667  9.33333333] ; [10.33333333  4.66666667],0
p2,1,0.022821,5.182084,[119  24] ; [26 13],[113.92857143  29.07142857] ; [31.07142857  7.92857143],0
a5,1,0.027278,4.873143,[103  42] ; [21 19],[97.18918919 47.81081081] ; [26.81081081 13.18918919],0
d5,1,0.030046,4.706635,[114  30] ; [25 15],[108.7826087  35.2173913] ; [30.2173913  9.7826087],0
d1,1,0.052922,3.746365,[83 62] ; [16 24],[77.59459459 67.40540541] ; [21.40540541 18.59459459],0
n6,1,0.071483,3.248644,[117  26] ; [26 12],[112.97790055  30.02209945] ; [30.02209945  7.97790055],0
a1,1,0.081109,3.042541,[  7 138] ; [ 5 35],[  9.40540541 135.59459459] ; [ 2.59459459 37.40540541],0
s3,1,0.081686,3.031039,[120  22] ; [29 11],[116.25274725  25.74725275] ; [32.74725275  7.25274725],0
n4,1,0.11231,2.52141,[109  36] ; [25 15],[105.02702703  39.97297297] ; [28.97297297 11.02702703],0
b5,1,0.114897,2.485541,[89 56] ; [19 21],[84.64864865 60.35135135] ; [23.35135135 16.64864865],0
p8,1,0.133393,2.252562,[66 75] ; [13 26],[61.88333333 79.11666667] ; [17.11666667 21.88333333],0
p11,1,0.199652,1.644917,[109  36] ; [26 14],[105.81081081  39.18918919] ; [29.18918919 10.81081081],0
p1,1,0.199767,1.644079,[ 12 131] ; [ 1 39],[ 10.15846995 132.84153005] ; [ 2.84153005 37.15846995],0
n5,1,0.206062,1.598881,[103  40] ; [24 15],[99.78571429 43.21428571] ; [27.21428571 11.78571429],0
p12,1,0.213457,1.547825,[ 12 132] ; [ 1 38],[ 10.2295082 133.7704918] ; [ 2.7704918 36.2295082],0
a8,1,0.222019,1.491274,[ 21 113] ; [ 3 35],[ 18.69767442 115.30232558] ; [ 5.30232558 32.69767442],0
n2,1,0.222225,1.489947,[26  4] ; [10  4],[24.54545455  5.45454545] ; [11.45454545  2.54545455],0
b2,1,0.222805,1.48621,[22 47] ; [ 5 21],[19.61052632 49.38947368] ; [ 7.38947368 18.61052632],0
b3,1,0.222805,1.48621,[22 47] ; [ 5 21],[19.61052632 49.38947368] ; [ 7.38947368 18.61052632],0
d2,1,0.237982,1.392506,[65 78] ; [14 26],[61.73224044 81.26775956] ; [17.26775956 22.73224044],0
s4,1,0.243535,1.360012,[ 33 108] ; [13 27],[ 35.83425414 105.16574586] ; [10.16574586 29.83425414],0
a4,1,0.265945,1.237544,[65 80] ; [14 26],[61.91891892 83.08108108] ; [17.08108108 22.91891892],0
u2,1,0.305918,1.048219,[28 20] ; [6 8],[26.32258065 21.67741935] ; [7.67741935 6.32258065],0
v3,1,0.3192,0.992221,[50 89] ; [11 29],[47.36871508 91.63128492] ; [13.63128492 26.36871508],0
s5,1,0.329131,0.952313,[56 84] ; [19 20],[58.65921788 81.34078212] ; [16.34078212 22.65921788],0
v1,1,0.381459,0.765994,[63 78] ; [21 19],[65.43646409 75.56353591] ; [18.56353591 21.43646409],0
s1,1,0.401215,0.704681,[  9 133] ; [ 4 35],[ 10.19889503 131.80110497] ; [ 2.80110497 36.19889503],0
p5,1,0.425061,0.636279,[ 13 130] ; [ 2 37],[ 11.78571429 131.21428571] ; [ 3.21428571 35.78571429],0
s6,1,0.489289,0.478089,[112  31] ; [27 10],[110.42777778  32.57222222] ; [28.57222222  8.42777778],0
p4,1,0.527692,0.398835,[82 62] ; [20 19],[80.26229508 63.73770492] ; [21.73770492 17.26229508],0
p6,1,0.571158,0.320749,[48 94] ; [11 27],[46.54444444 95.45555556] ; [12.45555556 25.54444444],0
u3,1,0.580038,0.306173,[28 20] ; [7 7],[27.09677419 20.90322581] ; [7.90322581 6.09677419],0
b4,1,0.599791,0.275312,[90 55] ; [23 17],[88.56756757 56.43243243] ; [24.43243243 15.56756757],0
b1,1,0.619694,0.246298,[57 88] ; [14 26],[55.64864865 89.35135135] ; [15.35135135 24.64864865],0
p3,1,0.637664,0.221811,[61 82] ; [15 24],[59.71428571 83.28571429] ; [16.28571429 22.71428571],0
n1,1,0.708597,0.139683,[ 8 22] ; [ 3 11],[ 7.5 22.5] ; [ 3.5 10.5],0
p7,1,0.736213,0.113483,[83 55] ; [24 14],[83.89772727 54.10227273] ; [23.10227273 14.89772727],0
