Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.001274,10.37931,[22 36] ; [21  7],[29. 29.] ; [14. 14.],0
s6,1,0.003765,8.393982,[11 48] ; [14 15],[16.76136364 42.23863636] ; [ 8.23863636 20.76136364],0
d5,1,0.004437,8.095688,[28 31] ; [23  6],[34.19318182 24.80681818] ; [16.80681818 12.19318182],0
v4,1,0.004949,7.898076,[27 31] ; [22  6],[33.04651163 24.95348837] ; [15.95348837 12.04651163],0
d1,1,0.008635,6.896896,[14 45] ; [15 14],[19.44318182 39.55681818] ; [ 9.55681818 19.44318182],0
v1,1,0.013972,6.041667,[13 45] ; [14 15],[18. 40.] ; [ 9. 20.],0
v3,1,0.031356,4.633363,[ 7 51] ; [ 9 20],[10.66666667 47.33333333] ; [ 5.33333333 23.66666667],0
n2,1,0.033722,4.508752,[ 9 16] ; [10  4],[12.17948718 12.82051282] ; [6.82051282 7.17948718],0
d4,1,0.045968,3.982774,[31 28] ; [21  7],[35.26436782 23.73563218] ; [16.73563218 11.26436782],0
d3,1,0.048346,3.897932,[23 35] ; [18 11],[27.33333333 30.66666667] ; [13.66666667 15.33333333],0
p11,1,0.058284,3.585566,[22 37] ; [17 12],[26.14772727 32.85227273] ; [12.85227273 16.14772727],0
u3,1,0.059544,3.550044,[ 6 26] ; [6 7],[ 8.53333333 23.46666667] ; [3.46666667 9.53333333],0
a4,1,0.097697,2.742749,[14 44] ; [12 17],[17.33333333 40.66666667] ; [ 8.66666667 20.33333333],0
n3,1,0.099301,2.716735,[11 14] ; [10  4],[13.46153846 11.53846154] ; [7.53846154 6.46153846],0
p4,1,0.106873,2.599869,[14 45] ; [11 16],[17.15116279 41.84883721] ; [ 7.84883721 19.15116279],0
s8,1,0.185249,1.755006,[ 2 57] ; [ 3 26],[ 3.35227273 55.64772727] ; [ 1.64772727 27.35227273],0
u1,1,0.185249,1.755006,[ 2 57] ; [ 3 26],[ 3.35227273 55.64772727] ; [ 1.64772727 27.35227273],0
a5,1,0.199295,1.647536,[24 35] ; [16 13],[26.81818182 32.18181818] ; [13.18181818 15.81818182],0
s4,1,0.22321,1.483613,[ 5 54] ; [ 5 24],[ 6.70454545 52.29545455] ; [ 3.29545455 25.70454545],0
n6,1,0.224379,1.47614,[28 30] ; [18 11],[30.66666667 27.33333333] ; [15.33333333 13.66666667],0
b5,1,0.253562,1.303573,[29 30] ; [18 11],[31.51136364 27.48863636] ; [15.48863636 13.51136364],0
d2,1,0.285751,1.139531,[20 38] ; [13 15],[22.25581395 35.74418605] ; [10.74418605 17.25581395],0
u2,1,0.307841,1.039916,[11 22] ; [6 6],[12.46666667 20.53333333] ; [4.53333333 7.46666667],0
a6,1,0.320356,0.987493,[29 30] ; [11 18],[26.81818182 32.18181818] ; [13.18181818 15.81818182],0
s3,1,0.387543,0.746638,[15 42] ; [ 5 23],[13.41176471 43.58823529] ; [ 6.58823529 21.41176471],0
a3,1,0.401841,0.70281,[26 31] ; [16 13],[27.8372093 29.1627907] ; [14.1627907 14.8372093],0
s2,1,0.422026,0.644667,[10 49] ; [ 7 22],[11.39772727 47.60227273] ; [ 5.60227273 23.39772727],0
r1,1,0.445732,0.581483,[12 47] ; [ 8 21],[13.40909091 45.59090909] ; [ 6.59090909 22.40909091],0
p3,1,0.457429,0.552179,[15 43] ; [ 5 22],[13.64705882 44.35294118] ; [ 6.35294118 20.64705882],0
p5,1,0.4925,0.471059,[ 4 52] ; [ 1 28],[ 3.29411765 52.70588235] ; [ 1.70588235 27.29411765],0
a1,1,0.528165,0.397921,[ 9 50] ; [ 3 26],[ 8.04545455 50.95454545] ; [ 3.95454545 25.04545455],0
a2,1,0.56126,0.337528,[ 4 55] ; [ 3 26],[ 4.69318182 54.30681818] ; [ 2.30681818 26.69318182],0
s1,1,0.56126,0.337528,[ 4 55] ; [ 3 26],[ 4.69318182 54.30681818] ; [ 2.30681818 26.69318182],0
a7,1,0.582619,0.302019,[30 29] ; [16 12],[31.1954023 27.8045977] ; [14.8045977 13.1954023],0
p12,1,0.585326,0.297703,[ 1 58] ; [ 1 27],[ 1.35632184 57.64367816] ; [ 0.64367816 27.35632184],0
r2,1,0.602354,0.271461,[33 24] ; [14 13],[31.89285714 25.10714286] ; [15.10714286 11.89285714],0
p10,1,0.694839,0.153896,[27 30] ; [12 16],[26.15294118 30.84705882] ; [12.84705882 15.15294118],0
b2,1,0.699988,0.148485,[10 23] ; [ 4 12],[ 9.42857143 23.57142857] ; [ 4.57142857 11.42857143],0
b3,1,0.699988,0.148485,[10 23] ; [ 4 12],[ 9.42857143 23.57142857] ; [ 4.57142857 11.42857143],0
n4,1,0.702604,0.145777,[30 29] ; [16 13],[30.84090909 28.15909091] ; [15.15909091 13.84090909],0
b1,1,0.706652,0.141644,[31 28] ; [14 15],[30.17045455 28.82954545] ; [14.82954545 14.17045455],0
b4,1,0.710883,0.137397,[35 24] ; [16 13],[34.19318182 24.80681818] ; [16.80681818 12.19318182],0
p6,1,0.733035,0.116343,[ 5 52] ; [ 3 24],[ 5.42857143 51.57142857] ; [ 2.57142857 24.42857143],0
p2,1,0.757554,0.095292,[28 28] ; [15 13],[28.66666667 27.33333333] ; [14.33333333 13.66666667],0
n5,1,0.759085,0.094054,[34 24] ; [16 13],[33.33333333 24.66666667] ; [16.66666667 12.33333333],0
p8,1,0.790242,0.070754,[15 43] ; [ 8 20],[15.51162791 42.48837209] ; [ 7.48837209 20.51162791],0
p1,1,0.812126,0.056494,[ 7 51] ; [ 3 26],[ 6.66666667 51.33333333] ; [ 3.33333333 25.66666667],0
p7,1,0.871091,0.026332,[19 37] ; [10 18],[19.33333333 36.66666667] ; [ 9.66666667 18.33333333],0
p9,1,0.879479,0.022992,[29 29] ; [15 14],[29.33333333 28.66666667] ; [14.66666667 14.33333333],0
n1,1,0.969655,0.001447,[ 7 18] ; [ 4 10],[ 7.05128205 17.94871795] ; [ 3.94871795 10.05128205],0
s5,1,0.976036,0.000902,[ 8 51] ; [ 4 25],[ 8.04545455 50.95454545] ; [ 3.95454545 25.04545455],0
