Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,87.909856,[135   3] ; [70 76],[99.61267606 38.38732394] ; [105.38732394  40.61267606],1
d5,1,0.0,85.857545,[136   4] ; [70 76],[100.83916084  39.16083916] ; [105.16083916  40.83916084],1
d2,1,0.0,80.934396,[98 40] ; [ 26 119],[60.4664311 77.5335689] ; [63.5335689 81.4664311],1
d3,1,0.0,77.67276,[120  20] ; [50 95],[83.50877193 56.49122807] ; [86.49122807 58.50877193],1
a2,1,1e-06,24.080102,[ 39 101] ; [  9 137],[ 23.4965035 116.5034965] ; [ 24.5034965 121.4965035],1
a4,1,5e-06,20.869304,[75 64] ; [ 40 106],[56.0877193 82.9122807] ; [58.9122807 87.0877193],1
a5,1,6e-06,20.385387,[107  33] ; [74 72],[88.6013986 51.3986014] ; [92.3986014 53.6013986],1
u1,1,1.3e-05,19.030507,[ 24 116] ; [  3 143],[ 13.21678322 126.78321678] ; [ 13.78321678 132.21678322],1
a6,1,1.6e-05,18.631376,[108  32] ; [77 69],[90.55944056 49.44055944] ; [94.44055944 51.55944056],1
a3,1,8.9e-05,15.358313,[107  32] ; [79 65],[91.35689046 47.64310954] ; [94.64310954 49.35689046],1
r2,1,0.00019,13.925967,[127   8] ; [114  31],[116.19642857  18.80357143] ; [124.80357143  20.19642857],1
r1,1,0.000265,13.301844,[107  32] ; [82 63],[92.50352113 46.49647887] ; [96.49647887 48.50352113],1
a7,1,0.000529,12.009034,[104  35] ; [80 65],[90.05633803 48.94366197] ; [93.94366197 51.05633803],1
v2,1,0.00072,11.437174,[78 58] ; [51 87],[64.02919708 71.97080292] ; [64.97080292 73.02919708],1
n4,1,0.00315,8.718728,[106  34] ; [86 59],[94.31578947 45.68421053] ; [97.68421053 47.31578947],0
n6,1,0.003243,8.665342,[111  28] ; [93 52],[99.84507042 39.15492958] ; [104.15492958  40.84507042],0
r4,1,0.004352,8.130609,[113  27] ; [96 50],[102.30769231  37.69230769] ; [106.69230769  39.30769231],0
r3,1,0.008424,6.941092,[125  14] ; [113  31],[116.8975265  22.1024735] ; [121.1024735  22.8975265],0
p8,1,0.010722,6.510759,[68 70] ; [49 94],[57.45907473 80.54092527] ; [59.54092527 83.45907473],0
s8,1,0.017243,5.671494,[ 26 114] ; [ 13 133],[ 19.09090909 120.90909091] ; [ 19.90909091 126.09090909],0
s5,1,0.022618,5.197623,[ 20 117] ; [  9 134],[ 14.18928571 122.81071429] ; [ 14.81071429 128.18928571],0
p7,1,0.023825,5.107343,[78 61] ; [61 82],[68.5141844 70.4858156] ; [70.4858156 72.5141844],0
p10,1,0.025971,4.95798,[96 43] ; [81 63],[86.93639576 52.06360424] ; [90.06360424 53.93639576],0
v4,1,0.038125,4.299417,[125  14] ; [117  27],[118.86219081  20.13780919] ; [123.13780919  20.86219081],0
v3,1,0.042507,4.114888,[49 87] ; [ 35 106],[41.24187726 94.75812274] ; [42.75812274 98.24187726],0
s1,1,0.063921,3.432618,[  2 136] ; [  8 137],[  4.87632509 133.12367491] ; [  5.12367491 139.87632509],0
p9,1,0.071699,3.243678,[100  37] ; [90 53],[92.96428571 44.03571429] ; [97.03571429 45.96428571],0
b1,1,0.080166,3.061535,[50 90] ; [67 79],[57.27272727 82.72727273] ; [59.72727273 86.27272727],0
n2,1,0.084797,2.970482,[20 19] ; [32 14],[23.85882353 15.14117647] ; [28.14117647 17.85882353],0
s7,1,0.08829,2.905278,[ 28 104] ; [ 18 117],[ 22.74157303 109.25842697] ; [ 23.25842697 111.74157303],0
s4,1,0.116935,2.4579,[  6 134] ; [ 13 133],[  9.3006993 130.6993007] ; [  9.6993007 136.3006993],0
p6,1,0.140237,2.175361,[35 99] ; [ 27 117],[ 29.88489209 104.11510791] ; [ 32.11510791 111.88489209],0
a1,1,0.142437,2.151436,[  3 137] ; [  8 138],[  5.38461538 134.61538462] ; [  5.61538462 140.38461538],0
n3,1,0.157826,1.994937,[22 16] ; [32 12],[25.02439024 12.97560976] ; [28.97560976 15.02439024],0
u3,1,0.176057,1.830599,[17 16] ; [25 42],[13.86 19.14] ; [28.14 38.86],0
