Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,25.912758,[83 16] ; [11 19],[72.13953488 26.86046512] ; [21.86046512  8.13953488],1
v4,1,1e-06,24.800726,[88 11] ; [14 16],[78.27906977 20.72093023] ; [23.72093023  6.27906977],1
r3,1,2e-06,23.010004,[87 12] ; [14 16],[77.51162791 21.48837209] ; [23.48837209  6.51162791],1
p11,1,2.6e-05,17.717437,[69 30] ; [ 8 22],[59.09302326 39.90697674] ; [17.90697674 12.09302326],1
p10,1,3.6e-05,17.094632,[66 32] ; [ 7 22],[56.33070866 41.66929134] ; [16.66929134 12.33070866],1
s6,1,0.000904,11.015137,[60 38] ; [ 8 22],[52.0625 45.9375] ; [15.9375 14.0625],1
s8,1,0.001495,10.084258,[45 54] ; [ 4 26],[37.60465116 61.39534884] ; [11.39534884 18.60465116],0
p4,1,0.003384,8.587782,[33 64] ; [ 2 28],[26.73228346 70.26771654] ; [ 8.26771654 21.73228346],0
n3,1,0.013456,6.108173,[21  5] ; [7 9],[17.33333333  8.66666667] ; [10.66666667  5.33333333],0
u1,1,0.014143,6.020155,[23 76] ; [ 1 29],[18.41860465 80.58139535] ; [ 5.58139535 24.41860465],0
b5,1,0.015227,5.890024,[58 41] ; [10 20],[52.18604651 46.81395349] ; [15.81395349 14.18604651],0
p9,1,0.030902,4.658372,[65 32] ; [13 16],[60.04761905 36.95238095] ; [17.95238095 11.04761905],0
p8,1,0.035532,4.419404,[24 75] ; [ 2 28],[19.95348837 79.04651163] ; [ 6.04651163 23.95348837],0
v2,1,0.046675,3.957069,[49 45] ; [ 9 20],[44.32520325 49.67479675] ; [13.67479675 15.32520325],0
p6,1,0.060208,3.531634,[22 76] ; [ 2 27],[18.51968504 79.48031496] ; [ 5.48031496 23.51968504],0
a1,1,0.065962,3.380757,[ 8 91] ; [ 6 24],[10.74418605 88.25581395] ; [ 3.25581395 26.74418605],0
d4,1,0.071054,3.258492,[75 24] ; [17 12],[71.15625 27.84375] ; [20.84375  8.15625],0
b4,1,0.076086,3.146578,[61 38] ; [13 17],[56.79069767 42.20930233] ; [17.20930233 12.79069767],0
s5,1,0.079402,3.077093,[25 69] ; [ 3 25],[21.57377049 72.42622951] ; [ 6.42622951 21.57377049],0
a8,1,0.086925,2.930417,[10 82] ; [ 7 23],[12.81967213 79.18032787] ; [ 4.18032787 25.81967213],0
n5,1,0.092986,2.821913,[83 16] ; [21  9],[79.81395349 19.18604651] ; [24.18604651  5.81395349],0
d1,1,0.111369,2.534689,[56 43] ; [12 18],[52.18604651 46.81395349] ; [15.81395349 14.18604651],0
s7,1,0.138694,2.192387,[42 53] ; [ 8 20],[38.61788618 56.38211382] ; [11.38211382 16.61788618],0
a6,1,0.142078,2.155304,[66 33] ; [15 14],[62.6484375 36.3515625] ; [18.3515625 10.6484375],0
p3,1,0.155295,2.019453,[37 62] ; [ 7 23],[33.76744186 65.23255814] ; [10.23255814 19.76744186],0
d5,1,0.177794,1.815968,[68 31] ; [16 13],[64.96875 34.03125] ; [19.03125  9.96875],0
r1,1,0.183616,1.768112,[72 27] ; [18 12],[69.06976744 29.93023256] ; [20.93023256  9.06976744],0
s2,1,0.194082,1.686355,[42 55] ; [ 9 21],[38.95275591 58.04724409] ; [12.04724409 17.95275591],0
p7,1,0.194227,1.685262,[33 63] ; [ 6 22],[30.19354839 65.80645161] ; [ 8.80645161 19.19354839],0
u3,1,0.202431,1.624751,[20 18] ; [3 7],[18.20833333 19.79166667] ; [4.79166667 5.20833333],0
a7,1,0.221215,1.496474,[65 34] ; [16 14],[62.1627907 36.8372093] ; [18.8372093 11.1627907],0
r2,1,0.239128,1.385728,[87  9] ; [24  5],[85.248 10.752] ; [25.752  3.248],0
v3,1,0.240239,1.379194,[38 55] ; [ 8 20],[35.3553719 57.6446281] ; [10.6446281 17.3553719],0
n2,1,0.257264,1.283422,[22  5] ; [12  6],[20.4  6.6] ; [13.6  4.4],0
b3,1,0.279728,1.168409,[26 45] ; [10 10],[28.08791209 42.91208791] ; [ 7.91208791 12.08791209],0
b2,1,0.279728,1.168409,[26 45] ; [10 10],[28.08791209 42.91208791] ; [ 7.91208791 12.08791209],0
p5,1,0.285256,1.141875,[ 9 87] ; [ 1 29],[ 7.61904762 88.38095238] ; [ 2.38095238 27.61904762],0
v1,1,0.32424,0.971768,[38 57] ; [ 9 21],[35.72 59.28] ; [11.28 18.72],0
a5,1,0.437164,0.603714,[67 32] ; [18 12],[65.23255814 33.76744186] ; [19.76744186 10.23255814],0
a3,1,0.508319,0.437526,[61 37] ; [20  9],[62.50393701 35.49606299] ; [18.49606299 10.50393701],0
s4,1,0.508816,0.436502,[18 79] ; [ 4 26],[16.80314961 80.19685039] ; [ 5.19685039 24.80314961],0
d3,1,0.576403,0.312086,[57 42] ; [15 14],[55.6875 43.3125] ; [16.3125 12.6875],0
a2,1,0.58666,0.29559,[21 78] ; [ 5 25],[19.95348837 79.04651163] ; [ 6.04651163 23.95348837],0
d2,1,0.590874,0.288981,[49 48] ; [13 16],[47.73015873 49.26984127] ; [14.26984127 14.73015873],0
u2,1,0.626745,0.236501,[18 19] ; [4 6],[17.31914894 19.68085106] ; [4.68085106 5.31914894],0
s3,1,0.741293,0.108993,[43 53] ; [14 15],[43.776 52.224] ; [13.224 15.776],0
b1,1,0.786014,0.073707,[50 49] ; [16 14],[50.65116279 48.34883721] ; [15.34883721 14.65116279],0
s1,1,0.823937,0.049499,[ 8 90] ; [ 2 27],[ 7.71653543 90.28346457] ; [ 2.28346457 26.71653543],0
a4,1,0.845292,0.038075,[44 53] ; [13 17],[43.53543307 53.46456693] ; [13.46456693 16.53543307],0
u4,1,0.860476,0.030894,[ 4 95] ; [ 1 29],[ 3.8372093 95.1627907] ; [ 1.1627907 28.8372093],0
n1,1,0.888117,0.019793,[15 11] ; [10  8],[14.77272727 11.22727273] ; [10.22727273  7.77272727],0
p1,1,0.987154,0.000259,[10 89] ; [ 3 27],[ 9.97674419 89.02325581] ; [ 3.02325581 26.97674419],0
