Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000164,14.200949,[23 66] ; [14  6],[30.21100917 58.78899083] ; [ 6.78899083 13.21100917],1
s2,1,0.002329,9.270684,[19 70] ; [11  9],[24.49541284 64.50458716] ; [ 5.50458716 14.49541284],0
s3,1,0.008525,6.919626,[27 60] ; [12  7],[32.00943396 54.99056604] ; [ 6.99056604 12.00943396],0
d2,1,0.010041,6.627642,[26 62] ; [12  8],[30.96296296 57.03703704] ; [ 7.03703704 12.96296296],0
d5,1,0.026092,4.949927,[47 42] ; [16  4],[51.44036697 37.55963303] ; [11.55963303  8.44036697],0
d1,1,0.027762,4.842812,[26 63] ; [11  9],[30.21100917 58.78899083] ; [ 6.78899083 13.21100917],0
v2,1,0.032143,4.590863,[22 64] ; [10 10],[25.96226415 60.03773585] ; [ 6.03773585 13.96226415],0
r2,1,0.033241,4.533333,[41 44] ; [13  4],[45. 40.] ; [9. 8.],0
s7,1,0.039214,4.25158,[20 64] ; [ 9 10],[23.65048544 60.34951456] ; [ 5.34951456 13.65048544],0
n3,1,0.054196,3.706662,[23 20] ; [1 6],[20.64 22.36] ; [3.36 3.64],0
b4,1,0.057714,3.6019,[46 43] ; [15  5],[49.80733945 39.19266055] ; [11.19266055  8.80733945],0
d4,1,0.071916,3.238741,[52 37] ; [16  4],[55.52293578 33.47706422] ; [12.47706422  7.52293578],0
d3,1,0.077687,3.112637,[38 50] ; [13  7],[41.55555556 46.44444444] ; [ 9.44444444 10.55555556],0
p3,1,0.086119,2.945455,[19 69] ; [ 8 12],[22. 66.] ; [ 5. 15.],0
r1,1,0.133569,2.250527,[21 68] ; [ 8 12],[23.67889908 65.32110092] ; [ 5.32110092 14.67889908],0
b3,1,0.133719,2.248786,[17 37] ; [ 2 14],[14.65714286 39.34285714] ; [ 4.34285714 11.65714286],0
b2,1,0.133719,2.248786,[17 37] ; [ 2 14],[14.65714286 39.34285714] ; [ 4.34285714 11.65714286],0
p2,1,0.133772,2.24817,[50 38] ; [15  5],[52.96296296 35.03703704] ; [12.03703704  7.96296296],0
a4,1,0.149286,2.079535,[25 63] ; [ 9 11],[27.7037037 60.2962963] ; [ 6.2962963 13.7037037],0
p8,1,0.162487,1.950931,[28 60] ; [ 3 16],[25.4953271 62.5046729] ; [ 5.5046729 13.4953271],0
r3,1,0.199322,1.647334,[46 42] ; [13  6],[48.52336449 39.47663551] ; [10.47663551  8.52336449],0
p11,1,0.208011,1.585214,[44 45] ; [13  7],[46.5412844 42.4587156] ; [10.4587156  9.5412844],0
n2,1,0.21344,1.547938,[22 21] ; [6 2],[23.60784314 19.39215686] ; [4.39215686 3.60784314],0
u3,1,0.382934,0.76126,[13 31] ; [4 5],[14.11320755 29.88679245] ; [2.88679245 6.11320755],0
a5,1,0.393136,0.72922,[44 45] ; [12  8],[45.72477064 43.27522936] ; [10.27522936  9.72477064],0
v1,1,0.394301,0.725636,[25 62] ; [ 7 11],[26.51428571 60.48571429] ; [ 5.48571429 12.51428571],0
b5,1,0.415395,0.663307,[49 40] ; [ 9 11],[47.35779817 41.64220183] ; [10.64220183  9.35779817],0
n5,1,0.424366,0.638194,[55 33] ; [10  9],[53.45794393 34.54205607] ; [11.54205607  7.45794393],0
p1,1,0.470078,0.521792,[ 5 84] ; [ 2 18],[ 5.71559633 83.28440367] ; [ 1.28440367 18.71559633],0
s4,1,0.471801,0.517755,[16 73] ; [ 5 15],[17.14678899 71.85321101] ; [ 3.85321101 16.14678899],0
p10,1,0.503563,0.447419,[45 42] ; [12  8],[46.34579439 40.65420561] ; [10.65420561  9.34579439],0
p7,1,0.519326,0.415231,[32 54] ; [ 9 11],[33.26415094 52.73584906] ; [ 7.73584906 12.26415094],0
a3,1,0.532363,0.389879,[44 44] ; [11  8],[45.23364486 42.76635514] ; [9.76635514 9.23364486],0
s8,1,0.548041,0.360838,[13 76] ; [ 4 16],[13.88073394 75.11926606] ; [ 3.11926606 16.88073394],0
n4,1,0.552169,0.353445,[51 38] ; [10 10],[49.80733945 39.19266055] ; [11.19266055  8.80733945],0
b1,1,0.552169,0.353445,[51 38] ; [10 10],[49.80733945 39.19266055] ; [11.19266055  8.80733945],0
a1,1,0.558109,0.342989,[ 8 81] ; [ 1 19],[ 7.34862385 81.65137615] ; [ 1.65137615 18.34862385],0
u2,1,0.596855,0.279765,[18 27] ; [4 4],[18.67924528 26.32075472] ; [3.32075472 4.67924528],0
p5,1,0.623812,0.240545,[ 6 82] ; [ 2 18],[ 6.51851852 81.48148148] ; [ 1.48148148 18.51851852],0
p9,1,0.634074,0.226576,[46 39] ; [12  8],[46.95238095 38.04761905] ; [11.04761905  8.95238095],0
a8,1,0.655542,0.198984,[ 6 79] ; [ 2 18],[ 6.47619048 78.52380952] ; [ 1.52380952 18.47619048],0
p6,1,0.689745,0.159361,[14 72] ; [ 4 16],[14.60377358 71.39622642] ; [ 3.39622642 16.60377358],0
a6,1,0.75011,0.101439,[41 48] ; [10 10],[41.64220183 47.35779817] ; [ 9.35779817 10.64220183],0
a7,1,0.75011,0.101439,[41 48] ; [10 10],[41.64220183 47.35779817] ; [ 9.35779817 10.64220183],0
u1,1,0.774045,0.08242,[ 6 83] ; [ 1 19],[ 5.71559633 83.28440367] ; [ 1.28440367 18.71559633],0
v4,1,0.804412,0.061326,[51 37] ; [11  7],[51.47169811 36.52830189] ; [10.52830189  7.47169811],0
p4,1,0.807461,0.059391,[33 56] ; [ 8 12],[33.47706422 55.52293578] ; [ 7.52293578 12.47706422],0
n1,1,0.886934,0.020217,[15 28] ; [3 5],[15.17647059 27.82352941] ; [2.82352941 5.17647059],0
n6,1,0.912245,0.012146,[47 40] ; [10  9],[46.78301887 40.21698113] ; [10.21698113  8.78301887],0
