Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000173,14.099419,[71 24] ; [95  6],[80.45918367 14.54081633] ; [85.54081633 15.45918367],1
p5,1,0.000201,13.825919,[13 84] ; [37 65],[24.3718593 72.6281407] ; [25.6281407 76.3718593],1
p12,1,0.000237,13.511312,[ 6 90] ; [26 76],[15.51515152 80.48484848] ; [16.48484848 85.51515152],1
p4,1,0.000783,11.281444,[65 30] ; [89 12],[74.64285714 20.35714286] ; [79.35714286 21.64285714],1
n4,1,0.005256,7.789015,[75 21] ; [94  8],[81.93939394 14.06060606] ; [87.06060606 14.93939394],0
p3,1,0.00557,7.684271,[56 41] ; [77 24],[65.15656566 31.84343434] ; [67.84343434 33.15656566],0
n5,1,0.011112,6.447288,[73 22] ; [92 10],[79.56852792 15.43147208] ; [85.43147208 16.56852792],0
a1,1,0.012315,6.264939,[ 3 94] ; [13 89],[ 7.79899497 89.20100503] ; [ 8.20100503 93.79899497],0
p9,1,0.025337,5.000677,[83 12] ; [98  4],[87.28426396  7.71573604] ; [93.71573604  8.28426396],0
s7,1,0.028646,4.788784,[48 43] ; [65 30],[55.28494624 35.71505376] ; [57.71505376 37.28494624],0
b4,1,0.042804,4.103145,[50 47] ; [67 35],[57.03015075 39.96984925] ; [59.96984925 42.03015075],0
v1,1,0.047906,3.913286,[65 32] ; [81 21],[71.16582915 25.83417085] ; [74.83417085 27.16582915],0
n1,1,0.063628,3.440196,[ 3 14] ; [6 6],[ 5.27586207 11.72413793] ; [3.72413793 8.27586207],0
s5,1,0.093418,2.814463,[38 57] ; [51 47],[43.80829016 51.19170984] ; [45.19170984 52.80829016],0
p1,1,0.111964,2.526284,[12 85] ; [21 80],[16.16666667 80.83333333] ; [16.83333333 84.16666667],0
s6,1,0.119911,2.418482,[60 32] ; [74 24],[64.88421053 27.11578947] ; [69.11578947 28.88421053],0
n6,1,0.13042,2.287502,[83 13] ; [93  7],[86.20408163  9.79591837] ; [89.79591837 10.20408163],0
b1,1,0.132615,2.261626,[30 67] ; [42 60],[35.09547739 61.90452261] ; [36.90452261 65.09547739],0
s8,1,0.141862,2.157641,[49 46] ; [62 38],[54.07692308 40.92307692] ; [56.92307692 43.07692308],0
b3,1,0.148631,2.086241,[24 42] ; [29 30],[27.984 38.016] ; [25.016 33.984],0
b2,1,0.148631,2.086241,[24 42] ; [29 30],[27.984 38.016] ; [25.016 33.984],0
v2,1,0.15758,1.997294,[81 13] ; [80 22],[77.21428571 16.78571429] ; [83.78571429 18.21428571],0
r4,1,0.167615,1.904145,[90  7] ; [99  3],[92.12562814  4.87437186] ; [96.87437186  5.12562814],0
a5,1,0.215821,1.531943,[81 16] ; [78 24],[77.50251256 19.49748744] ; [81.49748744 20.50251256],0
p11,1,0.249605,1.325513,[80 17] ; [90 12],[82.86432161 14.13567839] ; [87.13567839 14.86432161],0
p10,1,0.250987,1.317799,[84 11] ; [95  7],[86.31979695  8.68020305] ; [92.68020305  9.31979695],0
n3,1,0.254891,1.296296,[14  4] ; [7 5],[12.6  5.4] ; [8.4 3.6],0
u4,1,0.277017,1.181665,[ 2 95] ; [ 5 97],[ 3.4120603 93.5879397] ; [ 3.5879397 98.4120603],0
u1,1,0.315864,1.005995,[13 84] ; [19 83],[15.59798995 81.40201005] ; [16.40201005 85.59798995],0
s4,1,0.349944,0.873659,[10 86] ; [15 86],[12.18274112 83.81725888] ; [12.81725888 88.18274112],0
v4,1,0.372046,0.796821,[92  4] ; [99  2],[93.07614213  2.92385787] ; [97.92385787  3.07614213],0
a8,1,0.449544,0.571802,[11 77] ; [15 76],[12.78212291 75.21787709] ; [13.21787709 77.78212291],0
s1,1,0.450774,0.568704,[ 2 94] ; [ 4 98],[ 2.90909091 93.09090909] ; [ 3.09090909 98.90909091],0
a6,1,0.462602,0.539592,[65 32] ; [62 38],[62.53299492 34.46700508] ; [64.46700508 35.53299492],0
a3,1,0.536898,0.38132,[71 26] ; [77 23],[72.87309645 24.12690355] ; [75.12690355 24.87309645],0
p2,1,0.544346,0.367544,[87 10] ; [94  8],[88.22613065  8.77386935] ; [92.77386935  9.22613065],0
u3,1,0.5713,0.320513,[12 13] ; [14 11],[13. 12.] ; [13. 12.],0
d1,1,0.618726,0.247663,[66 31] ; [66 36],[64.34170854 32.65829146] ; [67.65829146 34.34170854],0
