Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.8e-05,16.154873,[6 8] ; [93 14],[11.45454545  2.54545455] ; [87.54545455 19.45454545],1
r3,1,0.008764,6.870205,[9 5] ; [95 11],[12.13333333  1.86666667] ; [91.86666667 14.13333333],0
s2,1,0.018309,5.566327,[ 4 10] ; [66 41],[8.09917355 5.90082645] ; [61.90082645 45.09917355],0
b5,1,0.025703,4.975913,[5 9] ; [71 36],[8.79338843 5.20661157] ; [67.20661157 39.79338843],0
a7,1,0.035676,4.412521,[7 7] ; [81 25],[10.26666667  3.73333333] ; [77.73333333 28.26666667],0
a6,1,0.045271,4.008497,[5 9] ; [68 39],[8.44628099 5.55371901] ; [64.55371901 42.44628099],0
p4,1,0.0463,3.970645,[ 3 10] ; [56 51],[6.39166667 6.60833333] ; [52.60833333 54.39166667],0
a5,1,0.050557,3.822893,[6 8] ; [74 33],[9.25619835 4.74380165] ; [70.74380165 36.25619835],0
n6,1,0.069528,3.294139,[8 6] ; [83 22],[10.70588235  3.29411765] ; [80.29411765 24.70588235],0
b1,1,0.07116,3.256059,[10  4] ; [49 58],[6.82644628 7.17355372] ; [52.17355372 54.82644628],0
p2,1,0.082187,3.021115,[8 6] ; [83 23],[10.61666667  3.38333333] ; [80.38333333 25.61666667],0
v1,1,0.108034,2.582748,[ 4 10] ; [55 52],[6.82644628 7.17355372] ; [52.17355372 54.82644628],0
s6,1,0.109233,2.565283,[7 7] ; [74 30],[9.61016949 4.38983051] ; [71.38983051 32.61016949],0
r2,1,0.122881,2.380216,[11  2] ; [101   5],[12.23529412  0.76470588] ; [99.76470588  6.23529412],0
s3,1,0.13238,2.264375,[5 9] ; [61 46],[7.63636364 6.36363636] ; [58.36363636 48.63636364],0
a3,1,0.153718,2.034966,[12  2] ; [71 35],[9.68333333 4.31666667] ; [73.31666667 32.68333333],0
p6,1,0.173934,1.848703,[ 3 11] ; [43 64],[5.32231405 8.67768595] ; [40.67768595 66.32231405],0
d3,1,0.239831,1.381587,[8 6] ; [76 29],[9.88235294 4.11764706] ; [74.11764706 30.88235294],0
b4,1,0.246982,1.340296,[10  4] ; [59 48],[7.98347107 6.01652893] ; [61.01652893 45.98347107],0
d4,1,0.254784,1.296877,[13  1] ; [86 21],[11.45454545  2.54545455] ; [87.54545455 19.45454545],0
s7,1,0.274829,1.192483,[5 8] ; [54 45],[6.84821429 6.15178571] ; [52.15178571 46.84821429],0
u1,1,0.2833,1.151189,[ 1 13] ; [20 87],[ 2.42975207 11.57024793] ; [18.57024793 88.42975207],0
p8,1,0.291613,1.112159,[7 7] ; [38 69],[5.20661157 8.79338843] ; [39.79338843 67.20661157],0
d5,1,0.341493,0.904819,[10  4] ; [87 19],[11.31666667  2.68333333] ; [85.68333333 20.31666667],0
n3,1,0.359397,0.84,[4 3] ; [26  9],[5. 2.] ; [25. 10.],0
v4,1,0.384239,0.757096,[12  2] ; [99  8],[12.84297521  1.15702479] ; [98.15702479  8.84297521],0
a2,1,0.403478,0.697935,[ 2 12] ; [26 81],[ 3.23966942 10.76033058] ; [24.76033058 82.23966942],0
a4,1,0.436371,0.605808,[5 9] ; [50 57],[6.36363636 7.63636364] ; [48.63636364 58.36363636],0
n4,1,0.45067,0.568967,[8 6] ; [72 35],[9.25619835 4.74380165] ; [70.74380165 36.25619835],0
v2,1,0.501478,0.451807,[6 8] ; [54 49],[7.17948718 6.82051282] ; [52.82051282 50.17948718],0
n5,1,0.511949,0.430082,[8 6] ; [70 36],[9.1 4.9] ; [68.9 37.1],0
n2,1,0.516937,0.42,[6 1] ; [26  9],[5.33333333 1.66666667] ; [26.66666667  8.33333333],0
n1,1,0.558185,0.342857,[3 4] ; [11 24],[2.33333333 4.66666667] ; [11.66666667 23.33333333],0
s5,1,0.584399,0.299177,[5 9] ; [43 56],[5.94690265 8.05309735] ; [42.05309735 56.94690265],0
b3,1,0.619825,0.246114,[2 7] ; [14 32],[2.61818182 6.38181818] ; [13.38181818 32.61818182],0
b2,1,0.619825,0.246114,[2 7] ; [14 32],[2.61818182 6.38181818] ; [13.38181818 32.61818182],0
p7,1,0.666019,0.186294,[8 5] ; [58 47],[7.27118644 5.72881356] ; [58.72881356 46.27118644],0
