Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.2e-05,18.021539,[14 30] ; [15  1],[21.26666667 22.73333333] ; [7.73333333 8.26666667],1
d5,1,8.4e-05,15.473253,[16 28] ; [15  1],[22.73333333 21.26666667] ; [8.26666667 7.73333333],1
d2,1,0.000924,10.974026,[ 8 36] ; [10  6],[13.2 30.8] ; [ 4.8 11.2],1
v2,1,0.005403,7.739376,[ 8 34] ; [9 7],[12.31034483 29.68965517] ; [ 4.68965517 11.31034483],0
a2,1,0.023655,5.119724,[ 1 43] ; [ 3 13],[ 2.93333333 41.06666667] ; [ 1.06666667 14.93333333],0
v3,1,0.040997,4.176136,[ 6 38] ; [ 6 10],[ 8.8 35.2] ; [ 3.2 12.8],0
a6,1,0.048398,3.896104,[15 29] ; [10  6],[18.33333333 25.66666667] ; [6.66666667 9.33333333],0
p5,1,0.057004,3.622476,[ 3 40] ; [ 4 12],[ 5.10169492 37.89830508] ; [ 1.89830508 14.10169492],0
a4,1,0.07116,3.256069,[ 9 35] ; [7 9],[11.73333333 32.26666667] ; [ 4.26666667 11.73333333],0
v1,1,0.11003,2.553787,[10 34] ; [7 9],[12.46666667 31.53333333] ; [ 4.53333333 11.46666667],0
p11,1,0.114317,2.493506,[23 21] ; [12  4],[25.66666667 18.33333333] ; [9.33333333 6.66666667],0
s6,1,0.121291,2.400568,[15 29] ; [9 7],[17.6 26.4] ; [6.4 9.6],0
a3,1,0.128318,2.312739,[20 23] ; [11  5],[22.59322034 20.40677966] ; [8.40677966 7.59322034],0
p7,1,0.152661,2.045455,[20 24] ; [ 4 12],[17.6 26.4] ; [6.4 9.6],0
s3,1,0.198092,1.656386,[13 30] ; [ 2 13],[11.12068966 31.87931034] ; [ 3.87931034 11.12068966],0
s2,1,0.221461,1.494882,[ 8 36] ; [ 5 10],[ 9.69491525 34.30508475] ; [ 3.30508475 11.69491525],0
n6,1,0.233798,1.417605,[25 18] ; [12  4],[26.96610169 16.03389831] ; [10.03389831  5.96610169],0
a5,1,0.242908,1.363636,[20 24] ; [10  6],[22. 22.] ; [8. 8.],0
r4,1,0.277228,1.180628,[ 8 36] ; [ 5 11],[ 9.53333333 34.46666667] ; [ 3.46666667 12.53333333],0
p8,1,0.297814,1.083958,[14 29] ; [ 3 13],[12.38983051 30.61016949] ; [ 4.61016949 11.38983051],0
b4,1,0.323678,0.974026,[24 20] ; [11  5],[25.66666667 18.33333333] ; [9.33333333 6.66666667],0
p2,1,0.323678,0.974026,[24 20] ; [11  5],[25.66666667 18.33333333] ; [9.33333333 6.66666667],0
b2,1,0.35879,0.842125,[ 8 18] ; [ 2 10],[ 6.84210526 19.15789474] ; [3.15789474 8.84210526],0
b3,1,0.35879,0.842125,[ 8 18] ; [ 2 10],[ 6.84210526 19.15789474] ; [3.15789474 8.84210526],0
a7,1,0.369575,0.805093,[19 25] ; [9 7],[20.53333333 23.46666667] ; [7.46666667 8.53333333],0
r3,1,0.378441,0.77576,[27 16] ; [12  4],[28.42372881 14.57627119] ; [10.57627119  5.42372881],0
b1,1,0.429795,0.623377,[27 17] ; [8 8],[25.66666667 18.33333333] ; [9.33333333 6.66666667],0
p4,1,0.429795,0.623377,[17 27] ; [8 8],[18.33333333 25.66666667] ; [6.66666667 9.33333333],0
s5,1,0.456697,0.553977,[ 5 39] ; [ 3 13],[ 5.86666667 38.13333333] ; [ 2.13333333 13.86666667],0
p1,1,0.481321,0.495868,[ 3 41] ; [ 2 14],[ 3.66666667 40.33333333] ; [ 1.33333333 14.66666667],0
u3,1,0.4948,0.466071,[ 6 18] ; [2 3],[ 6.62068966 17.37931034] ; [1.37931034 3.62068966],0
s7,1,0.496157,0.463147,[11 31] ; [ 2 10],[10.11111111 31.88888889] ; [2.88888889 9.11111111],0
n2,1,0.507726,0.43875,[13  7] ; [3 3],[12.30769231  7.69230769] ; [3.69230769 2.30769231],0
b5,1,0.559305,0.340909,[21 23] ; [9 7],[22. 22.] ; [8. 8.],0
u2,1,0.564144,0.332579,[13 11] ; [2 3],[12.4137931 11.5862069] ; [2.5862069 2.4137931],0
v4,1,0.582416,0.302345,[24 20] ; [10  6],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
r1,1,0.679708,0.170455,[14 30] ; [ 6 10],[14.66666667 29.33333333] ; [ 5.33333333 10.66666667],0
p9,1,0.706153,0.14215,[27 16] ; [8 6],[26.40350877 16.59649123] ; [8.59649123 5.40350877],0
n5,1,0.720681,0.127841,[27 17] ; [9 7],[26.4 17.6] ; [9.6 6.4],0
s1,1,0.724771,0.123967,[ 4 40] ; [ 1 15],[ 3.66666667 40.33333333] ; [ 1.33333333 14.66666667],0
s8,1,0.740875,0.109359,[10 34] ; [ 3 13],[ 9.53333333 34.46666667] ; [ 3.46666667 12.53333333],0
n3,1,0.768458,0.086667,[12  8] ; [4 2],[12.30769231  7.69230769] ; [3.69230769 2.30769231],0
p3,1,0.853964,0.033879,[10 34] ; [ 4 12],[10.26666667 33.73333333] ; [ 3.73333333 12.26666667],0
n4,1,0.968671,0.001543,[25 19] ; [9 7],[24.93333333 19.06666667] ; [9.06666667 6.93333333],0
p10,1,0.99173,0.000107,[23 20] ; [8 7],[22.98275862 20.01724138] ; [8.01724138 6.98275862],0
