Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.003461,8.547184,[ 6 97] ; [ 7 22],[10.14393939 92.85606061] ; [ 2.85606061 26.14393939],0
a3,1,0.00751,7.14686,[52 49] ; [23  6],[58.26923077 42.73076923] ; [16.73076923 12.26923077],0
v2,1,0.007889,7.058473,[33 67] ; [17 11],[39.0625 60.9375] ; [10.9375 17.0625],0
d1,1,0.02274,5.188247,[33 70] ; [16 13],[38.23484848 64.76515152] ; [10.76515152 18.23484848],0
d5,1,0.024642,5.048903,[58 45] ; [23  6],[63.20454545 39.79545455] ; [17.79545455 11.20454545],0
r2,1,0.027846,4.837552,[49 46] ; [21  7],[54.06504065 40.93495935] ; [15.93495935 12.06504065],0
d4,1,0.046857,3.950533,[64 39] ; [23  5],[68.40458015 34.59541985] ; [18.59541985  9.40458015],0
p1,1,0.049429,3.86073,[ 6 97] ; [ 5 24],[ 8.58333333 94.41666667] ; [ 2.41666667 26.58333333],0
s4,1,0.049748,3.84992,[24 79] ; [ 2 27],[20.28787879 82.71212121] ; [ 5.71212121 23.28787879],0
d2,1,0.0503,3.83142,[34 68] ; [15 13],[38.44615385 63.55384615] ; [10.55384615 17.44615385],0
s8,1,0.082232,3.020223,[17 86] ; [ 9 20],[20.28787879 82.71212121] ; [ 5.71212121 23.28787879],0
v1,1,0.082548,3.014004,[29 71] ; [13 15],[32.8125 67.1875] ; [ 9.1875 18.8125],0
b1,1,0.097515,2.745722,[57 46] ; [11 18],[53.06060606 49.93939394] ; [14.93939394 14.06060606],0
n4,1,0.098546,2.728919,[57 46] ; [21  8],[60.86363636 42.13636364] ; [17.13636364 11.86363636],0
a4,1,0.118759,2.433614,[30 72] ; [13 16],[33.48091603 68.51908397] ; [ 9.51908397 19.48091603],0
d3,1,0.128577,2.309607,[47 55] ; [18 11],[50.61068702 51.38931298] ; [14.38931298 14.61068702],0
a6,1,0.216312,1.528668,[47 56] ; [17 12],[49.93939394 53.06060606] ; [14.06060606 14.93939394],0
u3,1,0.268103,1.226425,[14 36] ; [3 3],[15.17857143 34.82142857] ; [1.82142857 4.17857143],0
s1,1,0.27369,1.19816,[ 5 98] ; [ 3 26],[ 6.24242424 96.75757576] ; [ 1.75757576 27.24242424],0
p2,1,0.287207,1.13267,[63 40] ; [14 14],[60.54198473 42.45801527] ; [16.45801527 11.54198473],0
b3,1,0.320043,0.98877,[19 46] ; [6 8],[20.56962025 44.43037975] ; [4.43037975 9.56962025],0
b2,1,0.320043,0.98877,[19 46] ; [6 8],[20.56962025 44.43037975] ; [4.43037975 9.56962025],0
a7,1,0.322454,0.978968,[48 55] ; [16 12],[50.32061069 52.67938931] ; [13.67938931 14.32061069],0
s5,1,0.325525,0.966617,[18 82] ; [ 3 26],[16.27906977 83.72093023] ; [ 4.72093023 24.27906977],0
p4,1,0.328518,0.954731,[37 66] ; [ 7 20],[34.86153846 68.13846154] ; [ 9.13846154 17.86153846],0
n6,1,0.353079,0.862361,[55 46] ; [18 10],[57.15503876 43.84496124] ; [15.84496124 12.15503876],0
n5,1,0.365923,0.817463,[59 42] ; [19  9],[61.06976744 39.93023256] ; [16.93023256 11.06976744],0
u2,1,0.387338,0.747283,[20 30] ; [3 2],[20.90909091 29.09090909] ; [2.09090909 2.90909091],0
s7,1,0.40461,0.694582,[29 68] ; [10 16],[30.75609756 66.24390244] ; [ 8.24390244 17.75609756],0
s2,1,0.411573,0.674251,[32 71] ; [11 17],[33.80916031 69.19083969] ; [ 9.19083969 18.80916031],0
n3,1,0.412793,0.670743,[22 24] ; [9 6],[23.37704918 22.62295082] ; [7.62295082 7.37704918],0
a1,1,0.419637,0.651332,[ 9 94] ; [ 4 25],[10.14393939 92.85606061] ; [ 2.85606061 26.14393939],0
n2,1,0.438074,0.601321,[26 21] ; [10  5],[27.29032258 19.70967742] ; [8.70967742 6.29032258],0
v4,1,0.449633,0.571576,[60 40] ; [19  9],[61.71875 38.28125] ; [17.28125 10.71875],0
n1,1,0.461301,0.542736,[14 33] ; [6 9],[15.16129032 31.83870968] ; [ 4.83870968 10.16129032],0
r1,1,0.464364,0.535356,[26 77] ; [ 9 19],[27.51908397 75.48091603] ; [ 7.48091603 20.51908397],0
p9,1,0.500102,0.45472,[53 46] ; [17 11],[54.56692913 44.43307087] ; [15.43307087 12.56692913],0
s6,1,0.501294,0.452195,[37 66] ; [12 16],[38.52671756 64.47328244] ; [10.47328244 17.52671756],0
p7,1,0.530777,0.392904,[39 62] ; [ 9 19],[37.58139535 63.41860465] ; [10.41860465 17.58139535],0
a5,1,0.590338,0.289817,[51 52] ; [16 13],[52.28030303 50.71969697] ; [14.71969697 14.28030303],0
b4,1,0.617819,0.248945,[55 48] ; [17 12],[56.18181818 46.81818182] ; [15.81818182 13.18181818],0
s3,1,0.655848,0.198606,[38 62] ; [ 9 18],[37.00787402 62.99212598] ; [ 9.99212598 17.00787402],0
r3,1,0.754955,0.097414,[58 43] ; [17 11],[58.72093023 42.27906977] ; [16.27906977 11.72093023],0
p8,1,0.795638,0.067079,[28 74] ; [ 7 21],[27.46153846 74.53846154] ; [ 7.53846154 20.46153846],0
b5,1,0.800771,0.06368,[56 47] ; [15 14],[55.40151515 47.59848485] ; [15.59848485 13.40151515],0
p6,1,0.817802,0.053072,[20 81] ; [ 5 23],[19.57364341 81.42635659] ; [ 5.42635659 22.57364341],0
p11,1,0.833498,0.044191,[51 52] ; [15 14],[51.5 51.5] ; [14.5 14.5],0
p10,1,0.900312,0.015692,[51 50] ; [14 13],[51.2890625 49.7109375] ; [13.7109375 13.2890625],0
p3,1,0.957897,0.002787,[26 76] ; [ 7 21],[25.89230769 76.10769231] ; [ 7.10769231 20.89230769],0
