Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.020921,5.333333,[5 1] ; [1 5],[3. 3.] ; [3. 3.],0
b4,1,0.078983,3.085714,[5 1] ; [2 4],[3.5 2.5] ; [3.5 2.5],0
p8,1,0.078983,3.085714,[2 4] ; [5 1],[3.5 2.5] ; [3.5 2.5],0
a5,1,0.220671,1.5,[5 1] ; [3 3],[4. 2.] ; [4. 2.],0
s2,1,0.220671,1.5,[3 3] ; [1 5],[2. 4.] ; [2. 4.],0
d4,1,0.220671,1.5,[5 1] ; [3 3],[4. 2.] ; [4. 2.],0
p4,1,0.248213,1.333333,[2 4] ; [4 2],[3. 3.] ; [3. 3.],0
s5,1,0.386916,0.748611,[2 3] ; [1 5],[1.36363636 3.63636364] ; [1.63636364 4.36363636],0
b3,1,0.429195,0.625,[3 3] ; [1 3],[2.4 3.6] ; [1.6 2.4],0
b2,1,0.429195,0.625,[3 3] ; [1 3],[2.4 3.6] ; [1.6 2.4],0
p7,1,0.504985,0.444444,[5 1] ; [4 2],[4.5 1.5] ; [4.5 1.5],0
p2,1,0.504985,0.444444,[4 2] ; [5 1],[4.5 1.5] ; [4.5 1.5],0
d5,1,0.504985,0.444444,[5 1] ; [4 2],[4.5 1.5] ; [4.5 1.5],0
v2,1,0.558185,0.342857,[4 2] ; [3 3],[3.5 2.5] ; [3.5 2.5],0
v1,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
p6,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
a8,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
a6,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
a4,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
r2,1,0.558185,0.342857,[3 3] ; [2 4],[2.5 3.5] ; [2.5 3.5],0
p12,1,0.886508,0.02037,[1 5] ; [1 4],[1.09090909 4.90909091] ; [0.90909091 4.09090909],0
n5,1,1.0,0.0,[5 1] ; [5 1],[5. 1.] ; [5. 1.],0
r4,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
s3,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
r1,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
s6,1,1.0,0.0,[4 1] ; [4 1],[4. 1.] ; [4. 1.],0
d3,1,1.0,0.0,[2 4] ; [2 4],[2. 4.] ; [2. 4.],0
p3,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
d2,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
d1,1,1.0,0.0,[2 4] ; [2 4],[2. 4.] ; [2. 4.],0
a7,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
b5,1,1.0,0.0,[4 2] ; [4 2],[4. 2.] ; [4. 2.],0
b1,1,1.0,0.0,[3 3] ; [3 3],[3. 3.] ; [3. 3.],0
