Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.002037,9.515974,[42 15] ; [ 8 14],[36.07594937 20.92405063] ; [13.92405063  8.07594937],0
s6,1,0.002054,9.500752,[52  5] ; [13  8],[47.5  9.5] ; [17.5  3.5],0
n4,1,0.006336,7.452208,[42 15] ; [ 9 13],[36.79746835 20.20253165] ; [14.20253165  7.79746835],0
s8,1,0.018168,5.579899,[35 22] ; [ 7 15],[30.30379747 26.69620253] ; [11.69620253 10.30379747],0
a8,1,0.022881,5.177539,[ 3 53] ; [ 5 17],[ 5.74358974 50.25641026] ; [ 2.25641026 19.74358974],0
r4,1,0.033244,4.53319,[52  5] ; [16  6],[49.06329114  7.93670886] ; [18.93670886  3.06329114],0
p4,1,0.045516,3.999435,[27 30] ; [ 5 17],[23.08860759 33.91139241] ; [ 8.91139241 13.08860759],0
p9,1,0.06006,3.535714,[44 12] ; [12  9],[40.72727273 15.27272727] ; [15.27272727  5.72727273],0
b5,1,0.06546,3.393344,[41 16] ; [11 11],[37.51898734 19.48101266] ; [14.48101266  7.51898734],0
s5,1,0.068069,3.32898,[25 31] ; [ 4 15],[21.65333333 34.34666667] ; [ 7.34666667 11.65333333],0
a4,1,0.071929,3.238433,[31 26] ; [ 7 15],[27.41772152 29.58227848] ; [10.58227848 11.41772152],0
p3,1,0.109217,2.565512,[24 33] ; [ 5 17],[20.92405063 36.07594937] ; [ 8.07594937 13.92405063],0
a7,1,0.114296,2.493799,[37 20] ; [10 12],[33.91139241 23.08860759] ; [13.08860759  8.91139241],0
d5,1,0.12627,2.337775,[45 12] ; [13  8],[42.38461538 14.61538462] ; [15.61538462  5.38461538],0
p11,1,0.127853,2.318385,[39 18] ; [11 11],[36.07594937 20.92405063] ; [13.92405063  8.07594937],0
b4,1,0.152674,2.045332,[36 21] ; [10 12],[33.18987342 23.81012658] ; [12.81012658  9.18987342],0
d2,1,0.157283,2.000158,[32 25] ; [ 8 13],[29.23076923 27.76923077] ; [10.76923077 10.23076923],0
u1,1,0.163517,1.941401,[13 44] ; [ 2 20],[10.82278481 46.17721519] ; [ 4.17721519 17.82278481],0
a2,1,0.163517,1.941401,[13 44] ; [ 2 20],[10.82278481 46.17721519] ; [ 4.17721519 17.82278481],0
s3,1,0.201352,1.632537,[44 12] ; [20  2],[45.94871795 10.05128205] ; [18.05128205  3.94871795],0
p10,1,0.214507,1.540746,[41 16] ; [12  9],[38.73076923 18.26923077] ; [14.26923077  6.73076923],0
p6,1,0.219709,1.506268,[19 38] ; [ 4 17],[16.80769231 40.19230769] ; [ 6.19230769 14.80769231],0
s7,1,0.296881,1.08815,[33 19] ; [10 10],[31.05555556 20.94444444] ; [11.94444444  8.05555556],0
p1,1,0.306991,1.043577,[ 7 50] ; [ 1 21],[ 5.7721519 51.2278481] ; [ 2.2278481 19.7721519],0
d1,1,0.319646,0.990394,[33 24] ; [10 12],[31.02531646 25.97468354] ; [11.97468354 10.02531646],0
d4,1,0.329548,0.950675,[43 14] ; [18  3],[44.57692308 12.42307692] ; [16.42307692  4.57692308],0
v3,1,0.337297,0.920679,[22 30] ; [ 6 14],[20.22222222 31.77777778] ; [ 7.77777778 12.22222222],0
v4,1,0.35343,0.861103,[53  4] ; [19  3],[51.94936709  5.05063291] ; [20.05063291  1.94936709],0
u2,1,0.403713,0.697239,[9 8] ; [5 2],[9.91666667 7.08333333] ; [4.08333333 2.91666667],0
a6,1,0.418313,0.65505,[33 24] ; [10 11],[31.42307692 25.57692308] ; [11.57692308  9.42307692],0
n2,1,0.468084,0.526496,[11  4] ; [11  2],[11.78571429  3.21428571] ; [10.21428571  2.78571429],0
b1,1,0.476344,0.507222,[26 31] ; [12 10],[27.41772152 29.58227848] ; [10.58227848 11.41772152],0
s4,1,0.528158,0.397935,[17 40] ; [ 5 17],[15.87341772 41.12658228] ; [ 6.12658228 15.87341772],0
p12,1,0.555512,0.347536,[ 5 52] ; [ 1 20],[ 4.38461538 52.61538462] ; [ 1.61538462 19.38461538],0
a5,1,0.575371,0.313779,[40 17] ; [14  8],[38.96202532 18.03797468] ; [15.03797468  6.96202532],0
n1,1,0.603332,0.27,[6 9] ; [6 6],[6.66666667 8.33333333] ; [5.33333333 6.66666667],0
p7,1,0.648213,0.208161,[23 32] ; [10 11],[23.88157895 31.11842105] ; [ 9.11842105 11.88157895],0
v1,1,0.660844,0.1925,[33 22] ; [12 10],[32.14285714 22.85714286] ; [12.85714286  9.14285714],0
r3,1,0.68584,0.163626,[53  4] ; [21  1],[53.39240506  3.60759494] ; [20.60759494  1.39240506],0
v2,1,0.731805,0.11746,[30 24] ; [12  8],[30.64864865 23.35135135] ; [11.35135135  8.64864865],0
p8,1,0.742304,0.108112,[15 42] ; [ 5 17],[14.43037975 42.56962025] ; [ 5.56962025 16.43037975],0
u3,1,0.750824,0.10084,[11  6] ; [5 2],[11.33333333  5.66666667] ; [4.66666667 2.33333333],0
r2,1,0.755179,0.09723,[53  4] ; [20  2],[52.67088608  4.32911392] ; [20.32911392  1.67088608],0
a1,1,0.755179,0.09723,[ 4 53] ; [ 2 20],[ 4.32911392 52.67088608] ; [ 1.67088608 20.32911392],0
r1,1,0.803802,0.061717,[43 14] ; [16  6],[42.56962025 14.43037975] ; [16.43037975  5.56962025],0
s1,1,0.814255,0.055197,[ 7 50] ; [ 3 18],[ 7.30769231 49.69230769] ; [ 2.69230769 18.30769231],0
d3,1,0.841791,0.039841,[34 23] ; [12  9],[33.61538462 23.38461538] ; [12.38461538  8.61538462],0
a3,1,0.862879,0.029829,[40 17] ; [15  7],[39.6835443 17.3164557] ; [15.3164557  6.6835443],0
b2,1,0.879514,0.022978,[13 27] ; [3 7],[12.8 27.2] ; [3.2 6.8],0
b3,1,0.879514,0.022978,[13 27] ; [3 7],[12.8 27.2] ; [3.2 6.8],0
n3,1,0.884799,0.020993,[10  5] ; [9 4],[10.17857143  4.82142857] ; [8.82142857 4.17857143],0
