Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,56.100359,[208  92] ; [37 87],[173.3490566 126.6509434] ; [71.6509434 52.3490566],1
p6,1,0.0,36.66862,[152 146] ; [ 24 101],[123.99054374 174.00945626] ; [52.00945626 72.99054374],1
p4,1,0.0,25.947635,[223  77] ; [61 64],[200.47058824  99.52941176] ; [83.52941176 41.47058824],1
p3,1,3e-06,21.777153,[188 112] ; [47 77],[166.27358491 133.72641509] ; [68.72641509 55.27358491],1
p11,1,0.001859,9.684249,[253  47] ; [89 36],[241.41176471  58.58823529] ; [100.58823529  24.41176471],0
s5,1,0.002275,9.313185,[136 153] ; [35 80],[122.32425743 166.67574257] ; [48.67574257 66.32425743],0
s7,1,0.004765,7.966633,[200  90] ; [64 54],[187.64705882 102.35294118] ; [76.35294118 41.64705882],0
a1,1,0.008572,6.909965,[ 21 279] ; [  1 124],[ 15.52941176 284.47058824] ; [  6.47058824 118.52941176],0
b5,1,0.016933,5.703329,[164 136] ; [84 41],[175.05882353 124.94117647] ; [72.94117647 52.05882353],0
b1,1,0.04342,4.07899,[125 175] ; [39 86],[115.76470588 184.23529412] ; [48.23529412 76.76470588],0
p5,1,0.048832,3.881118,[ 45 254] ; [ 10 115],[ 38.78537736 260.21462264] ; [ 16.21462264 108.78537736],0
r3,1,0.051168,3.802768,[292   6] ; [118   7],[288.84160757   9.15839243] ; [121.15839243   3.84160757],0
s8,1,0.053033,3.742868,[183 117] ; [63 61],[174.05660377 125.94339623] ; [71.94339623 52.05660377],0
v3,1,0.060738,3.517127,[129 163] ; [41 79],[120.48543689 171.51456311] ; [49.51456311 70.48543689],0
r1,1,0.078736,3.090803,[252  46] ; [96 28],[245.74407583  52.25592417] ; [102.25592417  21.74407583],0
n6,1,0.092067,2.837863,[260  36] ; [102  23],[254.51781473  41.48218527] ; [107.48218527  17.51781473],0
v2,1,0.093288,2.816695,[166 121] ; [58 61],[158.34482759 128.65517241] ; [65.65517241 53.34482759],0
p10,1,0.10201,2.673834,[256  41] ; [99 25],[250.43942993  46.56057007] ; [104.56057007  19.43942993],0
d3,1,0.10919,2.565911,[220  80] ; [82 43],[213.17647059  86.82352941] ; [88.82352941 36.17647059],0
a2,1,0.112489,2.518907,[ 82 218] ; [ 25 100],[ 75.52941176 224.47058824] ; [31.47058824 93.52941176],0
b4,1,0.113301,2.507559,[172 128] ; [82 43],[179.29411765 120.70588235] ; [74.70588235 50.29411765],0
v1,1,0.115972,2.470894,[163 128] ; [56 62],[155.81662592 135.18337408] ; [63.18337408 54.81662592],0
a7,1,0.131581,2.273753,[208  91] ; [96 29],[214.37735849  84.62264151] ; [89.62264151 35.37735849],0
a4,1,0.142362,2.152244,[138 161] ; [48 77],[131.16509434 167.83490566] ; [54.83490566 70.16509434],0
