Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.006663,7.361685,[13 11] ; [21 63],[ 7.55555556 16.44444444] ; [26.44444444 57.55555556],0
p6,1,0.018944,5.506699,[ 8 17] ; [10 73],[ 4.16666667 20.83333333] ; [13.83333333 69.16666667],0
a7,1,0.024314,5.072106,[19  6] ; [43 42],[14.09090909 10.90909091] ; [47.90909091 37.09090909],0
a3,1,0.090384,2.867513,[18  7] ; [45 40],[14.31818182 10.68181818] ; [48.68181818 36.31818182],0
a1,1,0.104705,2.632369,[ 4 21] ; [ 5 80],[ 2.04545455 22.95454545] ; [ 6.95454545 78.04545455],0
a2,1,0.104705,2.632369,[ 4 21] ; [ 5 80],[ 2.04545455 22.95454545] ; [ 6.95454545 78.04545455],0
a6,1,0.111243,2.536471,[16  9] ; [39 46],[12.5 12.5] ; [42.5 42.5],0
n4,1,0.118447,2.437735,[19  6] ; [50 35],[15.68181818  9.31818182] ; [53.31818182 31.68181818],0
b3,1,0.135432,2.229107,[8 4] ; [20 27],[5.69491525 6.30508475] ; [22.30508475 24.69491525],0
b2,1,0.135432,2.229107,[8 4] ; [20 27],[5.69491525 6.30508475] ; [22.30508475 24.69491525],0
p3,1,0.138466,2.194929,[ 3 22] ; [22 62],[ 5.73394495 19.26605505] ; [19.26605505 64.73394495],0
r2,1,0.153674,2.035402,[21  4] ; [57 25],[18.22429907  6.77570093] ; [59.77570093 22.22429907],0
n2,1,0.237393,1.396011,[4 4] ; [23  9],[5.4 2.6] ; [21.6 10.4],0
d5,1,0.246003,1.345863,[19  6] ; [54 31],[16.59090909  8.40909091] ; [56.40909091 28.59090909],0
d3,1,0.255291,1.294118,[15 10] ; [40 45],[12.5 12.5] ; [42.5 42.5],0
n3,1,0.262943,1.253197,[6 2] ; [17 15],[4.6 3.4] ; [18.4 13.6],0
s8,1,0.311415,1.024666,[ 6 19] ; [13 72],[ 4.31818182 20.68181818] ; [14.68181818 70.31818182],0
v1,1,0.324127,0.972222,[10 14] ; [25 56],[ 8. 16.] ; [27. 54.],0
p2,1,0.337437,0.920145,[12 13] ; [50 35],[14.09090909 10.90909091] ; [47.90909091 37.09090909],0
d4,1,0.339703,0.911552,[19  6] ; [56 29],[17.04545455  7.95454545] ; [57.95454545 27.04545455],0
s2,1,0.339703,0.911552,[ 6 19] ; [29 56],[ 7.95454545 17.04545455] ; [27.04545455 57.95454545],0
p1,1,0.352972,0.862745,[ 4 21] ; [ 8 77],[ 2.72727273 22.27272727] ; [ 9.27272727 75.72727273],0
s4,1,0.361951,0.831111,[ 3 22] ; [17 68],[ 4.54545455 20.45454545] ; [15.45454545 69.54545455],0
u1,1,0.385489,0.753122,[ 1 24] ; [ 8 77],[ 2.04545455 22.95454545] ; [ 6.95454545 78.04545455],0
p4,1,0.395102,0.723183,[ 6 19] ; [28 57],[ 7.72727273 17.27272727] ; [26.27272727 58.72727273],0
b4,1,0.408481,0.683219,[17  8] ; [50 35],[15.22727273  9.77272727] ; [51.77272727 33.22727273],0
s5,1,0.43952,0.597536,[ 3 19] ; [17 64],[ 4.27184466 17.72815534] ; [15.72815534 65.27184466],0
n5,1,0.443609,0.586929,[15 10] ; [58 27],[16.59090909  8.40909091] ; [56.40909091 28.59090909],0
