Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,9e-06,19.770453,[32 72] ; [18  4],[41.26984127 62.73015873] ; [ 8.73015873 13.26984127],1
s5,1,0.0006,11.775324,[14 88] ; [ 9 10],[19.38842975 82.61157025] ; [ 3.61157025 15.38842975],1
n6,1,0.016066,5.795592,[61 42] ; [19  3],[65.92 37.08] ; [14.08  7.92],0
n5,1,0.021875,5.255725,[69 34] ; [ 9 13],[64.272 38.728] ; [13.728  8.272],0
p6,1,0.025196,5.01037,[10 93] ; [ 6 16],[13.184 89.816] ; [ 2.816 19.184],0
p12,1,0.026904,4.896988,[ 5 99] ; [ 4 18],[ 7.42857143 96.57142857] ; [ 1.57142857 20.42857143],0
v2,1,0.043195,4.087743,[35 63] ; [12  8],[39.03389831 58.96610169] ; [ 7.96610169 12.03389831],0
s2,1,0.046967,3.94658,[23 81] ; [ 9 12],[26.624 77.376] ; [ 5.376 15.624],0
s7,1,0.056808,3.628221,[22 75] ; [ 9 12],[25.48305085 71.51694915] ; [ 5.51694915 15.48305085],0
a2,1,0.079028,3.084783,[21 83] ; [ 1 21],[18.15873016 85.84126984] ; [ 3.84126984 18.15873016],0
a6,1,0.080958,3.04556,[63 40] ; [ 9 13],[59.328 43.672] ; [12.672  9.328],0
p8,1,0.136053,2.222047,[24 79] ; [ 2 20],[21.424 81.576] ; [ 4.576 17.424],0
p9,1,0.158628,1.987258,[45 55] ; [13  8],[47.9338843 52.0661157] ; [10.0661157 10.9338843],0
u3,1,0.172516,1.860939,[15 26] ; [5 3],[16.73469388 24.26530612] ; [3.26530612 4.73469388],0
d3,1,0.198593,1.652694,[50 53] ; [14  8],[52.736 50.264] ; [11.264 10.736],0
s3,1,0.295272,1.095427,[32 71] ; [ 9 12],[34.05645161 68.94354839] ; [ 6.94354839 14.05645161],0
r2,1,0.312667,1.019378,[83 19] ; [19  2],[84.58536585 17.41463415] ; [17.41463415  3.58536585],0
s1,1,0.330632,0.946422,[ 8 96] ; [ 3 18],[ 9.152 94.848] ; [ 1.848 19.152],0
v4,1,0.347013,0.884349,[75 29] ; [18  4],[76.76190476 27.23809524] ; [16.23809524  5.76190476],0
p1,1,0.369544,0.805196,[ 8 96] ; [ 3 19],[ 9.07936508 94.92063492] ; [ 1.92063492 20.07936508],0
r3,1,0.441464,0.592474,[77 27] ; [18  4],[78.41269841 25.58730159] ; [16.58730159  5.41269841],0
d2,1,0.443455,0.587327,[46 55] ; [12 10],[47.62601626 53.37398374] ; [10.37398374 11.62601626],0
r4,1,0.455461,0.557026,[67 37] ; [16  6],[68.50793651 35.49206349] ; [14.49206349  7.50793651],0
d1,1,0.473994,0.512651,[48 56] ; [12 10],[49.52380952 54.47619048] ; [10.47619048 11.52380952],0
a4,1,0.484391,0.488962,[41 62] ; [ 7 15],[39.552 63.448] ; [ 8.448 13.552],0
b5,1,0.48792,0.481111,[53 51] ; [13  9],[54.47619048 49.52380952] ; [11.52380952 10.47619048],0
b4,1,0.498131,0.458916,[58 46] ; [14  8],[59.42857143 44.57142857] ; [12.57142857  9.42857143],0
s8,1,0.53054,0.393357,[22 82] ; [ 6 16],[23.11111111 80.88888889] ; [ 4.88888889 17.11111111],0
p10,1,0.550521,0.356384,[48 53] ; [12 10],[49.26829268 51.73170732] ; [10.73170732 11.26829268],0
p7,1,0.586485,0.295868,[29 73] ; [ 5 17],[27.96774194 74.03225806] ; [ 6.03225806 15.96774194],0
n1,1,0.608517,0.26234,[18 22] ; [4 7],[17.25490196 22.74509804] ; [4.74509804 6.25490196],0
n3,1,0.621176,0.244219,[21 17] ; [7 4],[21.71428571 16.28571429] ; [6.28571429 4.71428571],0
p11,1,0.653409,0.201629,[48 56] ; [ 9 13],[47.04761905 56.95238095] ; [ 9.95238095 12.04761905],0
n2,1,0.656874,0.197343,[26 16] ; [6 5],[25.35849057 16.64150943] ; [6.64150943 4.35849057],0
