Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9.3e-05,15.265787,[11  3] ; [ 71 176],[4.39846743 9.60153257] ; [ 77.60153257 169.39846743],1
p3,1,0.000317,12.969198,[10  5] ; [ 60 187],[ 4.00763359 10.99236641] ; [ 65.99236641 181.00763359],1
p10,1,0.005968,7.560055,[13  1] ; [136 109],[8.05405405 5.94594595] ; [140.94594595 104.05405405],0
s5,1,0.009328,6.758997,[6 9] ; [ 35 205],[ 2.41176471 12.58823529] ; [ 38.58823529 201.41176471],0
p1,1,0.028671,4.787261,[ 3 12] ; [ 14 233],[ 0.97328244 14.02671756] ; [ 16.02671756 230.97328244],0
d2,1,0.038598,4.278455,[10  5] ; [ 97 148],[6.17307692 8.82692308] ; [100.82692308 144.17307692],0
p9,1,0.055412,3.669657,[13  2] ; [151  92],[9.53488372 5.46511628] ; [154.46511628  88.53488372],0
s6,1,0.06251,3.469518,[9 6] ; [ 89 158],[5.61068702 9.38931298] ; [ 92.38931298 154.61068702],0
r1,1,0.08542,2.958633,[13  2] ; [160  86],[9.94252874 5.05747126] ; [163.05747126  82.94252874],0
d3,1,0.10223,2.670411,[12  3] ; [145 102],[8.98854962 6.01145038] ; [148.01145038  98.98854962],0
n5,1,0.161787,1.957442,[12  3] ; [152  93],[9.46153846 5.53846154] ; [154.53846154  90.46153846],0
a3,1,0.183215,1.771352,[12  3] ; [155  91],[9.59770115 5.40229885] ; [157.40229885  88.59770115],0
a8,1,0.183498,1.76906,[ 3 11] ; [ 23 205],[ 1.50413223 12.49586777] ; [ 24.49586777 203.50413223],0
v3,1,0.21123,1.562977,[6 8] ; [ 66 175],[ 3.95294118 10.04705882] ; [ 68.04705882 172.95294118],0
s7,1,0.215095,1.536797,[5 9] ; [ 51 186],[ 3.12350598 10.87649402] ; [ 52.87649402 184.12350598],0
a2,1,0.243447,1.360523,[ 1 14] ; [ 46 202],[ 2.68060837 12.31939163] ; [ 44.31939163 203.68060837],0
a5,1,0.280296,1.165654,[11  4] ; [147 101],[9.01140684 5.98859316] ; [148.98859316  99.01140684],0
n4,1,0.289074,1.123928,[12  3] ; [165  82],[10.13358779  4.86641221] ; [166.86641221  80.13358779],0
v2,1,0.294913,1.097055,[8 6] ; [102 136],[6.11111111 7.88888889] ; [103.88888889 134.11111111],0
u1,1,0.309704,1.031937,[ 3 12] ; [ 28 220],[ 1.76806084 13.23193916] ; [ 29.23193916 218.76806084],0
p7,1,0.312174,1.021457,[7 8] ; [ 83 162],[5.19230769 9.80769231] ; [ 84.80769231 160.19230769],0
p12,1,0.323063,0.976504,[ 1 14] ; [  6 241],[ 0.40076336 14.59923664] ; [  6.59923664 240.40076336],0
s8,1,0.339544,0.912153,[ 4 11] ; [ 42 205],[ 2.63358779 12.36641221] ; [ 43.36641221 203.63358779],0
b3,1,0.341494,0.904816,[7 6] ; [58 86],[5.38216561 7.61783439] ; [59.61783439 84.38216561],0
b2,1,0.341494,0.904816,[7 6] ; [58 86],[5.38216561 7.61783439] ; [59.61783439 84.38216561],0
v1,1,0.365529,0.818809,[7 8] ; [ 85 157],[5.36964981 9.63035019] ; [ 86.63035019 155.36964981],0
a7,1,0.394565,0.724827,[8 7] ; [158  88],[9.54022989 5.45977011] ; [156.45977011  89.54022989],0
p11,1,0.432423,0.616308,[11  4] ; [157  91],[9.58174905 5.41825095] ; [158.41825095  89.58174905],0
d1,1,0.439853,0.596667,[8 7] ; [107 141],[6.55893536 8.44106464] ; [108.44106464 139.55893536],0
n6,1,0.446531,0.579442,[12  3] ; [175  72],[10.70610687  4.29389313] ; [176.29389313  70.70610687],0
d5,1,0.451824,0.566073,[12  3] ; [176  72],[10.72243346  4.27756654] ; [177.27756654  70.72243346],0
r4,1,0.489654,0.477287,[12  3] ; [178  70],[10.8365019  4.1634981] ; [179.1634981  68.8365019],0
b5,1,0.492329,0.471431,[10  5] ; [143 105],[8.72623574 6.27376426] ; [144.27376426 103.72623574],0
p2,1,0.500869,0.453095,[10  4] ; [155  93],[8.81679389 5.18320611] ; [156.18320611  91.81679389],0
u3,1,0.508942,0.436241,[2 1] ; [44 49],[1.4375 1.5625] ; [44.5625 48.4375],0
r2,1,0.519362,0.415161,[12  3] ; [209  34],[12.84883721  2.15116279] ; [208.15116279  34.84883721],0
a6,1,0.525424,0.403234,[11  4] ; [162  86],[9.86692015 5.13307985] ; [163.13307985  84.86692015],0
a4,1,0.554296,0.349676,[ 5 10] ; [101 145],[6.09195402 8.90804598] ; [ 99.90804598 146.09195402],0
d4,1,0.582181,0.302722,[12  3] ; [181  65],[11.09195402  3.90804598] ; [181.90804598  64.09195402],0
b1,1,0.649705,0.206273,[7 8] ; [101 147],[6.15969582 8.84030418] ; [101.84030418 146.15969582],0
s3,1,0.733906,0.115556,[ 4 11] ; [ 56 189],[ 3.46153846 11.53846154] ; [ 56.53846154 188.46153846],0
v4,1,0.748969,0.1024,[12  3] ; [203  41],[12.45173745  2.54826255] ; [202.54826255  41.45173745],0
r3,1,0.789726,0.071111,[13  2] ; [206  39],[12.63461538  2.36538462] ; [206.36538462  38.63461538],0
a1,1,0.811353,0.056969,[ 1 14] ; [ 13 235],[ 0.79847909 14.20152091] ; [ 13.20152091 234.79847909],0
p6,1,0.901861,0.015205,[ 2 12] ; [ 38 207],[ 2.16216216 11.83783784] ; [ 37.83783784 207.16216216],0
b4,1,0.945507,0.004672,[9 6] ; [151  97],[9.12547529 5.87452471] ; [150.87452471  97.12547529],0
