Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000177,14.065711,[ 6 40] ; [15 13],[13.05405405 32.94594595] ; [ 7.94594595 20.05405405],1
p4,1,0.001595,9.965978,[10 37] ; [16 12],[16.29333333 30.70666667] ; [ 9.70666667 18.29333333],0
p6,1,0.002231,9.348925,[ 6 41] ; [12 15],[11.43243243 35.56756757] ; [ 6.56756757 20.43243243],0
p2,1,0.00934,6.756551,[22 25] ; [21  6],[27.31081081 19.68918919] ; [15.68918919 11.31081081],0
a4,1,0.011138,6.443222,[23 23] ; [ 6 23],[17.78666667 28.21333333] ; [11.21333333 17.78666667],0
p10,1,0.016957,5.700786,[22 25] ; [21  7],[26.94666667 20.05333333] ; [16.05333333 11.94666667],0
s2,1,0.018114,5.585106,[11 36] ; [14 14],[15.66666667 31.33333333] ; [ 9.33333333 18.66666667],0
u2,1,0.033816,4.503989,[ 4 13] ; [7 4],[ 6.67857143 10.32142857] ; [4.32142857 6.67857143],0
b5,1,0.039085,4.257178,[21 26] ; [20  9],[25.35526316 21.64473684] ; [15.64473684 13.35526316],0
r3,1,0.046854,3.950606,[22 24] ; [20  8],[26.10810811 19.89189189] ; [15.89189189 12.10810811],0
s6,1,0.075525,3.158655,[13 34] ; [13 14],[16.51351351 30.48648649] ; [ 9.48648649 17.51351351],0
s7,1,0.089205,2.888662,[11 33] ; [12 15],[14.25352113 29.74647887] ; [ 8.74647887 18.25352113],0
n2,1,0.092842,2.824387,[10 12] ; [11  4],[12.48648649  9.51351351] ; [8.51351351 6.48648649],0
p11,1,0.098343,2.732208,[20 27] ; [18 11],[23.5 23.5] ; [14.5 14.5],0
s8,1,0.100801,2.692819,[ 5 42] ; [ 7 21],[ 7.52 39.48] ; [ 4.48 23.52],0
v4,1,0.109762,2.557644,[30 17] ; [22  5],[33.02702703 13.97297297] ; [18.97297297  8.02702703],0
s4,1,0.116923,2.458058,[ 5 42] ; [ 7 22],[ 7.42105263 39.57894737] ; [ 4.57894737 24.42105263],0
d1,1,0.140686,2.170442,[26 21] ; [11 18],[22.88157895 24.11842105] ; [14.11842105 14.88157895],0
b3,1,0.182422,1.777778,[12 13] ; [ 4 11],[10. 15.] ; [6. 9.],0
b2,1,0.182422,1.777778,[12 13] ; [ 4 11],[10. 15.] ; [6. 9.],0
a5,1,0.210229,1.569849,[28 19] ; [13 16],[25.35526316 21.64473684] ; [15.64473684 13.35526316],0
p3,1,0.211504,1.561102,[12 35] ; [11 17],[14.41333333 32.58666667] ; [ 8.58666667 19.41333333],0
n1,1,0.2473,1.33849,[10 12] ; [ 4 11],[ 8.32432432 13.67567568] ; [5.67567568 9.32432432],0
p5,1,0.277837,1.177642,[ 3 44] ; [ 4 25],[ 4.32894737 42.67105263] ; [ 2.67105263 26.32894737],0
n4,1,0.296869,1.088207,[30 17] ; [15 14],[27.82894737 19.17105263] ; [17.17105263 11.82894737],0
p9,1,0.338768,0.91509,[25 21] ; [19 10],[26.98666667 19.01333333] ; [17.01333333 11.98666667],0
v2,1,0.35593,0.852202,[16 29] ; [13 15],[17.87671233 27.12328767] ; [11.12328767 16.87671233],0
d2,1,0.3674,0.81244,[25 20] ; [13 16],[23.10810811 21.89189189] ; [14.89189189 14.10810811],0
b1,1,0.374047,0.790175,[21 26] ; [16 13],[22.88157895 24.11842105] ; [14.11842105 14.88157895],0
b4,1,0.392082,0.732475,[29 18] ; [15 14],[27.21052632 19.78947368] ; [16.78947368 12.21052632],0
p1,1,0.417978,0.655992,[ 6 41] ; [ 2 27],[ 4.94736842 42.05263158] ; [ 3.05263158 25.94736842],0
n3,1,0.463193,0.538169,[11 10] ; [6 9],[ 9.91666667 11.08333333] ; [7.08333333 7.91666667],0
d5,1,0.529359,0.395622,[34 13] ; [19 10],[32.77631579 14.22368421] ; [20.22368421  8.77631579],0
a7,1,0.535451,0.384036,[22 24] ; [16 13],[23.30666667 22.69333333] ; [14.69333333 14.30666667],0
a2,1,0.568763,0.324756,[ 7 40] ; [ 3 26],[ 6.18421053 40.81578947] ; [ 3.81578947 25.18421053],0
u1,1,0.577819,0.309774,[ 3 44] ; [ 1 28],[ 2.47368421 44.52631579] ; [ 1.52631579 27.47368421],0
r1,1,0.655151,0.199468,[14 33] ; [ 7 21],[13.16 33.84] ; [ 7.84 20.16],0
u3,1,0.668129,0.183799,[ 7 10] ; [4 8],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
n6,1,0.735877,0.113784,[28 19] ; [15 12],[27.31081081 19.68918919] ; [15.68918919 11.31081081],0
