Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,31.033333,[10 28] ; [74 21],[24. 14.] ; [60. 35.],1
s5,1,0.034155,4.486914,[ 2 34] ; [20 75],[ 6.04580153 29.95419847] ; [15.95419847 79.04580153],0
p10,1,0.046049,3.979815,[19 18] ; [65 28],[23.90769231 13.09230769] ; [60.09230769 32.90769231],0
p9,1,0.051932,3.777972,[21 16] ; [69 24],[25.61538462 11.38461538] ; [64.38461538 28.61538462],0
a4,1,0.095304,2.782425,[ 5 33] ; [25 69],[ 8.63636364 29.36363636] ; [21.36363636 72.63636364],0
s6,1,0.113501,2.504779,[14 23] ; [50 44],[18.07633588 18.92366412] ; [45.92366412 48.07633588],0
v1,1,0.151904,2.053025,[10 27] ; [38 56],[13.55725191 23.44274809] ; [34.44274809 59.55725191],0
r3,1,0.153852,2.033639,[34  4] ; [75 20],[31.14285714  6.85714286] ; [77.85714286 17.14285714],0
v4,1,0.158981,1.983889,[34  3] ; [78 17],[31.39393939  5.60606061] ; [80.60606061 14.39393939],0
a5,1,0.168541,1.895869,[14 24] ; [48 48],[17.58208955 20.41791045] ; [44.41791045 51.58208955],0
u3,1,0.199143,1.648651,[13 11] ; [20 32],[10.42105263 13.57894737] ; [22.57894737 29.42105263],0
u2,1,0.202152,1.626756,[12 12] ; [18 34],[ 9.47368421 14.52631579] ; [20.52631579 31.47368421],0
n1,1,0.207712,1.587302,[ 4 11] ; [16 19],[6. 9.] ; [14. 21.],0
d2,1,0.244602,1.353872,[ 7 31] ; [27 69],[ 9.64179104 28.35820896] ; [24.35820896 71.64179104],0
p3,1,0.246429,1.343434,[10 28] ; [35 60],[12.85714286 25.14285714] ; [32.14285714 62.85714286],0
s4,1,0.288007,1.128912,[ 6 32] ; [23 72],[ 8.28571429 29.71428571] ; [20.71428571 74.28571429],0
a3,1,0.296206,1.091196,[14 24] ; [44 50],[16.6969697 21.3030303] ; [41.3030303 52.6969697],0
s7,1,0.30906,1.03469,[10 28] ; [32 58],[12.46875 25.53125] ; [29.53125 60.46875],0
d5,1,0.34719,0.8837,[14 23] ; [45 51],[16.41353383 20.58646617] ; [42.58646617 53.41353383],0
n6,1,0.365389,0.819287,[26 12] ; [73 23],[28.07462687  9.92537313] ; [70.92537313 25.07462687],0
b5,1,0.401493,0.70385,[24 14] ; [53 43],[21.8358209 16.1641791] ; [55.1641791 40.8358209],0
b2,1,0.44088,0.593992,[ 4 19] ; [14 41],[ 5.30769231 17.69230769] ; [12.69230769 42.30769231],0
b3,1,0.44088,0.593992,[ 4 19] ; [14 41],[ 5.30769231 17.69230769] ; [12.69230769 42.30769231],0
d3,1,0.461932,0.54121,[10 27] ; [20 75],[ 8.40909091 28.59090909] ; [21.59090909 73.40909091],0
r4,1,0.498644,0.457821,[28 10] ; [65 31],[26.37313433 11.62686567] ; [66.62686567 29.37313433],0
p4,1,0.503859,0.446799,[15 23] ; [44 52],[16.73134328 21.26865672] ; [42.26865672 53.73134328],0
p6,1,0.505462,0.443449,[ 8 30] ; [25 69],[ 9.5 28.5] ; [23.5 70.5],0
s3,1,0.505806,0.442734,[14 23] ; [42 53],[15.6969697 21.3030303] ; [40.3030303 54.6969697],0
d1,1,0.515635,0.422615,[ 1 37] ; [ 5 91],[ 1.70149254 36.29850746] ; [ 4.29850746 91.70149254],0
p1,1,0.543271,0.369511,[ 3 35] ; [11 85],[ 3.97014925 34.02985075] ; [10.02985075 85.97014925],0
a6,1,0.585736,0.297052,[19 19] ; [53 43],[20.41791045 17.58208955] ; [51.58208955 44.41791045],0
s8,1,0.593051,0.285604,[13 25] ; [28 67],[11.71428571 26.28571429] ; [29.28571429 65.71428571],0
p11,1,0.652601,0.202637,[25 13] ; [67 29],[26.08955224 11.91044776] ; [65.91044776 30.08955224],0
b4,1,0.659236,0.194452,[17 21] ; [47 49],[18.14925373 19.85074627] ; [45.85074627 50.14925373],0
s2,1,0.667739,0.184258,[13 24] ; [30 66],[11.96240602 25.03759398] ; [31.03759398 64.96240602],0
r2,1,0.668784,0.183028,[32  6] ; [77 18],[31.14285714  6.85714286] ; [77.85714286 17.14285714],0
a2,1,0.672409,0.178797,[ 2 36] ; [ 7 89],[ 2.55223881 35.44776119] ; [ 6.44776119 89.55223881],0
a1,1,0.672585,0.178594,[ 1 37] ; [ 4 92],[ 1.41791045 36.58208955] ; [ 3.58208955 92.41791045],0
p2,1,0.686409,0.163001,[29  9] ; [70 26],[28.07462687  9.92537313] ; [70.92537313 25.07462687],0
n2,1,0.691555,0.157407,[10  5] ; [26 10],[10.58823529  4.41176471] ; [25.41176471 10.58823529],0
n3,1,0.701307,0.147115,[12  3] ; [27  9],[11.47058824  3.52941176] ; [27.52941176  8.47058824],0
a8,1,0.752379,0.099543,[ 5 32] ; [10 77],[ 4.47580645 32.52419355] ; [10.52419355 76.47580645],0
s1,1,0.796574,0.066452,[ 2 36] ; [ 6 87],[ 2.32061069 35.67938931] ; [ 5.67938931 87.32061069],0
