Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,8.3e-05,15.483524,[ 4 13] ; [61 22],[11.05  5.95] ; [53.95 29.05],1
s5,1,0.008857,6.851482,[ 1 16] ; [31 49],[ 5.60824742 11.39175258] ; [26.39175258 53.60824742],0
a6,1,0.023791,5.109773,[ 7 10] ; [58 25],[11.05  5.95] ; [53.95 29.05],0
d5,1,0.029796,4.721,[9 8] ; [65 18],[12.58  4.42] ; [61.42 21.58],0
n3,1,0.040369,4.202296,[9 1] ; [15 13],[6.31578947 3.68421053] ; [17.68421053 10.31578947],0
b5,1,0.065861,3.383283,[ 7 10] ; [54 29],[10.37  6.63] ; [50.63 32.37],0
b4,1,0.065861,3.383283,[ 7 10] ; [54 29],[10.37  6.63] ; [50.63 32.37],0
s1,1,0.075534,3.158461,[ 2 15] ; [ 2 80],[ 0.68686869 16.31313131] ; [ 3.31313131 78.68686869],0
v3,1,0.08136,3.037528,[ 3 14] ; [32 48],[ 6.13402062 10.86597938] ; [28.86597938 51.13402062],0
a4,1,0.090329,2.868501,[ 4 13] ; [38 45],[7.14 9.86] ; [34.86 48.14],0
v2,1,0.147149,2.101564,[8 9] ; [52 27],[10.625  6.375] ; [49.375 29.625],0
p6,1,0.150337,2.068828,[ 2 15] ; [22 55],[ 4.34042553 12.65957447] ; [19.65957447 57.34042553],0
p8,1,0.186152,1.747813,[ 5 12] ; [38 43],[7.45918367 9.54081633] ; [35.54081633 45.45918367],0
b2,1,0.209056,1.57795,[2 7] ; [18 22],[3.67346939 5.32653061] ; [16.32653061 23.67346939],0
b3,1,0.209056,1.57795,[2 7] ; [18 22],[3.67346939 5.32653061] ; [16.32653061 23.67346939],0
s8,1,0.226778,1.460955,[ 4 13] ; [32 50],[ 6.18181818 10.81818182] ; [29.81818182 52.18181818],0
s6,1,0.253229,1.3054,[9 8] ; [54 26],[11.04123711  5.95876289] ; [51.95876289 28.04123711],0
r3,1,0.256595,1.287034,[14  3] ; [75  7],[15.28282828  1.71717172] ; [73.71717172  8.28282828],0
a7,1,0.269691,1.218319,[10  7] ; [60 23],[11.9  5.1] ; [58.1 24.9],0
p3,1,0.292644,1.107417,[ 5 12] ; [35 46],[ 6.93877551 10.06122449] ; [33.06122449 47.93877551],0
a2,1,0.304819,1.052994,[ 2 15] ; [19 64],[ 3.57 13.43] ; [17.43 65.57],0
n2,1,0.317916,0.9975,[9 1] ; [21  7],[7.89473684 2.10526316] ; [22.10526316  5.89473684],0
r1,1,0.337589,0.919564,[11  6] ; [63 20],[12.58  4.42] ; [61.42 21.58],0
p2,1,0.352483,0.864497,[11  6] ; [62 20],[12.53535354  4.46464646] ; [60.46464646 21.53535354],0
n6,1,0.36444,0.822535,[9 8] ; [53 29],[10.64646465  6.35353535] ; [51.35353535 30.64646465],0
p7,1,0.399728,0.709144,[8 9] ; [46 33],[9.5625 7.4375] ; [44.4375 34.5625],0
v4,1,0.406763,0.688241,[15  2] ; [77  5],[15.7979798  1.2020202] ; [76.2020202  5.7979798],0
p11,1,0.431301,0.619318,[10  7] ; [57 26],[11.39  5.61] ; [55.61 27.39],0
n5,1,0.446378,0.579833,[8 8] ; [33 50],[6.62626263 9.37373737] ; [34.37373737 48.62626263],0
b1,1,0.454607,0.559139,[8 9] ; [31 52],[ 6.63 10.37] ; [32.37 50.63],0
p10,1,0.517408,0.419057,[14  3] ; [60 20],[12.96907216  4.03092784] ; [61.03092784 18.96907216],0
s2,1,0.536497,0.382071,[ 7 10] ; [41 42],[8.16 8.84] ; [39.84 43.16],0
p9,1,0.562832,0.334824,[15  2] ; [66 14],[14.19587629  2.80412371] ; [66.80412371 13.19587629],0
p1,1,0.67349,0.177547,[ 2 15] ; [ 7 75],[ 1.54545455 15.45454545] ; [ 7.45454545 74.54545455],0
r4,1,0.689653,0.159461,[13  4] ; [67 16],[13.6  3.4] ; [66.4 16.6],0
a8,1,0.704841,0.143485,[ 1 16] ; [ 3 75],[ 0.71578947 16.28421053] ; [ 3.28421053 74.71578947],0
s4,1,0.709481,0.138796,[ 3 14] ; [18 65],[ 3.57 13.43] ; [17.43 65.57],0
u3,1,0.745939,0.104975,[4 1] ; [19  7],[3.70967742 1.29032258] ; [19.29032258  6.70967742],0
n1,1,0.749543,0.101916,[2 8] ; [ 7 21],[2.36842105 7.63157895] ; [ 6.63157895 21.36842105],0
s3,1,0.754835,0.097513,[8 9] ; [42 40],[8.58585859 8.41414141] ; [41.41414141 40.58585859],0
s7,1,0.780394,0.077733,[7 9] ; [32 48],[6.5 9.5] ; [32.5 47.5],0
u2,1,0.865455,0.028708,[3 2] ; [16  9],[3.16666667 1.83333333] ; [15.83333333  9.16666667],0
d2,1,0.872956,0.02557,[ 6 11] ; [31 52],[ 6.29 10.71] ; [30.71 52.29],0
a5,1,0.876494,0.024154,[12  5] ; [57 26],[11.73  5.27] ; [57.27 25.73],0
a3,1,0.876494,0.024154,[12  5] ; [57 26],[11.73  5.27] ; [57.27 25.73],0
p4,1,0.88395,0.021306,[8 9] ; [37 45],[7.72727273 9.27272727] ; [37.27272727 44.72727273],0
r2,1,0.924935,0.008877,[15  2] ; [73  9],[15.11111111  1.88888889] ; [72.88888889  9.11111111],0
p5,1,0.963773,0.002063,[ 1 16] ; [ 5 76],[ 1.04081633 15.95918367] ; [ 4.95918367 76.04081633],0
