Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,4e-06,21.193834,[93 41] ; [72 96],[73.21192053 60.78807947] ; [91.78807947 76.21192053],1
v3,1,0.000312,12.995307,[61 74] ; [ 43 126],[46.18421053 88.81578947] ; [ 57.81578947 111.18421053],1
p3,1,0.002346,9.256944,[61 78] ; [ 48 127],[48.25159236 90.74840764] ; [ 60.74840764 114.25159236],0
s6,1,0.004595,8.032142,[98 41] ; [96 79],[85.87898089 53.12101911] ; [108.12101911  66.87898089],0
p6,1,0.004836,7.93972,[43 94] ; [ 31 144],[ 32.49358974 104.50641026] ; [ 41.50641026 133.49358974],0
n5,1,0.005106,7.841469,[103  36] ; [102  71],[91.33012821 47.66987179] ; [113.66987179  59.33012821],0
p4,1,0.011042,6.458475,[74 66] ; [ 67 107],[62.86624204 77.13375796] ; [78.13375796 95.86624204],0
p2,1,0.014226,6.009868,[111  29] ; [117  58],[101.33333333  38.66666667] ; [126.66666667  48.33333333],0
s7,1,0.038918,4.264437,[64 69] ; [ 61 107],[55.23255814 77.76744186] ; [69.76744186 98.23255814],0
p7,1,0.045316,4.006832,[64 73] ; [ 61 111],[55.42071197 81.57928803] ; [ 69.57928803 102.42071197],0
s8,1,0.051455,3.793411,[58 82] ; [ 54 121],[49.77777778 90.22222222] ; [ 62.22222222 112.77777778],0
p9,1,0.079277,3.079653,[113  26] ; [126  47],[106.4775641  32.5224359] ; [132.5224359  40.4775641],0
p11,1,0.081748,3.029809,[98 42] ; [106  69],[90.66666667 49.33333333] ; [113.33333333  61.66666667],0
s2,1,0.083681,2.991917,[73 64] ; [76 99],[65.42628205 71.57371795] ; [83.57371795 91.42628205],0
n4,1,0.085649,2.954302,[106  33] ; [118  57],[99.15923567 39.84076433] ; [124.84076433  50.15923567],0
s5,1,0.086749,2.933691,[43 92] ; [ 39 130],[36.41447368 98.58552632] ; [ 45.58552632 123.41447368],0
u1,1,0.102159,2.671512,[ 39 101] ; [ 35 140],[ 32.88888889 107.11111111] ; [ 41.11111111 133.88888889],0
u4,1,0.106777,2.60129,[  4 136] ; [  1 174],[  2.22222222 137.77777778] ; [  2.77777778 172.22222222],0
u2,1,0.116157,2.468387,[26 12] ; [27 25],[22.37777778 15.62222222] ; [30.62222222 21.37777778],0
