Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,46.406996,[105  28] ; [22 50],[82.39512195 50.60487805] ; [44.60487805 27.39512195],1
p10,1,0.002859,8.895518,[94 37] ; [36 35],[84.30693069 46.69306931] ; [45.69306931 25.30693069],0
p9,1,0.005566,7.685747,[103  27] ; [42 27],[94.72361809 35.27638191] ; [50.27638191 18.72361809],0
n6,1,0.006223,7.484644,[105  28] ; [44 28],[96.66829268 36.33170732] ; [52.33170732 19.66829268],0
u3,1,0.007684,7.105567,[14 40] ; [17 14],[19.69411765 34.30588235] ; [11.30588235 19.69411765],0
p11,1,0.018085,5.587909,[94 39] ; [39 33],[86.28780488 46.71219512] ; [46.71219512 25.28780488],0
a5,1,0.026392,4.93017,[77 56] ; [30 42],[69.4195122 63.5804878] ; [37.5804878 34.4195122],0
d3,1,0.033047,4.543355,[63 69] ; [45 26],[70.22660099 61.77339901] ; [37.77339901 33.22660099],0
n1,1,0.048542,3.891116,[20 24] ; [ 6 21],[16.11267606 27.88732394] ; [ 9.88732394 17.11267606],0
a6,1,0.049139,3.870601,[80 53] ; [33 39],[73.31219512 59.68780488] ; [39.68780488 32.31219512],0
u2,1,0.061101,3.507243,[18 35] ; [17 14],[22.08333333 30.91666667] ; [12.91666667 18.08333333],0
v1,1,0.087442,2.920841,[53 77] ; [20 50],[47.45 82.55] ; [25.55 44.45],0
a8,1,0.12572,2.344575,[ 16 111] ; [ 4 66],[ 12.89340102 114.10659898] ; [ 7.10659898 62.89340102],0
d4,1,0.129162,2.302546,[84 49] ; [53 19],[88.88292683 44.11707317] ; [48.11707317 23.88292683],0
b1,1,0.161611,1.959089,[53 80] ; [36 36],[57.74146341 75.25853659] ; [31.25853659 40.74146341],0
s3,1,0.188442,1.729759,[63 70] ; [26 43],[58.5990099 74.4009901] ; [30.4009901 38.5990099],0
a7,1,0.200602,1.637985,[70 63] ; [44 27],[74.32352941 58.67647059] ; [39.67647059 31.32352941],0
a4,1,0.215258,1.535705,[46 86] ; [19 53],[42.05882353 89.94117647] ; [22.94117647 49.05882353],0
s1,1,0.218348,1.515195,[  3 129] ; [ 4 68],[  4.52941176 127.47058824] ; [ 2.47058824 69.52941176],0
n2,1,0.231755,1.430059,[35 11] ; [17 10],[32.76712329 13.23287671] ; [19.23287671  7.76712329],0
v3,1,0.306024,1.047756,[38 92] ; [16 55],[34.92537313 95.07462687] ; [19.07462687 51.92537313],0
s5,1,0.32887,0.953343,[ 23 102] ; [17 53],[25.64102564 99.35897436] ; [14.35897436 55.64102564],0
b5,1,0.35776,0.845743,[80 53] ; [48 24],[83.04390244 49.95609756] ; [44.95609756 27.04390244],0
n3,1,0.37035,0.802491,[32 14] ; [16 11],[30.24657534 15.75342466] ; [17.75342466  9.24657534],0
p2,1,0.396771,0.71809,[92 40] ; [46 26],[89.29411765 42.70588235] ; [48.70588235 23.29411765],0
a2,1,0.414327,0.66635,[ 16 117] ; [ 6 66],[ 14.27317073 118.72682927] ; [ 7.72682927 64.27317073],0
p4,1,0.415573,0.6628,[58 74] ; [27 44],[55.27093596 76.72906404] ; [29.72906404 41.27093596],0
s7,1,0.483229,0.491567,[44 82] ; [21 49],[41.78571429 84.21428571] ; [23.21428571 46.78571429],0
p6,1,0.489087,0.478533,[40 90] ; [18 51],[37.88944724 92.11055276] ; [20.11055276 48.88944724],0
p7,1,0.5053,0.443787,[60 71] ; [36 35],[62.25742574 68.74257426] ; [33.74257426 37.25742574],0
r3,1,0.508787,0.436561,[103  29] ; [59 13],[104.82352941  27.17647059] ; [57.17647059 14.82352941],0
s8,1,0.509573,0.434944,[39 94] ; [18 54],[36.9804878 96.0195122] ; [20.0195122 51.9804878],0
b4,1,0.536182,0.382662,[78 55] ; [39 33],[75.90731707 57.09268293] ; [41.09268293 30.90731707],0
s6,1,0.550518,0.35639,[62 67] ; [31 40],[59.985 69.015] ; [33.015 37.985],0
p3,1,0.565008,0.331108,[50 82] ; [24 47],[48.1182266 83.8817734] ; [25.8817734 45.1182266],0
v2,1,0.573323,0.317154,[51 76] ; [26 46],[49.14070352 77.85929648] ; [27.85929648 44.14070352],0
r2,1,0.585981,0.296665,[102  27] ; [53 17],[100.47738693  28.52261307] ; [54.52261307 15.47738693],0
v4,1,0.590821,0.289065,[104  28] ; [59 13],[105.47058824  26.52941176] ; [57.52941176 14.47058824],0
p8,1,0.668461,0.183407,[47 84] ; [23 47],[45.62189055 85.37810945] ; [24.37810945 45.62189055],0
d2,1,0.703386,0.144973,[51 80] ; [30 42],[52.27093596 78.72906404] ; [28.72906404 43.27093596],0
d1,1,0.786637,0.073268,[51 82] ; [29 43],[51.90243902 81.09756098] ; [28.09756098 43.90243902],0
a3,1,0.819352,0.052157,[79 54] ; [41 30],[78.23529412 54.76470588] ; [41.76470588 29.23529412],0
r4,1,0.852392,0.034621,[72 61] ; [38 34],[71.36585366 61.63414634] ; [38.63414634 33.36585366],0
u1,1,0.893582,0.017895,[  8 125] ; [ 4 68],[  7.78536585 125.21463415] ; [ 4.21463415 67.78536585],0
p12,1,0.918745,0.010407,[  4 128] ; [ 2 70],[  3.88235294 128.11764706] ; [ 2.11764706 69.88235294],0
b2,1,0.931751,0.007335,[27 54] ; [15 29],[27.216 53.784] ; [14.784 29.216],0
b3,1,0.931751,0.007335,[27 54] ; [15 29],[27.216 53.784] ; [14.784 29.216],0
s4,1,0.945011,0.004757,[ 29 104] ; [16 56],[ 29.19512195 103.80487805] ; [15.80487805 56.19512195],0
a1,1,0.961636,0.002314,[  9 124] ; [ 5 67],[  9.08292683 123.91707317] ; [ 4.91707317 67.08292683],0
s2,1,0.976655,0.000856,[52 81] ; [28 44],[51.90243902 81.09756098] ; [28.09756098 43.90243902],0
p1,1,0.990404,0.000145,[ 13 120] ; [ 7 65],[ 12.97560976 120.02439024] ; [ 7.02439024 64.97560976],0
d5,1,0.992627,8.5e-05,[90 43] ; [48 23],[89.97058824 43.02941176] ; [48.02941176 22.97058824],0
