Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,5e-05,16.456229,[16  2] ; [17 34],[8.60869565 9.39130435] ; [24.39130435 26.60869565],1
s4,1,0.000722,11.432353,[9 9] ; [ 6 45],[ 3.91304348 14.08695652] ; [11.08695652 39.91304348],1
s8,1,0.003037,8.785332,[ 8 10] ; [ 6 45],[ 3.65217391 14.34782609] ; [10.34782609 40.65217391],0
s2,1,0.003159,8.713038,[12  6] ; [14 37],[ 6.7826087 11.2173913] ; [19.2173913 31.7826087],0
s3,1,0.00875,6.87313,[12  6] ; [16 35],[ 7.30434783 10.69565217] ; [20.69565217 30.30434783],0
s7,1,0.008855,6.851856,[8 8] ; [ 8 39],[ 4.06349206 11.93650794] ; [11.93650794 35.06349206],0
n6,1,0.016836,5.713434,[14  4] ; [23 28],[9.65217391 8.34782609] ; [27.34782609 23.65217391],0
p1,1,0.017836,5.6122,[ 4 14] ; [ 2 49],[ 1.56521739 16.43478261] ; [ 4.43478261 46.56521739],0
d5,1,0.027828,4.838662,[16  2] ; [31 20],[12.26086957  5.73913043] ; [34.73913043 16.26086957],0
a5,1,0.034345,4.477426,[14  4] ; [25 26],[10.17391304  7.82608696] ; [28.82608696 22.17391304],0
a4,1,0.068718,3.313375,[10  8] ; [16 35],[ 6.7826087 11.2173913] ; [19.2173913 31.7826087],0
d4,1,0.069591,3.292632,[16  2] ; [34 17],[13.04347826  4.95652174] ; [36.95652174 14.04347826],0
r2,1,0.0706,3.269022,[17  1] ; [38 13],[14.34782609  3.65217391] ; [40.65217391 10.34782609],0
u3,1,0.118991,2.430556,[1 3] ; [14  7],[2.4 1.6] ; [12.6  8.4],0
r3,1,0.123326,2.37457,[17  1] ; [40 11],[14.86956522  3.13043478] ; [42.13043478  8.86956522],0
v2,1,0.127074,2.327887,[10  7] ; [18 30],[7.32307692 9.67692308] ; [20.67692308 27.32307692],0
d1,1,0.132316,2.265116,[10  8] ; [18 33],[ 7.30434783 10.69565217] ; [20.69565217 30.30434783],0
d2,1,0.144821,2.125969,[11  7] ; [21 30],[8.34782609 9.65217391] ; [23.65217391 27.34782609],0
a3,1,0.150343,2.06877,[14  4] ; [30 21],[11.47826087  6.52173913] ; [32.52173913 18.47826087],0
b5,1,0.157502,1.998048,[9 9] ; [35 16],[11.47826087  6.52173913] ; [32.52173913 18.47826087],0
p3,1,0.178519,1.809912,[ 6 12] ; [ 9 41],[ 3.97058824 14.02941176] ; [11.02941176 38.97058824],0
p6,1,0.188566,1.728783,[ 5 13] ; [ 7 43],[ 3.17647059 14.82352941] ; [ 8.82352941 41.17647059],0
p10,1,0.212928,1.551407,[11  7] ; [22 28],[8.73529412 9.26470588] ; [24.26470588 25.73529412],0
n3,1,0.231998,1.428571,[3 6] ; [12  9],[4.5 4.5] ; [10.5 10.5],0
v1,1,0.244765,1.352941,[ 8 10] ; [15 36],[ 6. 12.] ; [17. 34.],0
a1,1,0.261788,1.259276,[ 2 16] ; [ 2 49],[ 1.04347826 16.95652174] ; [ 2.95652174 48.04347826],0
p4,1,0.266687,1.233709,[ 8 10] ; [15 35],[ 6.08823529 11.91176471] ; [16.91176471 33.08823529],0
r4,1,0.306254,1.046763,[14  4] ; [33 18],[12.26086957  5.73913043] ; [34.73913043 16.26086957],0
p9,1,0.322221,0.97991,[10  7] ; [22 27],[8.24242424 8.75757576] ; [23.75757576 25.24242424],0
n2,1,0.352724,0.863635,[7 3] ; [11 10],[5.80645161 4.19354839] ; [12.19354839  8.80645161],0
b4,1,0.384652,0.755781,[12  6] ; [28 23],[10.43478261  7.56521739] ; [29.56521739 21.43478261],0
u1,1,0.434471,0.610843,[ 1 17] ; [ 1 50],[ 0.52173913 17.47826087] ; [ 1.47826087 49.52173913],0
s1,1,0.45318,0.562686,[ 1 17] ; [ 6 45],[ 1.82608696 16.17391304] ; [ 5.17391304 45.82608696],0
p5,1,0.453638,0.561547,[ 1 17] ; [ 1 48],[ 0.53731343 17.46268657] ; [ 1.46268657 47.53731343],0
b1,1,0.458702,0.549061,[ 7 11] ; [25 26],[8.34782609 9.65217391] ; [23.65217391 27.34782609],0
b2,1,0.461743,0.541667,[5 8] ; [ 7 19],[4. 9.] ; [ 8. 18.],0
b3,1,0.461743,0.541667,[5 8] ; [ 7 19],[4. 9.] ; [ 8. 18.],0
p8,1,0.5283,0.397661,[ 4 14] ; [15 35],[ 5.02941176 12.97058824] ; [13.97058824 36.02941176],0
n1,1,0.583882,0.3,[4 6] ; [ 6 14],[3.33333333 6.66666667] ; [ 6.66666667 13.33333333],0
a2,1,0.595483,0.281863,[ 3 15] ; [ 6 45],[ 2.34782609 15.65217391] ; [ 6.65217391 44.34782609],0
p11,1,0.614799,0.253246,[9 9] ; [22 29],[8.08695652 9.91304348] ; [22.91304348 28.08695652],0
a7,1,0.719938,0.128552,[9 9] ; [28 23],[9.65217391 8.34782609] ; [27.34782609 23.65217391],0
d3,1,0.738323,0.111606,[ 8 10] ; [25 26],[8.60869565 9.39130435] ; [24.39130435 26.60869565],0
p7,1,0.792952,0.068896,[ 6 12] ; [15 35],[ 5.55882353 12.44117647] ; [15.44117647 34.55882353],0
v4,1,0.812563,0.056226,[14  4] ; [41 10],[14.34782609  3.65217391] ; [40.65217391 10.34782609],0
n5,1,0.839129,0.041212,[ 6 12] ; [18 32],[ 6.35294118 11.64705882] ; [17.64705882 32.35294118],0
a6,1,0.848351,0.036566,[ 8 10] ; [24 27],[8.34782609 9.65217391] ; [23.65217391 27.34782609],0
v3,1,0.936544,0.006339,[ 4 12] ; [13 37],[ 4.12121212 11.87878788] ; [12.87878788 37.12121212],0
r1,1,0.961774,0.002297,[10  8] ; [28 23],[9.91304348 8.08695652] ; [28.08695652 22.91304348],0
