Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.2e-05,19.130358,[23 11] ; [11 42],[13.28735632 20.71264368] ; [20.71264368 32.28735632],1
p6,1,5.3e-05,16.34671,[17 16] ; [ 6 46],[ 8.92941176 24.07058824] ; [14.07058824 37.92941176],1
p3,1,6.4e-05,15.968305,[18 16] ; [ 7 46],[ 9.77011494 24.22988506] ; [15.22988506 37.77011494],1
p8,1,0.000298,13.083311,[17 16] ; [ 8 45],[ 9.59302326 23.40697674] ; [15.40697674 37.59302326],1
p2,1,0.000444,12.336009,[27  6] ; [23 30],[19.18604651 13.81395349] ; [30.81395349 22.18604651],1
p10,1,0.000914,10.994426,[27  7] ; [22 29],[19.6 14.4] ; [29.4 21.6],1
u2,1,0.002136,9.428571,[8 3] ; [ 4 18],[4. 7.] ; [ 8. 14.],0
p11,1,0.003044,8.780956,[27  8] ; [24 29],[20.28409091 14.71590909] ; [30.71590909 22.28409091],0
v2,1,0.004608,8.027221,[19 15] ; [13 38],[12.8 21.2] ; [19.2 31.8],0
s6,1,0.004812,7.948824,[18 15] ; [13 40],[11.89534884 21.10465116] ; [19.10465116 33.89534884],0
a1,1,0.016644,5.733504,[ 1 34] ; [11 42],[ 4.77272727 30.22727273] ; [ 7.22727273 45.77272727],0
b1,1,0.020498,5.368968,[24 11] ; [23 30],[18.69318182 16.30681818] ; [28.30681818 24.69318182],0
s8,1,0.026053,4.952517,[13 21] ; [ 9 44],[ 8.59770115 25.40229885] ; [13.40229885 39.59770115],0
p5,1,0.033168,4.537099,[ 7 27] ; [ 3 50],[ 3.90804598 30.09195402] ; [ 6.09195402 46.90804598],0
r3,1,0.034961,4.447059,[22 11] ; [22 29],[17.28571429 15.71428571] ; [26.71428571 24.28571429],0
s2,1,0.050533,3.823693,[15 18] ; [13 39],[10.87058824 22.12941176] ; [17.12941176 34.87058824],0
s4,1,0.062898,3.45926,[10 24] ; [ 7 46],[ 6.64367816 27.35632184] ; [10.35632184 42.64367816],0
v1,1,0.06733,3.346941,[14 19] ; [12 39],[10.21428571 22.78571429] ; [15.78571429 35.21428571],0
s7,1,0.068466,3.319418,[16 16] ; [15 35],[12.09756098 19.90243902] ; [18.90243902 31.09756098],0
p9,1,0.072443,3.22678,[26  9] ; [27 22],[22.08333333 12.91666667] ; [30.91666667 18.08333333],0
b5,1,0.073863,3.19501,[22 13] ; [23 30],[17.89772727 17.10227273] ; [27.10227273 25.89772727],0
b3,1,0.099495,2.713613,[ 6 20] ; [14 18],[ 8.96551724 17.03448276] ; [11.03448276 20.96551724],0
b2,1,0.099495,2.713613,[ 6 20] ; [14 18],[ 8.96551724 17.03448276] ; [11.03448276 20.96551724],0
v4,1,0.107456,2.591244,[22 10] ; [27 26],[18.44705882 13.55294118] ; [30.55294118 22.44705882],0
p1,1,0.117786,2.446515,[ 2 33] ; [ 9 44],[ 4.375 30.625] ; [ 6.625 46.375],0
n6,1,0.146269,2.110739,[19 15] ; [37 15],[22.13953488 11.86046512] ; [33.86046512 18.13953488],0
a7,1,0.168342,1.897644,[18 17] ; [19 33],[14.88505747 20.11494253] ; [22.11494253 29.88505747],0
s3,1,0.170438,1.879089,[15 18] ; [16 36],[12.03529412 20.96470588] ; [18.96470588 33.03529412],0
n2,1,0.179627,1.800704,[13  3] ; [16 10],[11.04761905  4.95238095] ; [17.95238095  8.04761905],0
d2,1,0.275904,1.187154,[13 22] ; [25 26],[15.46511628 19.53488372] ; [22.53488372 28.46511628],0
a6,1,0.313829,1.014493,[21 14] ; [26 27],[18.69318182 16.30681818] ; [28.30681818 24.69318182],0
p12,1,0.327888,0.957223,[ 2 32] ; [ 1 51],[ 1.18604651 32.81395349] ; [ 1.81395349 50.18604651],0
d1,1,0.339056,0.913998,[11 24] ; [22 31],[13.125 21.875] ; [19.875 33.125],0
a8,1,0.352567,0.864198,[ 3 30] ; [ 2 47],[ 2.01219512 30.98780488] ; [ 2.98780488 46.01219512],0
v3,1,0.357199,0.847716,[10 24] ; [11 42],[ 8.20689655 25.79310345] ; [12.79310345 40.20689655],0
s5,1,0.359012,0.841346,[ 6 26] ; [ 6 46],[ 4.57142857 27.42857143] ; [ 7.42857143 44.57142857],0
b4,1,0.360396,0.836514,[17 18] ; [31 22],[19.09090909 15.90909091] ; [28.90909091 24.09090909],0
a4,1,0.395612,0.721623,[11 24] ; [21 31],[12.87356322 22.12643678] ; [19.12643678 32.87356322],0
d5,1,0.495781,0.463955,[23 12] ; [31 22],[21.47727273 13.52272727] ; [32.52272727 20.47727273],0
a3,1,0.565358,0.330511,[23 12] ; [31 21],[21.72413793 13.27586207] ; [32.27586207 19.72413793],0
n4,1,0.586882,0.29524,[26  9] ; [42 11],[27.04545455  7.95454545] ; [40.95454545 12.04545455],0
s1,1,0.595939,0.281165,[ 3 32] ; [ 3 50],[ 2.38636364 32.61363636] ; [ 3.61363636 49.38636364],0
d3,1,0.667151,0.184953,[17 17] ; [24 29],[16.02298851 17.97701149] ; [24.97701149 28.02298851],0
n1,1,0.734547,0.114977,[7 9] ; [10 16],[6.47619048 9.52380952] ; [10.52380952 15.47619048],0
a5,1,0.752093,0.099781,[21 14] ; [30 23],[20.28409091 14.71590909] ; [30.71590909 22.28409091],0
r2,1,0.761264,0.092308,[18 14] ; [31 21],[18.66666667 13.33333333] ; [30.33333333 21.66666667],0
u1,1,0.762477,0.091342,[ 4 31] ; [ 5 48],[ 3.57954545 31.42045455] ; [ 5.42045455 47.57954545],0
n3,1,0.808497,0.058741,[8 8] ; [12 14],[7.61904762 8.38095238] ; [12.38095238 13.61904762],0
a2,1,0.885307,0.020807,[ 5 30] ; [ 7 46],[ 4.77272727 30.22727273] ; [ 7.22727273 45.77272727],0
u3,1,0.885857,0.020606,[3 9] ; [ 6 16],[3.17647059 8.82352941] ; [ 5.82352941 16.17647059],0
r1,1,0.915395,0.011286,[ 8 26] ; [13 40],[ 8.20689655 25.79310345] ; [12.79310345 40.20689655],0
d4,1,0.971382,0.001287,[21 14] ; [31 21],[20.91954023 14.08045977] ; [31.08045977 20.91954023],0
