Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,56.447873,[120  38] ; [21 61],[92.825 65.175] ; [48.175 33.825],1
s2,1,0.0,49.843266,[135  24] ; [33 48],[111.3  47.7] ; [56.7 24.3],1
s3,1,0.0,28.147364,[128  29] ; [38 41],[110.43220339  46.56779661] ; [55.56779661 23.43220339],1
s6,1,1e-06,25.152298,[152   8] ; [57 22],[139.91631799  20.08368201] ; [69.08368201  9.91631799],1
a3,1,5.8e-05,16.154658,[138  21] ; [53 29],[126.01244813  32.98755187] ; [64.98755187 17.01244813],1
n4,1,0.000878,11.069304,[140  19] ; [58 24],[130.63070539  28.36929461] ; [67.36929461 14.63070539],1
p6,1,0.00148,10.10302,[85 74] ; [25 54],[73.48739496 85.51260504] ; [36.51260504 42.48739496],0
v3,1,0.004176,8.20559,[84 75] ; [27 54],[73.5375 85.4625] ; [37.4625 43.5375],0
p9,1,0.004943,7.90027,[148  11] ; [64 15],[141.6302521  17.3697479] ; [70.3697479  8.6302521],0
p4,1,0.008143,7.001666,[114  44] ; [44 36],[104.8907563  53.1092437] ; [53.1092437 26.8907563],0
n5,1,0.018317,5.565578,[135  23] ; [59 22],[128.25104603  29.74895397] ; [65.74895397 15.25104603],0
u1,1,0.021133,5.315769,[ 47 113] ; [13 69],[ 39.66942149 120.33057851] ; [20.33057851 61.66942149],0
a2,1,0.027994,4.828433,[ 55 105] ; [17 65],[ 47.60330579 112.39669421] ; [24.39669421 57.60330579],0
p7,1,0.030206,4.69752,[122  32] ; [53 27],[115.17094017  38.82905983] ; [59.82905983 20.17094017],0
u2,1,0.031962,4.600556,[14  7] ; [10 18],[10.28571429 10.71428571] ; [13.71428571 14.28571429],0
p3,1,0.055958,3.653303,[99 60] ; [40 41],[92.0875 66.9125] ; [46.9125 34.0875],0
v2,1,0.080462,3.05554,[104  55] ; [43 37],[97.79497908 61.20502092] ; [49.20502092 30.79497908],0
n6,1,0.100418,2.698892,[145  11] ; [70 11],[141.51898734  14.48101266] ; [73.48101266  7.51898734],0
d2,1,0.126322,2.337128,[96 63] ; [40 40],[90.47698745 68.52301255] ; [45.52301255 34.47698745],0
a5,1,0.149722,2.075076,[135  25] ; [63 19],[130.90909091  29.09090909] ; [67.09090909 14.90909091],0
v4,1,0.158502,1.988458,[155   4] ; [76  5],[153.0375   5.9625] ; [77.9625  3.0375],0
p10,1,0.161395,1.961105,[144  16] ; [67 13],[140.66666667  19.33333333] ; [70.33333333  9.66666667],0
