Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,44.610602,[ 2 21] ; [94 24],[15.65957447  7.34042553] ; [80.34042553 37.65957447],1
v4,1,6e-06,20.548998,[11 12] ; [103  14],[18.72857143  4.27142857] ; [95.27142857 21.72857143],1
r3,1,8e-06,20.031807,[ 9 14] ; [97 20],[17.41428571  5.58571429] ; [88.58571429 28.41428571],1
a5,1,0.000347,12.797195,[ 6 17] ; [78 40],[13.70212766  9.29787234] ; [70.29787234 47.70212766],1
r1,1,0.000796,11.249656,[ 8 15] ; [84 34],[15.0070922  7.9929078] ; [76.9929078 41.0070922],1
a3,1,0.001031,10.770928,[ 7 15] ; [81 37],[13.82857143  8.17142857] ; [74.17142857 43.82857143],0
d2,1,0.001208,10.47838,[ 4 19] ; [63 53],[11.08633094 11.91366906] ; [55.91366906 60.08633094],0
s6,1,0.001216,10.465922,[ 4 19] ; [64 54],[11.09219858 11.90780142] ; [56.90780142 61.09219858],0
p10,1,0.001463,10.12409,[ 3 19] ; [58 57],[ 9.79562044 12.20437956] ; [51.20437956 63.79562044],0
a6,1,0.002731,8.979019,[ 7 16] ; [75 42],[13.47142857  9.52857143] ; [68.52857143 48.47142857],0
a7,1,0.004436,8.095932,[ 9 14] ; [82 35],[14.95  8.05] ; [76.05 40.95],0
p9,1,0.00513,7.833079,[ 5 16] ; [65 49],[10.88888889 10.11111111] ; [59.11111111 54.88888889],0
d1,1,0.006806,7.323443,[ 5 18] ; [62 56],[10.92907801 12.07092199] ; [56.07092199 61.92907801],0
s2,1,0.007892,7.057922,[ 3 20] ; [50 68],[ 8.64539007 14.35460993] ; [44.35460993 73.64539007],0
d3,1,0.010727,6.509942,[ 8 15] ; [73 42],[13.5  9.5] ; [67.5 47.5],0
d5,1,0.015811,5.823802,[12 11] ; [89 27],[16.71223022  6.28776978] ; [84.28776978 31.71223022],0
a4,1,0.026858,4.899932,[ 4 19] ; [49 68],[ 8.70714286 14.29285714] ; [44.29285714 72.70714286],0
d4,1,0.027179,4.879422,[12 11] ; [87 29],[16.38129496  6.61870504] ; [82.61870504 33.38129496],0
b1,1,0.042097,4.131305,[17  6] ; [60 58],[12.56028369 10.43971631] ; [64.43971631 53.56028369],0
v3,1,0.043432,4.078508,[ 2 21] ; [32 79],[ 5.8358209 17.1641791] ; [28.1641791 82.8358209],0
a8,1,0.054797,3.688252,[ 4 17] ; [  7 103],[ 1.76335878 19.23664122] ; [  9.23664122 100.76335878],0
s8,1,0.058827,3.570151,[ 2 21] ; [32 86],[ 5.54609929 17.45390071] ; [28.45390071 89.54609929],0
