Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.3e-05,17.211949,[24  6] ; [14 31],[15.2 14.8] ; [22.8 22.2],1
r1,1,0.000332,12.881745,[29  2] ; [25 20],[22.02631579  8.97368421] ; [31.97368421 13.02631579],1
p12,1,0.025062,5.019584,[ 5 26] ; [ 1 45],[ 2.41558442 28.58441558] ; [ 3.58441558 42.41558442],0
n4,1,0.031267,4.638253,[28  3] ; [32 14],[24.15584416  6.84415584] ; [35.84415584 10.15584416],0
s4,1,0.04486,4.023894,[ 2 29] ; [11 35],[ 5.23376623 25.76623377] ; [ 7.76623377 38.23376623],0
a3,1,0.056244,3.644811,[21 10] ; [21 25],[16.90909091 14.09090909] ; [25.09090909 20.90909091],0
v1,1,0.089429,2.884615,[18 12] ; [18 27],[14.4 15.6] ; [21.6 23.4],0
a5,1,0.099117,2.719702,[22  9] ; [24 22],[18.51948052 12.48051948] ; [27.48051948 18.51948052],0
b4,1,0.12523,2.350663,[19 12] ; [20 26],[15.7012987 15.2987013] ; [23.2987013 22.7012987],0
a7,1,0.18166,1.783988,[24  7] ; [29 17],[21.33766234  9.66233766] ; [31.66233766 14.33766234],0
u2,1,0.194924,1.68,[6 4] ; [ 9 16],[4.28571429 5.71428571] ; [10.71428571 14.28571429],0
d3,1,0.205159,1.605265,[10 21] ; [ 9 37],[ 7.64935065 23.35064935] ; [11.35064935 34.64935065],0
v4,1,0.219756,1.505964,[30  1] ; [41  5],[28.58441558  2.41558442] ; [42.41558442  3.58441558],0
p11,1,0.231576,1.431158,[27  4] ; [35 11],[24.96103896  6.03896104] ; [37.03896104  8.96103896],0
p8,1,0.246579,1.34258,[20 11] ; [23 22],[17.53947368 13.46052632] ; [25.46052632 19.53947368],0
p5,1,0.273242,1.200399,[ 7 24] ; [ 6 40],[ 5.23376623 25.76623377] ; [ 7.76623377 38.23376623],0
p1,1,0.273242,1.200399,[ 7 24] ; [ 6 40],[ 5.23376623 25.76623377] ; [ 7.76623377 38.23376623],0
p4,1,0.276859,1.182444,[25  6] ; [32 14],[22.94805195  8.05194805] ; [34.05194805 11.94805195],0
s5,1,0.347394,0.882955,[ 9 21] ; [ 9 35],[ 7.2972973 22.7027027] ; [10.7027027 33.2972973],0
a6,1,0.362447,0.829397,[22  9] ; [28 18],[20.12987013 10.87012987] ; [29.87012987 16.12987013],0
p10,1,0.374007,0.790309,[25  6] ; [33 13],[23.35064935  7.64935065] ; [34.64935065 11.35064935],0
r2,1,0.508391,0.437377,[29  2] ; [41  5],[28.18181818  2.81818182] ; [41.81818182  4.18181818],0
n5,1,0.511898,0.430186,[26  5] ; [35 10],[24.88157895  6.11842105] ; [36.11842105  8.88157895],0
p2,1,0.517274,0.419325,[23  8] ; [37  9],[24.15584416  6.84415584] ; [35.84415584 10.15584416],0
u3,1,0.521075,0.411765,[6 4] ; [12 13],[5.14285714 4.85714286] ; [12.85714286 12.14285714],0
r3,1,0.522736,0.408492,[30  1] ; [43  3],[29.38961039  1.61038961] ; [43.61038961  2.38961039],0
a8,1,0.52589,0.402328,[ 2 27] ; [ 5 39],[ 2.78082192 26.21917808] ; [ 4.21917808 39.78082192],0
d5,1,0.546098,0.364354,[14 17] ; [24 22],[15.2987013 15.7012987] ; [22.7012987 23.2987013],0
a2,1,0.552895,0.352156,[ 4 27] ; [ 4 42],[ 3.22077922 27.77922078] ; [ 4.77922078 41.22077922],0
s3,1,0.571573,0.320057,[16 14] ; [21 24],[14.8 15.2] ; [22.2 22.8],0
p7,1,0.577209,0.310768,[24  7] ; [33 13],[22.94805195  8.05194805] ; [34.05194805 11.94805195],0
p6,1,0.598453,0.277336,[14 17] ; [18 28],[12.88311688 18.11688312] ; [19.11688312 26.88311688],0
b1,1,0.61068,0.259187,[13 18] ; [22 24],[14.09090909 16.90909091] ; [20.90909091 25.09090909],0
b2,1,0.674862,0.175968,[ 8 16] ; [ 9 23],[ 7.28571429 16.71428571] ; [ 9.71428571 22.28571429],0
b3,1,0.674862,0.175968,[ 8 16] ; [ 9 23],[ 7.28571429 16.71428571] ; [ 9.71428571 22.28571429],0
d1,1,0.683305,0.16643,[ 2 29] ; [ 2 44],[ 1.61038961 29.38961039] ; [ 2.38961039 43.61038961],0
s8,1,0.690408,0.158644,[11 20] ; [18 27],[11.82894737 19.17105263] ; [17.17105263 27.82894737],0
a4,1,0.775952,0.080996,[ 9 22] ; [12 34],[ 8.45454545 22.54545455] ; [12.54545455 33.45454545],0
s7,1,0.780763,0.077465,[12 16] ; [17 26],[11.43661972 16.56338028] ; [17.56338028 25.43661972],0
s1,1,0.802948,0.062267,[ 1 30] ; [ 2 44],[ 1.20779221 29.79220779] ; [ 1.79220779 44.20779221],0
u1,1,0.802948,0.062267,[ 1 30] ; [ 2 44],[ 1.20779221 29.79220779] ; [ 1.79220779 44.20779221],0
s2,1,0.810993,0.057191,[ 9 21] ; [15 31],[ 9.47368421 20.52631579] ; [14.52631579 31.47368421],0
d2,1,0.812529,0.056247,[ 8 23] ; [13 33],[ 8.45454545 22.54545455] ; [12.54545455 33.45454545],0
p9,1,0.851199,0.035189,[26  5] ; [37  8],[25.69736842  5.30263158] ; [37.30263158  7.69736842],0
n6,1,0.913866,0.011699,[26  5] ; [39  7],[26.16883117  4.83116883] ; [38.83116883  7.16883117],0
s6,1,0.937667,0.006116,[18 12] ; [26 18],[17.83783784 12.16216216] ; [26.16216216 17.83783784],0
b5,1,0.970381,0.001379,[19 12] ; [28 18],[18.92207792 12.07792208] ; [28.07792208 17.92207792],0
