Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,5.6e-05,16.224021,[ 6 86] ; [ 9 15],[11.89655172 80.10344828] ; [ 3.10344828 20.89655172],1
p7,1,0.010082,6.62042,[39 50] ; [17  6],[44.5 44.5] ; [11.5 11.5],0
s2,1,0.01714,5.681983,[29 62] ; [14 10],[34.02608696 56.97391304] ; [ 8.97391304 15.02608696],0
b5,1,0.048358,3.897513,[57 35] ; [20  4],[61.06896552 30.93103448] ; [15.93103448  8.06896552],0
p2,1,0.051831,3.781228,[62 30] ; [21  3],[65.82758621 26.17241379] ; [17.17241379  6.82758621],0
b3,1,0.05328,3.735129,[10 44] ; [5 6],[12.46153846 41.53846154] ; [2.53846154 8.46153846],0
b2,1,0.05328,3.735129,[10 44] ; [5 6],[12.46153846 41.53846154] ; [2.53846154 8.46153846],0
s8,1,0.060533,3.522726,[24 68] ; [11 13],[27.75862069 64.24137931] ; [ 7.24137931 16.75862069],0
p3,1,0.072514,3.225172,[28 64] ; [12 12],[31.72413793 60.27586207] ; [ 8.27586207 15.72413793],0
p8,1,0.097444,2.746892,[32 58] ; [13 11],[35.52631579 54.47368421] ; [ 9.47368421 14.52631579],0
p4,1,0.102709,2.662967,[33 59] ; [13 11],[36.48275862 55.51724138] ; [ 9.51724138 14.48275862],0
r3,1,0.102798,2.661586,[76 16] ; [23  1],[78.51724138 13.48275862] ; [20.48275862  3.51724138],0
a5,1,0.125407,2.348462,[65 27] ; [13 11],[61.86206897 30.13793103] ; [16.13793103  7.86206897],0
v1,1,0.153576,2.036364,[30 58] ; [12 12],[33. 55.] ; [ 9. 15.],0
n3,1,0.156376,2.008929,[17 11] ; [7 1],[18.66666667  9.33333333] ; [5.33333333 2.66666667],0
d5,1,0.159951,1.974691,[76 15] ; [17  7],[73.59130435 17.40869565] ; [19.40869565  4.59130435],0
b1,1,0.19384,1.688189,[40 52] ; [14 10],[42.82758621 49.17241379] ; [11.17241379 12.82758621],0
s7,1,0.209757,1.573103,[24 61] ; [10 14],[26.51376147 58.48623853] ; [ 7.48623853 16.51376147],0
u1,1,0.253488,1.303976,[ 8 84] ; [ 4 20],[ 9.51724138 82.48275862] ; [ 2.48275862 21.51724138],0
a6,1,0.25669,1.28652,[70 21] ; [21  3],[72.00869565 18.99130435] ; [18.99130435  5.00869565],0
b4,1,0.258227,1.278239,[54 38] ; [11 13],[51.55172414 40.44827586] ; [13.44827586 10.55172414],0
p9,1,0.263034,1.252716,[62 30] ; [19  5],[64.24137931 27.75862069] ; [16.75862069  7.24137931],0
p10,1,0.277148,1.181021,[54 38] ; [17  7],[56.31034483 35.68965517] ; [14.68965517  9.31034483],0
a8,1,0.277763,1.178002,[12 75] ; [ 1 19],[10.57009346 76.42990654] ; [ 2.42990654 17.57009346],0
s3,1,0.280367,1.16531,[40 51] ; [13 10],[42.30701754 48.69298246] ; [10.69298246 12.30701754],0
p12,1,0.306455,1.045891,[ 1 90] ; [ 1 23],[ 1.5826087 89.4173913] ; [ 0.4173913 23.5826087],0
n2,1,0.311898,1.022623,[16 13] ; [6 2],[17.24324324 11.75675676] ; [4.75675676 3.24324324],0
n5,1,0.346941,0.884615,[38 54] ; [12 11],[40. 52.] ; [10. 13.],0
a4,1,0.426738,0.631684,[34 58] ; [11 13],[35.68965517 56.31034483] ; [ 9.31034483 14.68965517],0
v2,1,0.433264,0.614059,[37 49] ; [12 11],[38.66055046 47.33944954] ; [10.33944954 12.66055046],0
r2,1,0.441164,0.593254,[78 13] ; [22  2],[79.13043478 11.86956522] ; [20.86956522  3.13043478],0
r4,1,0.463992,0.536248,[66 26] ; [19  5],[67.4137931 24.5862069] ; [17.5862069  6.4137931],0
p11,1,0.533653,0.387431,[51 41] ; [15  9],[52.34482759 39.65517241] ; [13.65517241 10.34482759],0
u2,1,0.536562,0.381949,[19 11] ; [6 2],[19.73684211 10.26315789] ; [5.26315789 2.73684211],0
p1,1,0.5459,0.364714,[ 7 84] ; [ 1 23],[ 6.33043478 84.66956522] ; [ 1.66956522 22.33043478],0
s6,1,0.580029,0.306188,[44 48] ; [13 11],[45.20689655 46.79310345] ; [11.79310345 12.20689655],0
r1,1,0.616482,0.250843,[69 22] ; [17  7],[68.05217391 22.94782609] ; [17.94782609  6.05217391],0
d2,1,0.626516,0.236814,[33 58] ; [10 14],[34.02608696 56.97391304] ; [ 8.97391304 15.02608696],0
a2,1,0.644563,0.212824,[19 73] ; [ 6 18],[19.82758621 72.17241379] ; [ 5.17241379 18.82758621],0
n4,1,0.646654,0.210145,[47 45] ; [11 13],[46. 46.] ; [12. 12.],0
v4,1,0.646654,0.210145,[77 15] ; [21  3],[77.72413793 14.27586207] ; [20.27586207  3.72413793],0
u3,1,0.685117,0.164423,[21  9] ; [5 3],[20.52631579  9.47368421] ; [5.47368421 2.52631579],0
d1,1,0.716138,0.132223,[46 46] ; [13 11],[46.79310345 45.20689655] ; [12.20689655 11.79310345],0
d3,1,0.724882,0.123863,[68 23] ; [18  5],[68.64912281 22.35087719] ; [17.35087719  5.64912281],0
n1,1,0.765875,0.08867,[10 19] ; [2 5],[ 9.66666667 19.33333333] ; [2.33333333 4.66666667],0
v3,1,0.777376,0.079942,[24 62] ; [ 6 18],[23.45454545 62.54545455] ; [ 6.54545455 17.45454545],0
s5,1,0.794217,0.068037,[15 75] ; [ 4 17],[15.40540541 74.59459459] ; [ 3.59459459 17.40540541],0
d4,1,0.82023,0.051642,[74 17] ; [20  4],[74.3826087 16.6173913] ; [19.6173913  4.3826087],0
