Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000481,12.1875,[1 4] ; [51  9],[4. 1.] ; [48. 12.],1
p5,1,0.001046,10.744536,[2 3] ; [ 2 58],[0.30769231 4.69230769] ; [ 3.69230769 56.30769231],0
a6,1,0.013045,6.162963,[1 4] ; [44 16],[3.46153846 1.53846154] ; [41.53846154 18.46153846],0
r1,1,0.019945,5.416667,[2 3] ; [50 10],[4. 1.] ; [48. 12.],0
p2,1,0.019945,5.416667,[2 3] ; [50 10],[4. 1.] ; [48. 12.],0
a5,1,0.046906,3.94875,[1 4] ; [39 21],[3.07692308 1.92307692] ; [36.92307692 23.07692308],0
s6,1,0.057395,3.611111,[1 4] ; [38 22],[3. 2.] ; [36. 24.],0
p4,1,0.057395,3.611111,[1 4] ; [38 22],[3. 2.] ; [36. 24.],0
s1,1,0.091578,2.84642,[1 4] ; [ 2 57],[0.234375 4.765625] ; [ 2.765625 56.234375],0
v2,1,0.129301,2.300881,[1 4] ; [31 25],[2.62295082 2.37704918] ; [29.37704918 26.62295082],0
p3,1,0.173583,1.85172,[1 4] ; [31 29],[2.46153846 2.53846154] ; [29.53846154 30.46153846],0
b4,1,0.173583,1.85172,[4 1] ; [29 31],[2.53846154 2.46153846] ; [30.46153846 29.53846154],0
n4,1,0.27809,1.1764,[1 4] ; [27 33],[2.15384615 2.84615385] ; [25.84615385 34.15384615],0
d5,1,0.349881,0.873889,[3 2] ; [47 13],[3.84615385 1.15384615] ; [46.15384615 13.84615385],0
p1,1,0.386551,0.749765,[1 4] ; [ 5 55],[0.46153846 4.53846154] ; [ 5.53846154 54.46153846],0
v4,1,0.395924,0.72067,[4 1] ; [54  5],[4.53125 0.46875] ; [53.46875  5.53125],0
s2,1,0.399876,0.708701,[1 4] ; [23 36],[1.875 3.125] ; [22.125 36.875],0
b2,1,0.430972,0.620203,[2 3] ; [ 8 26],[1.28205128 3.71794872] ; [ 8.71794872 25.28205128],0
b3,1,0.430972,0.620203,[2 3] ; [ 8 26],[1.28205128 3.71794872] ; [ 8.71794872 25.28205128],0
v1,1,0.465666,0.532241,[3 2] ; [25 33],[2.22222222 2.77777778] ; [25.77777778 32.22222222],0
b5,1,0.495856,0.463795,[4 1] ; [39 21],[3.30769231 1.69230769] ; [39.69230769 20.30769231],0
d3,1,0.495856,0.463795,[4 1] ; [39 21],[3.30769231 1.69230769] ; [39.69230769 20.30769231],0
s7,1,0.497661,0.459921,[2 2] ; [19 38],[1.37704918 2.62295082] ; [19.62295082 37.37704918],0
p11,1,0.522086,0.409771,[3 2] ; [44 16],[3.61538462 1.38461538] ; [43.38461538 16.61538462],0
d2,1,0.540194,0.37518,[1 4] ; [20 40],[1.61538462 3.38461538] ; [19.38461538 40.61538462],0
v3,1,0.540849,0.373968,[1 4] ; [19 38],[1.61290323 3.38709677] ; [18.38709677 38.61290323],0
d4,1,0.581584,0.30368,[3 2] ; [43 17],[3.53846154 1.46153846] ; [42.46153846 17.53846154],0
a7,1,0.587093,0.294907,[4 1] ; [41 19],[3.46153846 1.53846154] ; [41.53846154 18.46153846],0
b1,1,0.616132,0.251342,[2 3] ; [31 29],[2.53846154 2.46153846] ; [30.46153846 29.53846154],0
a2,1,0.678378,0.171958,[1 4] ; [ 8 52],[0.69230769 4.30769231] ; [ 8.30769231 51.69230769],0
a4,1,0.689095,0.160067,[1 4] ; [17 43],[1.38461538 3.61538462] ; [16.61538462 43.38461538],0
s3,1,0.694178,0.1546,[2 3] ; [29 30],[2.421875 2.578125] ; [28.578125 30.421875],0
p7,1,0.704737,0.143591,[2 1] ; [45 14],[2.27419355 0.72580645] ; [44.72580645 14.27419355],0
n3,1,0.715388,0.132955,[1 1] ; [7 4],[1.23076923 0.76923077] ; [6.76923077 4.23076923],0
s4,1,0.765918,0.088636,[1 4] ; [ 9 51],[0.76923077 4.23076923] ; [ 9.23076923 50.76923077],0
d1,1,0.773885,0.08254,[2 3] ; [28 32],[2.30769231 2.69230769] ; [27.69230769 32.30769231],0
a3,1,0.828917,0.046695,[3 2] ; [33 27],[2.76923077 2.23076923] ; [33.23076923 26.76923077],0
p6,1,0.865771,0.028572,[2 3] ; [21 37],[1.82539683 3.17460317] ; [21.17460317 36.82539683],0
s8,1,0.94133,0.005417,[2 3] ; [23 37],[1.92307692 3.07692308] ; [23.07692308 36.92307692],0
n5,1,1.0,0.0,[2 3] ; [24 36],[2. 3.] ; [24. 36.],0
