Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.6e-05,18.641304,[36 10] ; [ 6 18],[27.6 18.4] ; [14.4  9.6],1
p3,1,0.000225,13.612981,[29 17] ; [ 4 20],[21.68571429 24.31428571] ; [11.31428571 12.68571429],1
p2,1,0.00029,13.133234,[41  5] ; [12 12],[34.82857143 11.17142857] ; [18.17142857  5.82857143],1
p11,1,0.001046,10.744614,[37  9] ; [10 14],[30.88571429 15.11428571] ; [16.11428571  7.88571429],0
p8,1,0.001216,10.465966,[29 17] ; [ 5 18],[22.66666667 23.33333333] ; [11.33333333 11.66666667],0
a5,1,0.01995,5.416264,[34 12] ; [11 13],[29.57142857 16.42857143] ; [15.42857143  8.57142857],0
p6,1,0.021033,5.324074,[20 25] ; [ 4 20],[15.65217391 29.34782609] ; [ 8.34782609 15.65217391],0
d5,1,0.024563,5.054448,[31 15] ; [22  2],[34.82857143 11.17142857] ; [18.17142857  5.82857143],0
n3,1,0.030522,4.67963,[13  3] ; [5 7],[10.28571429  5.71428571] ; [7.71428571 4.28571429],0
b2,1,0.036472,4.37491,[10 19] ; [9 4],[13.11904762 15.88095238] ; [5.88095238 7.11904762],0
b3,1,0.036472,4.37491,[10 19] ; [9 4],[13.11904762 15.88095238] ; [5.88095238 7.11904762],0
s4,1,0.060539,3.522544,[20 26] ; [ 5 19],[16.42857143 29.57142857] ; [ 8.57142857 15.42857143],0
n6,1,0.069403,3.297074,[34 11] ; [13 11],[30.65217391 14.34782609] ; [16.34782609  7.65217391],0
n5,1,0.079021,3.084921,[21 24] ; [ 6 18],[17.60869565 27.39130435] ; [ 9.39130435 14.60869565],0
u1,1,0.080536,3.054046,[ 9 37] ; [ 1 23],[ 6.57142857 39.42857143] ; [ 3.42857143 20.57142857],0
b4,1,0.086763,2.933437,[27 19] ; [19  5],[30.22857143 15.77142857] ; [15.77142857  8.22857143],0
p10,1,0.09965,2.711133,[40  6] ; [17  7],[37.45714286  8.54285714] ; [19.54285714  4.45714286],0
