Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,145.220139,[555  14] ; [30 23],[535.15273312  33.84726688] ; [49.84726688  3.15273312],1
r1,1,0.0,118.933002,[493  77] ; [16 42],[461.99044586 108.00955414] ; [47.00955414 10.99044586],1
r3,1,0.0,100.560791,[565   7] ; [40 15],[551.92982456  20.07017544] ; [53.07017544  1.92982456],1
v4,1,0.0,73.528134,[562   9] ; [41 13],[550.9008  20.0992] ; [52.0992  1.9008],1
d1,1,5.5e-05,16.271237,[354 218] ; [21 39],[339.39873418 232.60126582] ; [35.60126582 24.39873418],1
d3,1,0.000309,13.012221,[414 158] ; [30 30],[401.84810127 170.15189873] ; [42.15189873 17.84810127],1
a5,1,0.000372,12.669002,[443 129] ; [34 26],[431.71518987 140.28481013] ; [45.28481013 14.71518987],1
a7,1,0.000432,12.388451,[431 140] ; [32 27],[419.63968254 151.36031746] ; [43.36031746 15.63968254],1
n4,1,0.000782,11.283241,[466 105] ; [38 22],[456.07606973 114.92393027] ; [47.92393027 12.07606973],1
d4,1,0.000911,11.000178,[484  87] ; [40 19],[474.92698413  96.07301587] ; [49.07301587  9.92698413],1
a3,1,0.000918,10.985588,[428 143] ; [33 27],[417.16481775 153.83518225] ; [43.83518225 16.16481775],1
v3,1,0.001012,10.805231,[235 319] ; [12 47],[223.22675367 330.77324633] ; [23.77324633 35.22675367],0
a6,1,0.00153,10.041706,[408 163] ; [31 29],[397.25673534 173.74326466] ; [41.74326466 18.25673534],0
n6,1,0.001944,9.601249,[505  66] ; [43 15],[497.46899841  73.53100159] ; [50.53100159  7.46899841],0
d5,1,0.00225,9.333144,[480  91] ; [41 19],[471.45958796  99.54041204] ; [49.54041204 10.45958796],0
d2,1,0.006652,7.36454,[280 291] ; [18 41],[270.09206349 300.90793651] ; [27.90793651 31.09206349],0
v1,1,0.00775,7.090251,[322 235] ; [22 34],[312.57422512 244.42577488] ; [31.42577488 24.57422512],0
p10,1,0.009702,6.688804,[506  63] ; [44 13],[499.9201278  69.0798722] ; [50.0798722  6.9201278],0
a2,1,0.009887,6.655136,[142 430] ; [ 6 54],[133.94936709 438.05063291] ; [14.05063291 45.94936709],0
p7,1,0.012971,6.172998,[405 154] ; [33 25],[396.82658023 162.17341977] ; [41.17341977 16.82658023],0
n5,1,0.015265,5.885597,[450 120] ; [37 20],[442.72727273 127.27272727] ; [44.27272727 12.72727273],0
p3,1,0.016046,5.797795,[312 259] ; [23 37],[303.14580032 267.85419968] ; [31.85419968 28.14580032],0
p9,1,0.018491,5.548986,[515  51] ; [48 11],[509.8528  56.1472] ; [53.1472  5.8528],0
a8,1,0.045003,4.018521,[ 83 436] ; [ 3 50],[ 78.03146853 440.96853147] ; [ 7.96853147 45.03146853],0
p8,1,0.049231,3.867466,[350 212] ; [29 30],[342.99194847 219.00805153] ; [36.00805153 22.99194847],0
s4,1,0.062848,3.460589,[ 82 482] ; [14 45],[ 86.90850722 477.09149278] ; [ 9.09149278 49.90850722],0
s5,1,0.06887,3.309745,[196 359] ; [13 43],[189.84451718 365.15548282] ; [19.15548282 36.84451718],0
s8,1,0.070165,3.279147,[263 306] ; [20 39],[256.41242038 312.58757962] ; [26.58757962 32.41242038],0
b2,1,0.091778,2.842913,[143 211] ; [11 30],[138.01518987 215.98481013] ; [15.98481013 25.01518987],0
b3,1,0.091778,2.842913,[143 211] ; [11 30],[138.01518987 215.98481013] ; [15.98481013 25.01518987],0
v2,1,0.101461,2.682432,[328 224] ; [28 30],[322.15081967 229.84918033] ; [33.84918033 24.15081967],0
b1,1,0.10315,2.656149,[188 384] ; [26 34],[193.6835443 378.3164557] ; [20.3164557 39.6835443],0
u1,1,0.105578,2.619192,[105 467] ; [ 6 54],[100.46202532 471.53797468] ; [10.53797468 49.46202532],0
s6,1,0.113709,2.5019,[382 178] ; [33 24],[376.66126418 183.33873582] ; [38.33873582 18.66126418],0
p4,1,0.167594,1.904339,[374 196] ; [34 26],[369.14285714 200.85714286] ; [38.85714286 21.14285714],0
a4,1,0.221132,1.497012,[256 314] ; [22 38],[251.52380952 318.47619048] ; [26.47619048 33.52380952],0
u3,1,0.222256,1.489747,[85 59] ; [12 14],[82.16470588 61.83529412] ; [14.83529412 11.16470588],0
p12,1,0.310213,1.029769,[ 51 517] ; [ 3 56],[ 48.91866029 519.08133971] ; [ 5.08133971 53.91866029],0
p6,1,0.342766,0.900059,[227 337] ; [20 39],[223.60834671 340.39165329] ; [23.39165329 35.60834671],0
s2,1,0.343496,0.89734,[286 281] ; [25 32],[282.59134615 284.40865385] ; [28.40865385 28.59134615],0
s3,1,0.436155,0.606377,[324 241] ; [28 26],[321.29240711 243.70759289] ; [30.70759289 23.29240711],0
n1,1,0.470073,0.521804,[32 69] ; [ 8 12],[33.38842975 67.61157025] ; [ 6.61157025 13.38842975],0
n3,1,0.474139,0.512314,[79 23] ; [14  6],[77.75409836 24.24590164] ; [15.24590164  4.75409836],0
p5,1,0.598471,0.277308,[ 72 499] ; [ 9 51],[ 73.29793978 497.70206022] ; [ 7.70206022 52.29793978],0
b4,1,0.612504,0.256545,[334 238] ; [33 27],[332.15822785 239.84177215] ; [34.84177215 25.15822785],0
s7,1,0.628864,0.233604,[274 276] ; [26 30],[272.27722772 277.72277228] ; [27.72277228 28.27722772],0
b5,1,0.696947,0.151667,[339 233] ; [34 26],[337.58860759 234.41139241] ; [35.41139241 24.58860759],0
u2,1,0.710581,0.137697,[83 61] ; [16 10],[83.85882353 60.14117647] ; [15.14117647 10.85882353],0
s1,1,0.749609,0.10186,[ 13 550] ; [ 1 59],[ 12.65168539 550.34831461] ; [ 1.34831461 58.65168539],0
a1,1,0.872814,0.025627,[ 26 546] ; [ 3 57],[ 26.24683544 545.75316456] ; [ 2.75316456 57.24683544],0
p1,1,0.873689,0.025273,[ 51 519] ; [ 5 55],[ 50.66666667 519.33333333] ; [ 5.33333333 54.66666667],0
n2,1,0.944589,0.004831,[75 26] ; [15  5],[75.12396694 25.87603306] ; [14.87603306  5.12396694],0
