Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001005,10.818987,[ 3 39] ; [10 15],[ 8.14925373 33.85074627] ; [ 4.85074627 20.14925373],0
a3,1,0.026156,4.945652,[21 21] ; [18  5],[25.2 16.8] ; [13.8  9.2],0
n1,1,0.034287,4.480312,[ 4 12] ; [11  7],[7.05882353 8.94117647] ; [ 7.94117647 10.05882353],0
b4,1,0.051413,3.794756,[20 22] ; [18  7],[23.82089552 18.17910448] ; [14.17910448 10.82089552],0
b3,1,0.059568,3.549383,[14 14] ; [ 4 14],[10.95652174 17.04347826] ; [ 7.04347826 10.95652174],0
b2,1,0.059568,3.549383,[14 14] ; [ 4 14],[10.95652174 17.04347826] ; [ 7.04347826 10.95652174],0
n2,1,0.089,2.892361,[ 6 10] ; [12  6],[8.47058824 7.52941176] ; [9.52941176 8.47058824],0
s8,1,0.096569,2.761309,[ 5 37] ; [ 7 18],[ 7.52238806 34.47761194] ; [ 4.47761194 20.52238806],0
p8,1,0.10287,2.660479,[ 9 33] ; [10 15],[11.91044776 30.08955224] ; [ 7.08955224 17.91044776],0
n6,1,0.137025,2.211057,[19 23] ; [16  9],[21.94029851 20.05970149] ; [13.05970149 11.94029851],0
v4,1,0.161403,1.961035,[23 19] ; [18  7],[25.70149254 16.29850746] ; [15.29850746  9.70149254],0
p3,1,0.193133,1.693557,[ 9 33] ; [ 9 16],[11.28358209 30.71641791] ; [ 6.71641791 18.28358209],0
a6,1,0.1934,1.691524,[22 20] ; [ 9 16],[19.43283582 22.56716418] ; [11.56716418 13.43283582],0
d2,1,0.196385,1.669058,[18 23] ; [ 7 18],[15.53030303 25.46969697] ; [ 9.46969697 15.53030303],0
p10,1,0.219025,1.51075,[15 26] ; [13 12],[17.39393939 23.60606061] ; [10.60606061 14.39393939],0
s1,1,0.275548,1.188916,[ 2 40] ; [ 3 22],[ 3.13432836 38.86567164] ; [ 1.86567164 23.13432836],0
r2,1,0.302504,1.063123,[25 15] ; [18  6],[26.875 13.125] ; [16.125  7.875],0
a1,1,0.314359,1.012273,[ 7 35] ; [ 2 23],[ 5.64179104 36.35820896] ; [ 3.35820896 21.64179104],0
d4,1,0.353226,0.861834,[22 20] ; [16  9],[23.82089552 18.17910448] ; [14.17910448 10.82089552],0
n3,1,0.373301,0.792647,[ 6 10] ; [9 8],[7.27272727 8.72727273] ; [7.72727273 9.27272727],0
s6,1,0.39609,0.720165,[11 31] ; [ 9 16],[12.53731343 29.46268657] ; [ 7.46268657 17.53731343],0
a7,1,0.426616,0.632018,[16 26] ; [12 13],[17.55223881 24.44776119] ; [10.44776119 14.55223881],0
v2,1,0.44068,0.594512,[ 7 34] ; [ 6 18],[ 8.2 32.8] ; [ 4.8 19.2],0
p1,1,0.44285,0.588886,[ 6 36] ; [ 2 23],[ 5.01492537 36.98507463] ; [ 2.98507463 22.01492537],0
d3,1,0.467895,0.526943,[18 24] ; [13 12],[19.43283582 22.56716418] ; [11.56716418 13.43283582],0
u3,1,0.48338,0.491228,[ 6 15] ; [3 4],[ 6.75 14.25] ; [2.25 4.75],0
u2,1,0.502716,0.449198,[ 9 12] ; [2 5],[ 8.25 12.75] ; [2.75 4.25],0
d1,1,0.526119,0.401881,[12 30] ; [ 9 16],[13.1641791 28.8358209] ; [ 7.8358209 17.1641791],0
v1,1,0.541454,0.372852,[13 29] ; [ 6 19],[11.91044776 30.08955224] ; [ 7.08955224 17.91044776],0
v3,1,0.569343,0.323783,[ 8 34] ; [ 6 18],[ 8.90909091 33.09090909] ; [ 5.09090909 18.90909091],0
n4,1,0.582025,0.302972,[28 14] ; [15 10],[26.95522388 15.04477612] ; [16.04477612  8.95522388],0
s3,1,0.620959,0.244522,[11 29] ; [ 8 16],[11.875 28.125] ; [ 7.125 16.875],0
a8,1,0.624184,0.240031,[ 1 40] ; [ 1 20],[ 1.32258065 39.67741935] ; [ 0.67741935 20.32258065],0
p11,1,0.649011,0.20715,[14 28] ; [ 7 18],[13.1641791 28.8358209] ; [ 7.8358209 17.1641791],0
