Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.004948,7.898409,[ 2 23] ; [11 15],[ 6.37254902 18.62745098] ; [ 6.62745098 19.37254902],0
d5,1,0.068957,3.307683,[11 14] ; [18  8],[14.21568627 10.78431373] ; [14.78431373 11.21568627],0
a6,1,0.107687,2.587839,[ 7 18] ; [13 13],[ 9.80392157 15.19607843] ; [10.19607843 15.80392157],0
a5,1,0.124965,2.353968,[14 11] ; [ 9 17],[11.2745098 13.7254902] ; [11.7254902 14.2745098],0
d2,1,0.155969,2.012882,[ 9 16] ; [14 11],[11.5 13.5] ; [11.5 13.5],0
d1,1,0.165602,1.922308,[ 6 19] ; [11 15],[ 8.33333333 16.66666667] ; [ 8.66666667 17.33333333],0
d3,1,0.180091,1.796872,[ 7 18] ; [12 14],[ 9.31372549 15.68627451] ; [ 9.68627451 16.31372549],0
r1,1,0.200407,1.639408,[ 9 16] ; [14 12],[11.2745098 13.7254902] ; [11.7254902 14.2745098],0
s5,1,0.22144,1.495017,[ 2 23] ; [ 5 20],[ 3.5 21.5] ; [ 3.5 21.5],0
a1,1,0.243965,1.357537,[ 2 23] ; [ 5 21],[ 3.43137255 21.56862745] ; [ 3.56862745 22.43137255],0
b4,1,0.285136,1.142448,[18  7] ; [15 11],[16.17647059  8.82352941] ; [16.82352941  9.17647059],0
a8,1,0.301309,1.068393,[ 4 19] ; [ 2 24],[ 2.81632653 20.18367347] ; [ 3.18367347 22.81632653],0
s3,1,0.319383,0.991472,[ 5 18] ; [ 9 17],[ 6.57142857 16.42857143] ; [ 7.42857143 18.57142857],0
p10,1,0.357068,0.84818,[10 13] ; [ 8 18],[ 8.44897959 14.55102041] ; [ 9.55102041 16.44897959],0
a2,1,0.357293,0.847385,[ 4 21] ; [ 2 24],[ 2.94117647 22.05882353] ; [ 3.05882353 22.94117647],0
p2,1,0.382078,0.764007,[11 14] ; [ 8 17],[ 9.5 15.5] ; [ 9.5 15.5],0
n3,1,0.391805,0.733333,[6 5] ; [4 7],[5. 6.] ; [5. 6.],0
b3,1,0.392147,0.732274,[ 5 12] ; [7 9],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
b2,1,0.392147,0.732274,[ 5 12] ; [7 9],[ 6.18181818 10.81818182] ; [ 5.81818182 10.18181818],0
s8,1,0.406178,0.68996,[ 5 20] ; [ 3 23],[ 3.92156863 21.07843137] ; [ 4.07843137 21.92156863],0
r3,1,0.418551,0.65438,[13 11] ; [17  9],[14.4  9.6] ; [15.6 10.4],0
p4,1,0.438526,0.600135,[ 6 19] ; [ 4 22],[ 4.90196078 20.09803922] ; [ 5.09803922 20.90196078],0
p7,1,0.438526,0.600135,[ 6 19] ; [ 4 22],[ 4.90196078 20.09803922] ; [ 5.09803922 20.90196078],0
p11,1,0.488161,0.480577,[13 12] ; [11 15],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
b5,1,0.488161,0.480577,[13 12] ; [11 15],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
v2,1,0.488203,0.480484,[ 7 17] ; [10 16],[ 8.16 15.84] ; [ 8.84 17.16],0
n1,1,0.509903,0.434266,[4 7] ; [6 6],[4.7826087 6.2173913] ; [5.2173913 6.7826087],0
v3,1,0.52455,0.404938,[ 4 21] ; [ 6 20],[ 4.90196078 20.09803922] ; [ 5.09803922 20.90196078],0
u2,1,0.537892,0.379461,[3 8] ; [ 2 10],[2.39130435 8.60869565] ; [2.60869565 9.39130435],0
n6,1,0.585588,0.297287,[12 12] ; [11 15],[11.04 12.96] ; [11.96 14.04],0
p5,1,0.599964,0.27505,[ 1 23] ; [ 2 24],[ 1.44 22.56] ; [ 1.56 24.44],0
p6,1,0.60292,0.270614,[ 3 21] ; [ 2 23],[ 2.44897959 21.55102041] ; [ 2.55102041 22.44897959],0
s1,1,0.605046,0.267452,[ 3 22] ; [ 2 24],[ 2.45098039 22.54901961] ; [ 2.54901961 23.45098039],0
b1,1,0.676314,0.174305,[12 13] ; [14 12],[12.74509804 12.25490196] ; [13.25490196 12.74509804],0
v1,1,0.686737,0.162641,[ 7 18] ; [ 6 20],[ 6.37254902 18.62745098] ; [ 6.62745098 19.37254902],0
a3,1,0.749465,0.101981,[14 10] ; [14 12],[13.44 10.56] ; [14.56 11.44],0
s7,1,0.819678,0.051966,[ 5 17] ; [ 5 20],[ 4.68085106 17.31914894] ; [ 5.31914894 19.68085106],0
n2,1,0.854757,0.033508,[5 6] ; [5 7],[4.7826087 6.2173913] ; [5.2173913 6.7826087],0
n5,1,0.855772,0.033036,[16  9] ; [16 10],[15.68627451  9.31372549] ; [16.31372549  9.68627451],0
a7,1,0.894949,0.017436,[13 12] ; [14 12],[13.23529412 11.76470588] ; [13.76470588 12.23529412],0
s2,1,0.901678,0.015263,[ 4 20] ; [ 4 22],[ 3.84 20.16] ; [ 4.16 21.84],0
d4,1,0.917616,0.010699,[16  9] ; [17  9],[16.17647059  8.82352941] ; [16.82352941  9.17647059],0
n4,1,0.917616,0.010699,[16  9] ; [17  9],[16.17647059  8.82352941] ; [16.82352941  9.17647059],0
s6,1,0.931346,0.007422,[ 7 18] ; [ 7 19],[ 6.8627451 18.1372549] ; [ 7.1372549 18.8627451],0
p9,1,0.934143,0.006828,[10 13] ; [11 15],[ 9.85714286 13.14285714] ; [11.14285714 14.85714286],0
p8,1,0.949673,0.003984,[ 4 20] ; [ 4 21],[ 3.91836735 20.08163265] ; [ 4.08163265 20.91836735],0
p1,1,0.959213,0.002615,[ 3 22] ; [ 3 23],[ 2.94117647 22.05882353] ; [ 3.05882353 22.94117647],0
s4,1,0.967409,0.001669,[ 2 23] ; [ 2 24],[ 1.96078431 23.03921569] ; [ 2.03921569 23.96078431],0
a4,1,1.0,0.0,[ 9 16] ; [ 9 16],[ 9. 16.] ; [ 9. 16.],0
