Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,96.670593,[167   6] ; [65 71],[129.88996764  43.11003236] ; [102.11003236  33.88996764],1
d2,1,0.0,91.405121,[115  58] ; [ 17 120],[73.66451613 99.33548387] ; [58.33548387 78.66451613],1
d4,1,0.0,72.343552,[170   3] ; [83 54],[141.19032258  31.80967742] ; [111.80967742  25.19032258],1
d5,1,0.0,68.398301,[171   2] ; [87 50],[143.98064516  29.01935484] ; [114.01935484  22.98064516],1
a2,1,0.0,40.520156,[ 69 104] ; [ 11 126],[ 44.64516129 128.35483871] ; [ 35.35483871 101.64516129],1
u1,1,0.0,31.061648,[ 50 123] ; [  6 131],[ 31.2516129 141.7483871] ; [ 24.7483871 112.2516129],1
a6,1,0.0,25.688686,[152  21] ; [87 50],[133.37741935  39.62258065] ; [105.62258065  31.37741935],1
a5,1,1.4e-05,18.860047,[143  30] ; [83 54],[126.12258065  46.87741935] ; [99.87741935 37.12258065],1
a4,1,2.1e-05,18.098329,[93 79] ; [41 96],[74.58899676 97.41100324] ; [59.41100324 77.58899676],1
a3,1,0.000179,14.04219,[133  39] ; [78 58],[117.83116883  54.16883117] ; [93.16883117 42.83116883],1
r1,1,0.00107,10.703157,[144  28] ; [93 44],[131.9223301  40.0776699] ; [105.0776699  31.9223301],0
v2,1,0.008021,7.0288,[104  65] ; [61 71],[92.64119601 76.35880399] ; [72.35880399 59.64119601],0
r2,1,0.008076,7.016638,[163   9] ; [117  19],[156.36363636  15.63636364] ; [123.63636364  12.36363636],0
v4,1,0.018745,5.52518,[166   7] ; [122  15],[160.72258065  12.27741935] ; [127.27741935   9.72258065],0
r4,1,0.031427,4.629478,[156  17] ; [112  25],[149.56129032  23.43870968] ; [118.43870968  18.56129032],0
n6,1,0.044542,4.035888,[144  28] ; [102  35],[136.93203883  35.06796117] ; [109.06796117  27.93203883],0
n4,1,0.052579,3.757259,[131  42] ; [90 47],[123.33225806  49.66774194] ; [97.66774194 39.33225806],0
p5,1,0.065842,3.383759,[ 12 160] ; [ 18 118],[ 16.75324675 155.24675325] ; [ 13.24675325 122.75324675],0
b1,1,0.084526,2.975652,[ 52 121] ; [54 83],[ 59.15483871 113.84516129] ; [46.84516129 90.15483871],0
p4,1,0.126689,2.33261,[101  71] ; [68 68],[94.37662338 77.62337662] ; [74.62337662 61.37662338],0
n1,1,0.183398,1.769872,[11 34] ; [12 19],[13.61842105 31.38157895] ; [ 9.38157895 21.61842105],0
u2,1,0.184201,1.763401,[18 22] ; [34 24],[21.2244898 18.7755102] ; [30.7755102 27.2244898],0
s1,1,0.213424,1.548044,[  1 170] ; [  3 133],[  2.22801303 168.77198697] ; [  1.77198697 134.22801303],0
b5,1,0.276632,1.183565,[120  53] ; [87 50],[115.51935484  57.48064516] ; [91.48064516 45.51935484],0
p1,1,0.29676,1.088698,[ 11 162] ; [ 13 123],[ 13.4368932 159.5631068] ; [ 10.5631068 125.4368932],0
v1,1,0.358588,0.842832,[92 79] ; [66 70],[88.00651466 82.99348534] ; [69.99348534 66.00651466],0
p7,1,0.364716,0.821588,[102  69] ; [73 61],[98.1147541 72.8852459] ; [76.8852459 57.1147541],0
u3,1,0.418195,0.655381,[24 16] ; [30 28],[22.04081633 17.95918367] ; [31.95918367 26.04081633],0
r3,1,0.423614,0.640267,[163  10] ; [125  11],[161.24271845  11.75728155] ; [126.75728155   9.24271845],0
v3,1,0.428599,0.626616,[ 63 104] ; [45 90],[ 59.7218543 107.2781457] ; [48.2781457 86.7218543],0
a1,1,0.464972,0.5339,[  7 166] ; [  8 129],[  8.37096774 164.62903226] ; [  6.62903226 130.37096774],0
b4,1,0.472006,0.517277,[103  70] ; [76 61],[99.89354839 73.10645161] ; [79.10645161 57.89354839],0
p11,1,0.489341,0.477975,[131  42] ; [99 38],[128.35483871  44.64516129] ; [101.64516129  35.35483871],0
n5,1,0.493148,0.469651,[116  56] ; [86 49],[113.17263844  58.82736156] ; [88.82736156 46.17263844],0
s6,1,0.51165,0.43069,[71 99] ; [61 73],[73.81578947 96.18421053] ; [58.18421053 75.81578947],0
s4,1,0.526715,0.400725,[ 16 152] ; [ 16 120],[ 17.68421053 150.31578947] ; [ 14.31578947 121.68421053],0
p3,1,0.563189,0.334213,[81 91] ; [60 77],[78.48543689 93.51456311] ; [62.51456311 74.48543689],0
p8,1,0.599943,0.275081,[89 80] ; [66 67],[86.7384106 82.2615894] ; [68.2615894 64.7384106],0
s2,1,0.623038,0.241621,[ 25 147] ; [ 17 118],[ 23.53094463 148.46905537] ; [ 18.46905537 116.53094463],0
n3,1,0.626772,0.236463,[30 15] ; [23  9],[30.97402597 14.02597403] ; [22.02597403  9.97402597],0
