Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,47.09531,[97 52] ; [26 89],[69.42045455 79.57954545] ; [53.57954545 61.42045455],1
p8,1,0.0,27.509159,[93 55] ; [34 79],[72.01532567 75.98467433] ; [54.98467433 58.01532567],1
p6,1,1e-06,23.88165,[62 85] ; [16 97],[ 44.1 102.9] ; [33.9 79.1],1
p2,1,0.000136,14.558364,[132  17] ; [81 35],[119.76226415  29.23773585] ; [93.23773585 22.76226415],1
n5,1,0.000147,14.407534,[116  32] ; [65 50],[101.85551331  46.14448669] ; [79.14448669 35.85551331],1
p7,1,0.000296,13.09338,[104  44] ; [55 59],[89.81679389 58.18320611] ; [69.18320611 44.81679389],1
p10,1,0.000761,11.334972,[127  22] ; [78 37],[115.70075758  33.29924242] ; [89.29924242 25.70075758],1
r4,1,0.000838,11.154271,[138  11] ; [91 25],[128.75849057  20.24150943] ; [100.24150943  15.75849057],1
p5,1,0.000977,10.870219,[ 19 130] ; [  2 114],[ 11.80754717 137.19245283] ; [  9.19245283 106.80754717],1
p9,1,0.001776,9.76731,[129  19] ; [81 32],[119.08045977  28.91954023] ; [90.91954023 22.08045977],0
s6,1,0.001951,9.594764,[94 53] ; [51 63],[81.66666667 65.33333333] ; [63.33333333 50.66666667],0
p12,1,0.003813,8.370802,[ 16 133] ; [  2 114],[ 10.12075472 138.87924528] ; [  7.87924528 108.12075472],0
n4,1,0.00771,7.099519,[116  33] ; [73 43],[106.26792453  42.73207547] ; [82.73207547 33.26792453],0
v1,1,0.028314,4.808846,[94 52] ; [58 56],[85.35384615 60.64615385] ; [66.64615385 47.35384615],0
d3,1,0.037256,4.338676,[116  33] ; [77 39],[108.51698113  40.48301887] ; [84.48301887 31.51698113],0
a5,1,0.037256,4.338676,[116  33] ; [77 39],[108.51698113  40.48301887] ; [84.48301887 31.51698113],0
s7,1,0.047598,3.924115,[47 96] ; [24 87],[ 39.97244094 103.02755906] ; [31.02755906 79.97244094],0
d2,1,0.067905,3.332941,[72 76] ; [43 72],[64.7148289 83.2851711] ; [50.2851711 64.7148289],0
p11,1,0.07047,3.272043,[124  25] ; [86 30],[118.0754717  30.9245283] ; [91.9245283 24.0754717],0
d5,1,0.076649,3.134564,[127  22] ; [89 27],[121.4490566  27.5509434] ; [94.5509434 21.4490566],0
d1,1,0.107603,2.589075,[93 56] ; [61 55],[86.58867925 62.41132075] ; [67.41132075 48.58867925],0
p1,1,0.111383,2.53449,[ 14 135] ; [  5 111],[ 10.68301887 138.31698113] ; [  8.31698113 107.68301887],0
n6,1,0.139509,2.183369,[124  24] ; [88 27],[119.30038023  28.69961977] ; [92.69961977 22.30038023],0
s5,1,0.143093,2.144379,[ 43 104] ; [24 89],[ 37.88076923 109.11923077] ; [29.11923077 83.88076923],0
a2,1,0.150854,2.06359,[ 38 111] ; [21 95],[ 33.17358491 115.82641509] ; [25.82641509 90.17358491],0
u1,1,0.154707,2.025217,[ 26 123] ; [ 13 103],[ 21.92830189 127.07169811] ; [17.07169811 98.92830189],0
u3,1,0.195705,1.674138,[25 22] ; [14 22],[22.08433735 24.91566265] ; [16.91566265 19.08433735],0
s1,1,0.200513,1.638638,[  1 147] ; [  3 111],[  2.25954198 145.74045802] ; [  1.74045802 112.25954198],0
r1,1,0.250481,1.320621,[122  26] ; [89 27],[118.28787879  29.71212121] ; [92.71212121 23.28787879],0
a4,1,0.278282,1.175461,[69 80] ; [46 70],[64.66037736 84.33962264] ; [50.33962264 65.66037736],0
