Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0003,13.069653,[ 9 18] ; [31  9],[16.11940299 10.88059701] ; [23.88059701 16.11940299],1
r2,1,0.003068,8.766629,[16 11] ; [36  4],[20.95522388  6.04477612] ; [31.04477612  8.95522388],0
b4,1,0.020807,5.342925,[12 15] ; [29 11],[16.52238806 10.47761194] ; [24.47761194 15.52238806],0
d4,1,0.138339,2.196344,[17 10] ; [31  8],[19.63636364  7.36363636] ; [28.36363636 10.63636364],0
s4,1,0.148539,2.087187,[ 8 19] ; [ 6 34],[ 5.64179104 21.35820896] ; [ 8.35820896 31.64179104],0
v4,1,0.163977,1.937165,[19  8] ; [33  6],[21.27272727  5.72727273] ; [30.72727273  8.27272727],0
p4,1,0.170131,1.88179,[14 13] ; [14 26],[11.28358209 15.71641791] ; [16.71641791 23.28358209],0
p7,1,0.17834,1.811404,[16 11] ; [17 23],[13.29850746 13.70149254] ; [19.70149254 20.29850746],0
r3,1,0.267312,1.23049,[20  7] ; [34  6],[21.76119403  5.23880597] ; [32.23880597  7.76119403],0
a7,1,0.338609,0.915689,[13 14] ; [24 16],[14.91044776 12.08955224] ; [22.08955224 17.91044776],0
a3,1,0.338609,0.915689,[13 14] ; [24 16],[14.91044776 12.08955224] ; [22.08955224 17.91044776],0
p1,1,0.340748,0.907615,[ 2 25] ; [ 1 39],[ 1.20895522 25.79104478] ; [ 1.79104478 38.20895522],0
d1,1,0.396528,0.71883,[10 17] ; [19 21],[11.68656716 15.31343284] ; [17.31343284 22.68656716],0
v1,1,0.397681,0.715327,[ 5 22] ; [11 29],[ 6.44776119 20.55223881] ; [ 9.55223881 30.44776119],0
n2,1,0.449731,0.57133,[7 7] ; [12  7],[8.06060606 5.93939394] ; [10.93939394  8.06060606],0
b5,1,0.451429,0.567061,[13 14] ; [23 17],[14.50746269 12.49253731] ; [21.49253731 18.50746269],0
p3,1,0.45287,0.563459,[ 8 18] ; [ 9 31],[ 6.6969697 19.3030303] ; [10.3030303 29.6969697],0
u2,1,0.464214,0.535714,[6 8] ; [9 7],[7. 7.] ; [8. 8.],0
v2,1,0.473775,0.513158,[ 9 18] ; [16 22],[10.38461538 16.61538462] ; [14.61538462 23.38461538],0
s2,1,0.497388,0.460505,[ 9 18] ; [10 29],[ 7.77272727 19.22727273] ; [11.22727273 27.77272727],0
a2,1,0.503852,0.446814,[ 2 25] ; [ 5 35],[ 2.82089552 24.17910448] ; [ 4.17910448 35.82089552],0
u3,1,0.51043,0.433185,[8 6] ; [11  5],[8.86666667 5.13333333] ; [10.13333333  5.86666667],0
b1,1,0.517686,0.418501,[15 12] ; [19 21],[13.70149254 13.29850746] ; [20.29850746 19.70149254],0
d3,1,0.517686,0.418501,[12 15] ; [21 19],[13.29850746 13.70149254] ; [19.70149254 20.29850746],0
s8,1,0.52558,0.40293,[ 5 22] ; [ 5 34],[ 4.09090909 22.90909091] ; [ 5.90909091 33.09090909],0
s7,1,0.557163,0.34464,[ 6 19] ; [ 7 32],[ 5.078125 19.921875] ; [ 7.921875 31.078125],0
a4,1,0.564079,0.33269,[ 7 20] ; [13 27],[ 8.05970149 18.94029851] ; [11.94029851 28.05970149],0
p11,1,0.569745,0.32311,[12 15] ; [15 25],[10.88059701 16.11940299] ; [16.11940299 23.88059701],0
d2,1,0.581811,0.303317,[14 13] ; [18 22],[12.89552239 14.10447761] ; [19.10447761 20.89552239],0
p6,1,0.612597,0.25641,[ 6 20] ; [ 7 32],[ 5.2 20.8] ; [ 7.8 31.2],0
b3,1,0.615496,0.252249,[ 2 12] ; [ 5 19],[ 2.57894737 11.42105263] ; [ 4.42105263 19.57894737],0
b2,1,0.615496,0.252249,[ 2 12] ; [ 5 19],[ 2.57894737 11.42105263] ; [ 4.42105263 19.57894737],0
p8,1,0.619437,0.246659,[10 16] ; [13 27],[ 9.06060606 16.93939394] ; [13.93939394 26.06060606],0
p2,1,0.655202,0.199405,[12 15] ; [20 20],[12.89552239 14.10447761] ; [19.10447761 20.89552239],0
n1,1,0.662597,0.190385,[ 3 10] ; [ 6 14],[3.54545455 9.45454545] ; [ 5.45454545 14.54545455],0
d5,1,0.70124,0.147185,[17 10] ; [27 13],[17.73134328  9.26865672] ; [26.26865672 13.73134328],0
n3,1,0.726713,0.122152,[8 6] ; [12  7],[8.48484848 5.51515152] ; [11.51515152  7.48484848],0
a8,1,0.732678,0.116667,[ 1 26] ; [ 2 34],[ 1.28571429 25.71428571] ; [ 1.71428571 34.28571429],0
v3,1,0.736956,0.112821,[ 4 23] ; [ 7 32],[ 4.5 22.5] ; [ 6.5 32.5],0
p10,1,0.880441,0.022623,[ 5 22] ; [ 8 32],[ 5.23880597 21.76119403] ; [ 7.76119403 32.23880597],0
n6,1,0.881777,0.022117,[14 13] ; [20 20],[13.70149254 13.29850746] ; [20.29850746 19.70149254],0
s1,1,0.884046,0.02127,[ 3 24] ; [ 4 36],[ 2.82089552 24.17910448] ; [ 4.17910448 35.82089552],0
s5,1,0.896161,0.017034,[ 5 21] ; [ 7 32],[ 4.8 21.2] ; [ 7.2 31.8],0
n5,1,0.931919,0.007298,[ 7 20] ; [10 30],[ 6.85074627 20.14925373] ; [10.14925373 29.85074627],0
a6,1,0.958451,0.002714,[14 13] ; [21 19],[14.10447761 12.89552239] ; [20.89552239 19.10447761],0
a5,1,0.964223,0.002012,[12 15] ; [18 22],[12.08955224 14.91044776] ; [17.91044776 22.08955224],0
s3,1,0.969343,0.001477,[10 17] ; [15 25],[10.07462687 16.92537313] ; [14.92537313 25.07462687],0
s6,1,0.981534,0.000536,[11 16] ; [16 23],[11.04545455 15.95454545] ; [15.95454545 23.04545455],0
