Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6.7e-05,15.87979,[10  7] ; [16 86],[ 3.71428571 13.28571429] ; [22.28571429 79.71428571],1
s7,1,0.002718,8.98774,[10  7] ; [22 73],[ 4.85714286 12.14285714] ; [27.14285714 67.85714286],0
s6,1,0.00778,7.083333,[12  5] ; [37 65],[ 7. 10.] ; [42. 60.],0
p12,1,0.009026,6.817672,[ 2 15] ; [  1 100],[ 0.43220339 16.56779661] ; [ 2.56779661 98.43220339],0
d5,1,0.012057,6.3024,[16  1] ; [64 37],[11.52542373  5.47457627] ; [68.47457627 32.52542373],0
v1,1,0.018426,5.555161,[10  6] ; [32 68],[ 5.79310345 10.20689655] ; [36.20689655 63.79310345],0
s4,1,0.024127,5.08547,[ 5 12] ; [10 92],[ 2.14285714 14.85714286] ; [12.85714286 89.14285714],0
s2,1,0.033853,4.502134,[9 7] ; [30 72],[ 5.28813559 10.71186441] ; [33.71186441 68.28813559],0
a4,1,0.039416,4.242827,[ 2 15] ; [38 64],[ 5.71428571 11.28571429] ; [34.28571429 67.71428571],0
v2,1,0.060016,3.536936,[10  7] ; [33 62],[ 6.52678571 10.47321429] ; [36.47321429 58.52678571],0
p2,1,0.103615,2.648994,[13  4] ; [56 45],[9.94067797 7.05932203] ; [59.05932203 41.94067797],0
d2,1,0.106366,2.607398,[9 8] ; [33 68],[ 6.05084746 10.94915254] ; [35.94915254 65.05084746],0
d3,1,0.13005,2.291907,[13  4] ; [57 43],[10.17094017  6.82905983] ; [59.82905983 40.17094017],0
d1,1,0.191386,1.706919,[9 8] ; [37 65],[ 6.57142857 10.42857143] ; [39.42857143 62.57142857],0
d4,1,0.204802,1.607794,[14  3] ; [67 33],[11.76923077  5.23076923] ; [69.23076923 30.76923077],0
a8,1,0.261651,1.26,[ 3 13] ; [ 9 87],[ 1.71428571 14.28571429] ; [10.28571429 85.71428571],0
n3,1,0.319376,0.991499,[4 5] ; [25 15],[5.32653061 3.67346939] ; [23.67346939 16.32653061],0
a2,1,0.323482,0.974818,[ 1 16] ; [15 87],[ 2.28571429 14.71428571] ; [13.71428571 88.28571429],0
a3,1,0.34289,0.899597,[12  5] ; [59 42],[10.22881356  6.77118644] ; [60.77118644 40.22881356],0
s3,1,0.361081,0.83413,[9 7] ; [44 56],[7.31034483 8.68965517] ; [45.68965517 54.31034483],0
n2,1,0.365853,0.817701,[7 2] ; [26 16],[5.82352941 3.17647059] ; [27.17647059 14.82352941],0
n4,1,0.410304,0.677919,[10  7] ; [49 53],[8.42857143 8.57142857] ; [50.57142857 51.42857143],0
r2,1,0.428491,0.62691,[14  2] ; [79 21],[12.82758621  3.17241379] ; [80.17241379 19.82758621],0
b3,1,0.436958,0.604257,[4 7] ; [14 42],[2.95522388 8.04477612] ; [15.04477612 40.95522388],0
b2,1,0.436958,0.604257,[4 7] ; [14 42],[2.95522388 8.04477612] ; [15.04477612 40.95522388],0
r3,1,0.473214,0.514462,[14  3] ; [75 26],[12.8220339  4.1779661] ; [76.1779661 24.8220339],0
a7,1,0.48535,0.486818,[12  5] ; [63 39],[10.71428571  6.28571429] ; [64.28571429 37.71428571],0
p10,1,0.501015,0.452786,[10  7] ; [50 50],[8.71794872 8.28205128] ; [51.28205128 48.71794872],0
u3,1,0.531745,0.391056,[2 3] ; [23 19],[2.65957447 2.34042553] ; [22.34042553 19.65957447],0
r1,1,0.533135,0.388413,[12  5] ; [64 38],[10.85714286  6.14285714] ; [65.14285714 36.85714286],0
b4,1,0.544139,0.367923,[11  6] ; [58 44],[9.85714286 7.14285714] ; [59.14285714 42.85714286],0
p11,1,0.54817,0.360606,[8 9] ; [56 46],[9.14285714 7.85714286] ; [54.85714286 47.14285714],0
a1,1,0.589496,0.291131,[ 2 15] ; [ 8 94],[ 1.42857143 15.57142857] ; [ 8.57142857 93.42857143],0
p9,1,0.603293,0.270058,[11  6] ; [58 42],[10.02564103  6.97435897] ; [58.97435897 41.02564103],0
b5,1,0.649163,0.206957,[9 8] ; [60 42],[9.85714286 7.14285714] ; [59.14285714 42.85714286],0
a5,1,0.653081,0.202037,[8 9] ; [54 48],[8.85714286 8.14285714] ; [53.14285714 48.85714286],0
p6,1,0.70575,0.142559,[ 3 14] ; [14 85],[ 2.49137931 14.50862069] ; [14.50862069 84.49137931],0
p1,1,0.715893,0.132462,[ 1 16] ; [ 4 97],[ 0.72033898 16.27966102] ; [ 4.27966102 96.72033898],0
v3,1,0.725646,0.123147,[ 3 13] ; [22 75],[ 3.53982301 12.46017699] ; [21.46017699 75.53982301],0
p8,1,0.741951,0.108419,[ 4 12] ; [29 71],[ 4.55172414 11.44827586] ; [28.44827586 71.55172414],0
n1,1,0.763753,0.090334,[4 5] ; [16 25],[3.6 5.4] ; [16.4 24.6],0
b1,1,0.764633,0.089642,[9 8] ; [50 52],[8.42857143 8.57142857] ; [50.57142857 51.42857143],0
n5,1,0.793203,0.068725,[9 8] ; [50 51],[8.5 8.5] ; [50.5 50.5],0
a6,1,0.794314,0.067971,[11  6] ; [62 39],[10.51694915  6.48305085] ; [62.48305085 38.51694915],0
u1,1,0.8812,0.022335,[ 1 16] ; [ 7 95],[ 1.14285714 15.85714286] ; [ 6.85714286 95.14285714],0
u2,1,0.9029,0.014884,[3 2] ; [27 16],[3.125 1.875] ; [26.875 16.125],0
v4,1,0.949395,0.004028,[13  4] ; [75 24],[12.89655172  4.10344828] ; [75.10344828 23.89655172],0
p7,1,0.965974,0.00182,[ 7 10] ; [39 57],[ 6.92035398 10.07964602] ; [39.07964602 56.92035398],0
p4,1,0.980598,0.000591,[ 5 12] ; [30 71],[ 5.04237288 11.95762712] ; [29.95762712 71.04237288],0
r4,1,1.0,0.0,[10  7] ; [60 42],[10.  7.] ; [60. 42.],0
