Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.18721,[82  3] ; [11 11],[73.87850467 11.12149533] ; [19.12149533  2.87850467],1
r2,1,1.6e-05,18.609056,[82  3] ; [13  7],[76.9047619  8.0952381] ; [18.0952381  1.9047619],1
a3,1,3e-05,17.394751,[69 16] ; [ 8 14],[61.1682243 23.8317757] ; [15.8317757  6.1682243],1
r3,1,5.5e-05,16.280722,[81  3] ; [15  7],[76.0754717  7.9245283] ; [19.9245283  2.0754717],1
a5,1,0.004327,8.141094,[68 17] ; [11 11],[62.75700935 22.24299065] ; [16.24299065  5.75700935],0
d4,1,0.00601,7.547359,[70 15] ; [12 10],[65.14018692 19.85981308] ; [16.85981308  5.14018692],0
p4,1,0.006687,7.355192,[61 24] ; [ 9 13],[55.60747664 29.39252336] ; [14.39252336  7.60747664],0
d1,1,0.008592,6.90563,[57 28] ; [ 8 14],[51.63551402 33.36448598] ; [13.36448598  8.63551402],0
d3,1,0.010079,6.620812,[66 19] ; [11 11],[61.1682243 23.8317757] ; [15.8317757  6.1682243],0
a6,1,0.013295,6.129472,[59 26] ; [ 9 13],[54.01869159 30.98130841] ; [13.98130841  8.01869159],0
a2,1,0.019261,5.477669,[24 61] ; [ 1 21],[19.85981308 65.14018692] ; [ 5.14018692 16.85981308],0
p3,1,0.021417,5.292555,[54 31] ; [ 8 14],[49.25233645 35.74766355] ; [12.74766355  9.25233645],0
u1,1,0.024048,5.091163,[23 62] ; [ 1 21],[19.06542056 65.93457944] ; [ 4.93457944 17.06542056],0
p6,1,0.043136,4.090078,[41 44] ; [ 5 16],[36.88679245 48.11320755] ; [ 9.11320755 11.88679245],0
s6,1,0.074345,3.18439,[71 11] ; [14  6],[68.33333333 13.66666667] ; [16.66666667  3.33333333],0
a4,1,0.077263,3.12155,[45 40] ; [ 7 15],[41.30841121 43.69158879] ; [10.69158879 11.30841121],0
v1,1,0.11333,2.507164,[47 38] ; [ 8 14],[43.69158879 41.30841121] ; [11.30841121 10.69158879],0
p10,1,0.141509,2.161473,[73 12] ; [16  6],[70.70093458 14.29906542] ; [18.29906542  3.70093458],0
d5,1,0.142683,2.148782,[70 15] ; [15  7],[67.52336449 17.47663551] ; [17.47663551  4.52336449],0
v3,1,0.158821,1.98542,[28 55] ; [ 4 18],[25.2952381 57.7047619] ; [ 6.7047619 15.2952381],0
p9,1,0.186823,1.742492,[75 10] ; [17  5],[73.08411215 11.91588785] ; [18.91588785  3.08411215],0
n2,1,0.189717,1.71981,[9 5] ; [8 1],[10.34782609  3.65217391] ; [6.65217391 2.34782609],0
s8,1,0.19227,1.700135,[48 37] ; [ 9 13],[45.28037383 39.71962617] ; [11.71962617 10.28037383],0
s1,1,0.22452,1.475246,[ 5 79] ; [ 3 19],[ 6.33962264 77.66037736] ; [ 1.66037736 20.33962264],0
s3,1,0.247344,1.338246,[63 20] ; [14  8],[60.86666667 22.13333333] ; [16.13333333  5.86666667],0
p5,1,0.266013,1.237191,[11 74] ; [ 1 21],[ 9.53271028 75.46728972] ; [ 2.46728972 19.53271028],0
v4,1,0.277007,1.181715,[81  3] ; [20  2],[80.03773585  3.96226415] ; [20.96226415  1.03773585],0
p11,1,0.293098,1.105336,[67 18] ; [15  7],[65.14018692 19.85981308] ; [16.85981308  5.14018692],0
b4,1,0.305435,1.050313,[49 36] ; [10 12],[46.86915888 38.13084112] ; [12.13084112  9.86915888],0
n5,1,0.327844,0.957394,[70 15] ; [20  2],[71.4953271 13.5046729] ; [18.5046729  3.4953271],0
s7,1,0.328045,0.956598,[54 28] ; [12 10],[52.03846154 29.96153846] ; [13.96153846  8.03846154],0
p2,1,0.382123,0.763862,[69 16] ; [16  6],[67.52336449 17.47663551] ; [17.47663551  4.52336449],0
b5,1,0.397074,0.717168,[51 34] ; [11 11],[49.25233645 35.74766355] ; [12.74766355  9.25233645],0
n6,1,0.426316,0.63284,[75 10] ; [18  4],[73.87850467 11.12149533] ; [19.12149533  2.87850467],0
p8,1,0.43243,0.616288,[48 36] ; [10 11],[46.4 37.6] ; [11.6  9.4],0
p12,1,0.463585,0.537225,[ 8 77] ; [ 1 21],[ 7.14953271 77.85046729] ; [ 1.85046729 20.14953271],0
d2,1,0.468381,0.525792,[46 39] ; [10 12],[44.48598131 40.51401869] ; [11.51401869 10.48598131],0
s5,1,0.471699,0.517993,[42 36] ; [ 8 10],[40.625 37.375] ; [9.375 8.625],0
n1,1,0.492519,0.471018,[5 9] ; [2 7],[4.26086957 9.73913043] ; [2.73913043 6.26086957],0
n3,1,0.524052,0.405911,[11  3] ; [8 1],[11.56521739  2.43478261] ; [7.43478261 1.56521739],0
p1,1,0.557549,0.343966,[ 7 78] ; [ 1 21],[ 6.35514019 78.64485981] ; [ 1.64485981 20.35514019],0
v2,1,0.625193,0.238636,[41 43] ; [ 9 12],[40. 44.] ; [10. 11.],0
a8,1,0.641927,0.216231,[ 6 72] ; [ 1 20],[ 5.51515152 72.48484848] ; [ 1.48484848 19.51515152],0
s2,1,0.72895,0.120078,[59 23] ; [15  7],[58.34615385 23.65384615] ; [15.65384615  6.34615385],0
p7,1,0.73203,0.117256,[56 29] ; [13  8],[55.33018868 29.66981132] ; [13.66981132  7.33018868],0
u2,1,0.732105,0.117188,[7 9] ; [7 7],[7.46666667 8.53333333] ; [6.53333333 7.46666667],0
a1,1,0.822826,0.050136,[ 3 82] ; [ 1 21],[ 3.17757009 81.82242991] ; [ 0.82242991 21.17757009],0
a7,1,0.925562,0.008729,[55 30] ; [14  8],[54.81308411 30.18691589] ; [14.18691589  7.81308411],0
b1,1,0.938212,0.006009,[34 51] ; [ 9 13],[34.1588785 50.8411215] ; [ 8.8411215 13.1588785],0
u3,1,0.960732,0.002424,[9 7] ; [8 6],[9.06666667 6.93333333] ; [7.93333333 6.06666667],0
b2,1,0.970656,0.001353,[ 9 37] ; [ 3 12],[ 9.04918033 36.95081967] ; [ 2.95081967 12.04918033],0
b3,1,0.970656,0.001353,[ 9 37] ; [ 3 12],[ 9.04918033 36.95081967] ; [ 2.95081967 12.04918033],0
