Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.8e-05,18.418968,[10  3] ; [ 5 32],[3.9 9.1] ; [11.1 25.9],1
s6,1,0.000135,14.57034,[11  2] ; [ 9 28],[5.2 7.8] ; [14.8 22.2],1
s8,1,0.00023,13.571871,[8 5] ; [ 4 33],[3.12 9.88] ; [ 8.88 28.12],1
s5,1,0.000366,12.6992,[9 5] ; [ 5 31],[ 3.92 10.08] ; [10.08 25.92],1
r1,1,0.001673,9.877813,[11  3] ; [11 26],[6.03921569 7.96078431] ; [15.96078431 21.03921569],0
s2,1,0.001833,9.709304,[9 5] ; [ 7 30],[4.39215686 9.60784314] ; [11.60784314 25.39215686],0
p9,1,0.003465,8.545055,[11  2] ; [13 22],[6.5 6.5] ; [17.5 17.5],0
p11,1,0.007699,7.102229,[9 5] ; [ 9 28],[4.94117647 9.05882353] ; [13.05882353 23.94117647],0
p2,1,0.008558,6.912842,[10  4] ; [11 25],[5.88 8.12] ; [15.12 20.88],0
p6,1,0.011743,6.349206,[6 8] ; [ 4 32],[ 2.8 11.2] ; [ 7.2 28.8],0
p10,1,0.014827,5.93692,[10  4] ; [12 24],[6.16 7.84] ; [15.84 20.16],0
v2,1,0.016857,5.711206,[6 7] ; [ 5 31],[ 2.91836735 10.08163265] ; [ 8.08163265 27.91836735],0
p4,1,0.017466,5.648926,[8 6] ; [ 8 28],[4.48 9.52] ; [11.52 24.48],0
p3,1,0.031218,4.640947,[8 6] ; [ 9 27],[4.76 9.24] ; [12.24 23.76],0
n2,1,0.040078,4.214583,[7 1] ; [ 9 11],[4.57142857 3.42857143] ; [11.42857143  8.57142857],0
v1,1,0.047155,3.939865,[7 7] ; [ 8 29],[4.11764706 9.88235294] ; [10.88235294 26.11764706],0
s7,1,0.069987,3.283314,[6 7] ; [ 7 28],[3.52083333 9.47916667] ; [ 9.47916667 25.52083333],0
a7,1,0.090277,2.86943,[9 5] ; [14 23],[6.31372549 7.68627451] ; [16.68627451 20.31372549],0
s3,1,0.098025,2.737379,[7 5] ; [11 24],[4.59574468 7.40425532] ; [13.40425532 21.59574468],0
p12,1,0.116675,2.46139,[ 2 12] ; [ 1 36],[ 0.82352941 13.17647059] ; [ 2.17647059 34.82352941],0
a4,1,0.128955,2.305043,[ 3 10] ; [17 19],[5.30612245 7.69387755] ; [14.69387755 21.30612245],0
b4,1,0.150445,2.06773,[11  3] ; [21 16],[8.78431373 5.21568627] ; [23.21568627 13.78431373],0
n3,1,0.152057,2.051491,[5 2] ; [ 8 12],[3.37037037 3.62962963] ; [ 9.62962963 10.37037037],0
v3,1,0.155827,2.014261,[5 8] ; [ 7 30],[3.12 9.88] ; [ 8.88 28.12],0
a3,1,0.17532,1.836857,[10  3] ; [20 16],[7.95918367 5.04081633] ; [22.04081633 13.95918367],0
p7,1,0.18055,1.793094,[6 8] ; [ 8 26],[4.08333333 9.91666667] ; [ 9.91666667 24.08333333],0
a5,1,0.202463,1.624517,[11  3] ; [22 15],[9.05882353 4.94117647] ; [23.94117647 13.05882353],0
a1,1,0.226118,1.465113,[ 1 13] ; [ 8 29],[ 2.47058824 11.52941176] ; [ 6.52941176 30.47058824],0
n1,1,0.227195,1.458333,[6 2] ; [10 10],[4.57142857 3.42857143] ; [11.42857143  8.57142857],0
u3,1,0.24122,1.373452,[1 3] ; [ 1 16],[0.38095238 3.61904762] ; [ 1.61904762 15.38095238],0
b5,1,0.242325,1.367018,[9 5] ; [17 20],[7.1372549 6.8627451] ; [18.8627451 18.1372549],0
b3,1,0.311564,1.024033,[3 8] ; [13 16],[4.4 6.6] ; [11.6 17.4],0
b2,1,0.311564,1.024033,[3 8] ; [13 16],[4.4 6.6] ; [11.6 17.4],0
d2,1,0.324198,0.971935,[6 8] ; [21 15],[7.56 6.44] ; [19.44 16.56],0
p5,1,0.34515,0.891209,[ 3 11] ; [ 4 32],[ 1.96 12.04] ; [ 5.04 30.96],0
d5,1,0.430947,0.62027,[7 7] ; [23 14],[8.23529412 5.76470588] ; [21.76470588 15.23529412],0
u2,1,0.431923,0.617647,[2 2] ; [ 5 12],[1.33333333 2.66666667] ; [ 5.66666667 11.33333333],0
s1,1,0.507924,0.438341,[ 2 12] ; [ 3 34],[ 1.37254902 12.62745098] ; [ 3.62745098 33.37254902],0
a2,1,0.528589,0.397104,[ 1 13] ; [ 5 32],[ 1.64705882 12.35294118] ; [ 4.35294118 32.64705882],0
s4,1,0.555955,0.346756,[ 2 12] ; [ 8 29],[ 2.74509804 11.25490196] ; [ 7.25490196 29.74509804],0
d4,1,0.588148,0.293246,[8 6] ; [18 19],[7.1372549 6.8627451] ; [18.8627451 18.1372549],0
p1,1,0.663018,0.189879,[ 3 11] ; [ 6 31],[ 2.47058824 11.52941176] ; [ 6.52941176 30.47058824],0
u1,1,0.813951,0.055381,[ 1 13] ; [ 2 35],[ 0.82352941 13.17647059] ; [ 2.17647059 34.82352941],0
d3,1,0.843176,0.039138,[6 8] ; [17 20],[6.31372549 7.68627451] ; [16.68627451 20.31372549],0
a6,1,0.843176,0.039138,[8 6] ; [20 17],[7.68627451 6.31372549] ; [20.31372549 16.68627451],0
d1,1,0.980179,0.000617,[6 8] ; [16 21],[6.03921569 7.96078431] ; [15.96078431 21.03921569],0
b1,1,0.980179,0.000617,[8 6] ; [21 16],[7.96078431 6.03921569] ; [21.03921569 15.96078431],0
