Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.030383,4.6875,[19 21] ; [1 9],[16. 24.] ; [4. 6.],0
n4,1,0.031369,4.632675,[33  7] ; [5 5],[30.4  9.6] ; [7.6 2.4],0
n5,1,0.033822,4.503676,[30 10] ; [4 6],[27.2 12.8] ; [6.8 3.2],0
s7,1,0.038728,4.272747,[29 10] ; [4 6],[26.26530612 12.73469388] ; [6.73469388 3.26530612],0
a3,1,0.0771,3.125,[28 12] ; [4 6],[25.6 14.4] ; [6.4 3.6],0
p1,1,0.117851,2.445652,[ 2 38] ; [2 8],[ 3.2 36.8] ; [0.8 9.2],0
v3,1,0.131766,2.271571,[19 19] ; [2 7],[16.9787234 21.0212766] ; [4.0212766 4.9787234],0
d2,1,0.148915,2.083333,[26 14] ; [4 6],[24. 16.] ; [6. 4.],0
d1,1,0.148915,2.083333,[26 14] ; [4 6],[24. 16.] ; [6. 4.],0
a5,1,0.172485,1.861213,[29 11] ; [5 5],[27.2 12.8] ; [6.8 3.2],0
b2,1,0.217657,1.51975,[10 21] ; [4 3],[11.42105263 19.57894737] ; [2.57894737 4.42105263],0
b3,1,0.217657,1.51975,[10 21] ; [4 3],[11.42105263 19.57894737] ; [2.57894737 4.42105263],0
p8,1,0.256372,1.288245,[20 20] ; [3 7],[18.4 21.6] ; [4.6 5.4],0
s4,1,0.269456,1.219512,[ 6 34] ; [3 7],[ 7.2 32.8] ; [1.8 8.2],0
u1,1,0.305749,1.048951,[10 30] ; [1 9],[ 8.8 31.2] ; [2.2 7.8],0
p3,1,0.320645,0.986312,[17 23] ; [6 4],[18.4 21.6] ; [4.6 5.4],0
p2,1,0.344704,0.892857,[30 10] ; [6 4],[28.8 11.2] ; [7.2 2.8],0
p4,1,0.470486,0.520833,[25 15] ; [5 5],[24. 16.] ; [6. 4.],0
v2,1,0.476798,0.506178,[23 17] ; [4 5],[22.04081633 17.95918367] ; [4.95918367 4.04081633],0
u2,1,0.536268,0.3825,[9 3] ; [3 2],[8.47058824 3.52941176] ; [3.52941176 1.47058824],0
p11,1,0.560084,0.339559,[24 16] ; [7 3],[24.8 15.2] ; [6.2 3.8],0
b1,1,0.5713,0.320513,[20 20] ; [6 4],[20.8 19.2] ; [5.2 4.8],0
d3,1,0.65429,0.200535,[27 13] ; [6 4],[26.4 13.6] ; [6.6 3.4],0
a6,1,0.658531,0.195312,[25 15] ; [7 3],[25.6 14.4] ; [6.4 3.6],0
b5,1,0.658531,0.195312,[25 15] ; [7 3],[25.6 14.4] ; [6.4 3.6],0
p9,1,0.669123,0.18263,[23 17] ; [5 5],[22.4 17.6] ; [5.6 4.4],0
s2,1,0.692747,0.156127,[26 13] ; [6 4],[25.46938776 13.53061224] ; [6.53061224 3.46938776],0
s6,1,0.740544,0.109649,[30 10] ; [8 2],[30.4  9.6] ; [7.6 2.4],0
a7,1,0.765291,0.089127,[26 14] ; [7 3],[26.4 13.6] ; [6.6 3.4],0
b4,1,0.768278,0.086806,[26 14] ; [6 4],[25.6 14.4] ; [6.4 3.6],0
p7,1,0.837848,0.04188,[17 22] ; [4 6],[16.71428571 22.28571429] ; [4.28571429 5.71428571],0
s3,1,0.841061,0.040215,[26 13] ; [7 3],[26.26530612 12.73469388] ; [6.73469388 3.26530612],0
d5,1,0.853972,0.033875,[33  7] ; [8 2],[32.8  7.2] ; [8.2 1.8],0
d4,1,0.853972,0.033875,[33  7] ; [8 2],[32.8  7.2] ; [8.2 1.8],0
a8,1,0.897014,0.016753,[ 8 27] ; [2 6],[ 8.13953488 26.86046512] ; [1.86046512 6.13953488],0
s5,1,0.906415,0.013821,[10 27] ; [2 6],[ 9.86666667 27.13333333] ; [2.13333333 5.86666667],0
v1,1,0.942321,0.005235,[19 20] ; [5 5],[19.10204082 19.89795918] ; [4.89795918 5.10204082],0
p6,1,0.953054,0.003466,[16 23] ; [4 6],[15.91836735 23.08163265] ; [4.08163265 5.91836735],0
r1,1,1.0,0.0,[32  8] ; [8 2],[32.  8.] ; [8. 2.],0
