Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000197,13.859788,[41 15] ; [176 202],[28. 28.] ; [189. 189.],1
s3,1,0.005685,7.647466,[32 25] ; [140 239],[22.48623853 34.51376147] ; [149.51376147 229.48623853],0
s2,1,0.007878,7.060999,[25 31] ; [104 277],[16.53089245 39.46910755] ; [112.46910755 268.53089245],0
b1,1,0.039787,4.226956,[14 45] ; [144 240],[21.04288939 37.95711061] ; [136.95711061 247.04288939],0
b3,1,0.049104,3.871802,[ 4 23] ; [ 69 137],[ 8.45922747 18.54077253] ; [ 64.54077253 141.45922747],0
b2,1,0.049104,3.871802,[ 4 23] ; [ 69 137],[ 8.45922747 18.54077253] ; [ 64.54077253 141.45922747],0
a8,1,0.052094,3.772742,[ 2 53] ; [ 45 313],[ 6.2590799 48.7409201] ; [ 40.7409201 317.2590799],0
n4,1,0.068468,3.319381,[33 26] ; [261 123],[39.15575621 19.84424379] ; [254.84424379 129.15575621],0
s5,1,0.093812,2.807717,[16 37] ; [ 75 298],[11.32159624 41.67840376] ; [ 79.67840376 293.32159624],0
p10,1,0.09643,2.76361,[49 10] ; [274 102],[43.8091954 15.1908046] ; [279.1908046  96.8091954],0
v3,1,0.107775,2.586547,[12 44] ; [118 250],[17.16981132 38.83018868] ; [112.83018868 255.16981132],0
u2,1,0.1138,2.500643,[10 18] ; [79 73],[13.84444444 14.15555556] ; [75.15555556 76.84444444],0
d2,1,0.128546,2.309979,[19 40] ; [163 219],[24.34920635 34.65079365] ; [157.65079365 224.34920635],0
n6,1,0.133354,2.253018,[50  8] ; [297  86],[45.63718821 12.36281179] ; [301.36281179  81.63718821],0
p11,1,0.152605,2.046013,[42 17] ; [305  79],[46.21444695 12.78555305] ; [300.78555305  83.21444695],0
p2,1,0.162937,1.946754,[43 16] ; [306  73],[47.01141553 11.98858447] ; [301.98858447  77.01141553],0
p8,1,0.162956,1.946579,[22 36] ; [180 197],[26.93333333 31.06666667] ; [175.06666667 201.93333333],0
d5,1,0.191669,1.704742,[41 17] ; [301  83],[44.87782805 13.12217195] ; [297.12217195  86.87782805],0
d1,1,0.194843,1.680613,[26 33] ; [204 180],[30.63205418 28.36794582] ; [199.36794582 184.63205418],0
a4,1,0.202294,1.625733,[18 41] ; [150 233],[22.42533937 36.57466063] ; [145.57466063 237.42533937],0
s8,1,0.254509,1.298384,[15 44] ; [ 73 310],[11.74660633 47.25339367] ; [ 76.25339367 306.74660633],0
b4,1,0.258004,1.279433,[39 20] ; [224 160],[35.02708804 23.97291196] ; [227.97291196 156.02708804],0
a3,1,0.292287,1.109059,[31 28] ; [229 154],[34.70588235 24.29411765] ; [225.29411765 157.70588235],0
