Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.9e-05,17.488564,[25 23] ; [ 4 36],[15.81818182 32.18181818] ; [13.18181818 26.81818182],1
r3,1,0.012248,6.274583,[47  1] ; [33  7],[43.63636364  4.36363636] ; [36.36363636  3.63636364],0
s3,1,0.017273,5.668432,[ 4 44] ; [11 29],[ 8.18181818 39.81818182] ; [ 6.81818182 33.18181818],0
p5,1,0.02592,4.961351,[16 33] ; [ 5 35],[11.56179775 37.43820225] ; [ 9.43820225 30.56179775],0
p3,1,0.054784,3.688633,[32 17] ; [18 22],[27.52808989 21.47191011] ; [22.47191011 17.52808989],0
d5,1,0.068583,3.316614,[43  6] ; [29 11],[39.64044944  9.35955056] ; [32.35955056  7.64044944],0
p4,1,0.077452,3.117569,[33 16] ; [19 20],[28.95454545 20.04545455] ; [23.04545455 15.95454545],0
v1,1,0.117869,2.445405,[24 24] ; [13 26],[20.4137931 27.5862069] ; [16.5862069 22.4137931],0
u1,1,0.118615,2.435514,[11 38] ; [ 4 36],[ 8.25842697 40.74157303] ; [ 6.74157303 33.25842697],0
a2,1,0.118615,2.435514,[11 38] ; [ 4 36],[ 8.25842697 40.74157303] ; [ 6.74157303 33.25842697],0
a5,1,0.124186,2.36372,[40  9] ; [27 13],[36.88764045 12.11235955] ; [30.11235955  9.88764045],0
a3,1,0.158007,1.9932,[37 12] ; [24 15],[33.96590909 15.03409091] ; [27.03409091 11.96590909],0
v4,1,0.177384,1.819409,[45  3] ; [34  6],[43.09090909  4.90909091] ; [35.90909091  4.09090909],0
p9,1,0.178512,1.809968,[41  8] ; [28 11],[38.42045455 10.57954545] ; [30.57954545  8.42045455],0
p10,1,0.180133,1.796529,[42  7] ; [29 10],[39.53409091  9.46590909] ; [31.46590909  7.53409091],0
r4,1,0.183092,1.772347,[45  4] ; [33  7],[42.94382022  6.05617978] ; [35.05617978  4.94382022],0
p7,1,0.184146,1.763839,[37 12] ; [25 15],[34.13483146 14.86516854] ; [27.86516854 12.13483146],0
r1,1,0.193041,1.694258,[44  5] ; [32  8],[41.84269663  7.15730337] ; [34.15730337  5.84269663],0
p11,1,0.19855,1.65301,[40  9] ; [28 12],[37.43820225 11.56179775] ; [30.56179775  9.43820225],0
a7,1,0.250986,1.317806,[31 17] ; [21 19],[28.36363636 19.63636364] ; [23.63636364 16.36363636],0
a6,1,0.305338,1.050736,[31 18] ; [21 19],[28.62921348 20.37078652] ; [23.37078652 16.62921348],0
d3,1,0.322116,0.980336,[32 17] ; [22 18],[29.73033708 19.26966292] ; [24.26966292 15.73033708],0
p2,1,0.373863,0.790785,[38 11] ; [34  6],[39.64044944  9.35955056] ; [32.35955056  7.64044944],0
n5,1,0.402938,0.699541,[37 12] ; [27 13],[35.23595506 13.76404494] ; [28.76404494 11.23595506],0
n4,1,0.418253,0.655218,[38 11] ; [28 12],[36.33707865 12.66292135] ; [29.66292135 10.33707865],0
u3,1,0.445009,0.583333,[7 5] ; [7 9],[6. 6.] ; [8. 8.],0
p12,1,0.483829,0.49022,[ 6 43] ; [ 3 36],[ 5.01136364 43.98863636] ; [ 3.98863636 35.01136364],0
p1,1,0.485006,0.487586,[ 6 43] ; [ 7 33],[ 7.15730337 41.84269663] ; [ 5.84269663 34.15730337],0
a8,1,0.490756,0.474868,[ 6 39] ; [ 7 30],[ 7.13414634 37.86585366] ; [ 5.86585366 31.13414634],0
a4,1,0.511645,0.430702,[23 26] ; [16 24],[21.47191011 27.52808989] ; [17.52808989 22.47191011],0
r2,1,0.520671,0.412564,[44  4] ; [35  5],[43.09090909  4.90909091] ; [35.90909091  4.09090909],0
d1,1,0.553392,0.351276,[30 19] ; [22 18],[28.62921348 20.37078652] ; [23.37078652 16.62921348],0
a1,1,0.55383,0.3505,[ 4 45] ; [ 2 38],[ 3.30337079 45.69662921] ; [ 2.69662921 37.30337079],0
b5,1,0.579662,0.306781,[18 31] ; [17 23],[19.26966292 29.73033708] ; [15.73033708 24.26966292],0
u2,1,0.581206,0.304289,[6 5] ; [7 9],[5.2962963 5.7037037] ; [7.7037037 8.2962963],0
d4,1,0.641346,0.216986,[39  9] ; [34  6],[39.81818182  8.18181818] ; [33.18181818  6.81818182],0
s7,1,0.642579,0.215385,[16 29] ; [12 27],[15. 30.] ; [13. 26.],0
n1,1,0.669815,0.181818,[5 6] ; [6 5],[5.5 5.5] ; [5.5 5.5],0
n6,1,0.678656,0.171643,[42  7] ; [33  7],[41.29213483  7.70786517] ; [33.70786517  6.29213483],0
b1,1,0.691426,0.157546,[20 29] ; [18 22],[20.92134831 28.07865169] ; [17.07865169 22.92134831],0
p8,1,0.7212,0.127346,[27 22] ; [20 19],[26.17045455 22.82954545] ; [20.82954545 18.17045455],0
s6,1,0.826157,0.048239,[32 17] ; [25 12],[32.47674419 16.52325581] ; [24.52325581 12.47674419],0
n2,1,0.878854,0.023232,[7 4] ; [8 4],[7.17391304 3.82608696] ; [7.82608696 4.17391304],0
n3,1,0.890106,0.019091,[7 3] ; [8 3],[7.14285714 2.85714286] ; [7.85714286 3.14285714],0
p6,1,0.893596,0.01789,[17 32] ; [13 26],[16.70454545 32.29545455] ; [13.29545455 25.70454545],0
b4,1,0.901954,0.015177,[30 19] ; [25 15],[30.28089888 18.71910112] ; [24.71910112 15.28089888],0
d2,1,0.906166,0.013895,[27 21] ; [23 17],[27.27272727 20.72727273] ; [22.72727273 17.27272727],0
s4,1,0.917554,0.010715,[ 8 40] ; [ 7 33],[ 8.18181818 39.81818182] ; [ 6.81818182 33.18181818],0
b2,1,0.927034,0.008386,[15 19] ; [ 9 12],[14.83636364 19.16363636] ; [ 9.16363636 11.83636364],0
b3,1,0.927034,0.008386,[15 19] ; [ 9 12],[14.83636364 19.16363636] ; [ 9.16363636 11.83636364],0
s8,1,0.94623,0.004548,[16 33] ; [13 26],[16.14772727 32.85227273] ; [12.85227273 26.14772727],0
