Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3e-06,22.022217,[85 93] ; [55 13],[101.30081301  76.69918699] ; [38.69918699 29.30081301],1
p4,1,5e-06,20.701585,[ 71 108] ; [49 19],[86.96356275 92.03643725] ; [33.03643725 34.96356275],1
p2,1,0.000102,15.096596,[131  48] ; [65  3],[142.04048583  36.95951417] ; [53.95951417 14.04048583],1
p3,1,0.000115,14.877151,[ 62 117] ; [42 26],[ 75.36842105 103.63157895] ; [28.63157895 39.36842105],1
s7,1,0.000172,14.112589,[ 31 141] ; [27 38],[ 42.092827 129.907173] ; [15.907173 49.092827],1
p8,1,0.002082,9.475458,[ 74 105] ; [43 25],[84.78947368 94.21052632] ; [32.21052632 35.78947368],0
b3,1,0.010842,6.491049,[39 68] ; [27 19],[46.15686275 60.84313725] ; [19.84313725 26.15686275],0
b2,1,0.010842,6.491049,[39 68] ; [27 19],[46.15686275 60.84313725] ; [19.84313725 26.15686275],0
s8,1,0.0131,6.155516,[ 32 148] ; [22 46],[ 39.19354839 140.80645161] ; [14.80645161 53.19354839],0
u1,1,0.017922,5.603735,[ 17 163] ; [14 54],[ 22.5 157.5] ; [ 8.5 59.5],0
v1,1,0.025304,5.002941,[ 70 105] ; [38 30],[77.77777778 97.22222222] ; [30.22222222 37.77777778],0
a7,1,0.02578,4.970714,[115  64] ; [53 14],[122.24390244  56.75609756] ; [45.75609756 21.24390244],0
a3,1,0.037771,4.315327,[111  68] ; [51 16],[117.87804878  61.12195122] ; [44.12195122 22.87804878],0
v3,1,0.064685,3.413001,[ 54 119] ; [29 37],[ 60.07949791 112.92050209] ; [22.92050209 43.07949791],0
n4,1,0.071089,3.257687,[128  52] ; [56 12],[133.5483871  46.4516129] ; [50.4516129 17.5483871],0
p12,1,0.075168,3.166399,[  3 176] ; [ 4 64],[  5.07287449 173.92712551] ; [ 1.92712551 66.07287449],0
r4,1,0.075903,3.150515,[141  39] ; [60  8],[145.88709677  34.11290323] ; [55.11290323 12.88709677],0
r2,1,0.101283,2.685223,[156  20] ; [64  3],[159.34156379  16.65843621] ; [60.65843621  6.34156379],0
