Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.002437,9.1875,[37 13] ; [17 23],[30. 20.] ; [24. 16.],0
s6,1,0.006109,7.517934,[35 16] ; [15 23],[28.65168539 22.34831461] ; [21.34831461 16.65168539],0
b3,1,0.013688,6.077894,[18 13] ; [ 7 20],[13.36206897 17.63793103] ; [11.63793103 15.36206897],0
b2,1,0.013688,6.077894,[18 13] ; [ 7 20],[13.36206897 17.63793103] ; [11.63793103 15.36206897],0
p2,1,0.032578,4.567843,[41 10] ; [24 16],[36.42857143 14.57142857] ; [28.57142857 11.42857143],0
s8,1,0.073323,3.207014,[28 23] ; [14 25],[23.8 27.2] ; [18.2 20.8],0
s7,1,0.090588,2.863886,[27 22] ; [14 24],[23.09195402 25.90804598] ; [17.90804598 20.09195402],0
u1,1,0.095697,2.775824,[ 5 46] ; [ 9 31],[ 7.84615385 43.15384615] ; [ 6.15384615 33.84615385],0
p8,1,0.135934,2.223393,[19 31] ; [21 18],[22.47191011 27.52808989] ; [17.52808989 21.47191011],0
a6,1,0.153304,2.039062,[29 21] ; [29 11],[32.22222222 17.77777778] ; [25.77777778 14.22222222],0
u2,1,0.159599,1.978022,[5 5] ; [2 8],[3.5 6.5] ; [3.5 6.5],0
v3,1,0.183376,1.770053,[25 25] ; [14 25],[21.91011236 28.08988764] ; [17.08988764 21.91011236],0
s5,1,0.204364,1.610911,[19 31] ; [ 9 27],[16.27906977 33.72093023] ; [11.72093023 24.27906977],0
n5,1,0.218324,1.515356,[35 15] ; [23 17],[32.22222222 17.77777778] ; [25.77777778 14.22222222],0
n1,1,0.229142,1.446181,[5 3] ; [3 6],[3.76470588 4.23529412] ; [4.23529412 4.76470588],0
v4,1,0.246175,1.344883,[49  2] ; [36  4],[47.63736264  3.36263736] ; [37.36263736  2.63736264],0
a4,1,0.24697,1.340362,[24 27] ; [14 26],[21.2967033 29.7032967] ; [16.7032967 23.2967033],0
p6,1,0.315176,1.008862,[10 37] ; [12 27],[12.02325581 34.97674419] ; [ 9.97674419 29.02325581],0
p11,1,0.324291,0.971563,[38 13] ; [26 14],[35.86813187 15.13186813] ; [28.13186813 11.86813187],0
r1,1,0.341344,0.905377,[39 12] ; [27 13],[36.98901099 14.01098901] ; [29.01098901 10.98901099],0
s3,1,0.374572,0.788439,[29 22] ; [19 21],[26.9010989 24.0989011] ; [21.0989011 18.9010989],0
r3,1,0.460158,0.545509,[47  4] ; [35  5],[45.95604396  5.04395604] ; [36.04395604  3.95604396],0
b5,1,0.483125,0.491801,[33 18] ; [23 17],[31.38461538 19.61538462] ; [24.61538462 15.38461538],0
d5,1,0.511871,0.430239,[40 11] ; [29 11],[38.67032967 12.32967033] ; [30.32967033  9.67032967],0
b4,1,0.514533,0.424837,[29 22] ; [20 20],[27.46153846 23.53846154] ; [21.53846154 18.46153846],0
b1,1,0.606357,0.265514,[24 27] ; [21 19],[25.21978022 25.78021978] ; [19.78021978 20.21978022],0
p7,1,0.632397,0.228825,[38 13] ; [28 12],[36.98901099 14.01098901] ; [29.01098901 10.98901099],0
d2,1,0.636787,0.222968,[21 30] ; [18 21],[22.1 28.9] ; [16.9 22.1],0
s4,1,0.66638,0.185866,[ 8 43] ; [ 5 35],[ 7.28571429 43.71428571] ; [ 5.71428571 34.28571429],0
a2,1,0.686546,0.16285,[12 39] ; [ 8 32],[11.20879121 39.79120879] ; [ 8.79120879 31.20879121],0
p9,1,0.688129,0.161118,[39 11] ; [29 10],[38.20224719 11.79775281] ; [29.79775281  9.20224719],0
a8,1,0.691066,0.157934,[ 6 40] ; [ 4 35],[ 5.41176471 40.58823529] ; [ 4.58823529 34.41176471],0
u3,1,0.695895,0.152778,[7 5] ; [5 5],[6.54545455 5.45454545] ; [5.45454545 4.54545455],0
n4,1,0.701039,0.147393,[37 13] ; [31  9],[37.77777778 12.22222222] ; [30.22222222  9.77777778],0
n6,1,0.705229,0.143089,[38 12] ; [29 11],[37.22222222 12.77777778] ; [29.77777778 10.22222222],0
p12,1,0.709585,0.138692,[ 2 48] ; [ 1 38],[ 1.68539326 48.31460674] ; [ 1.31460674 37.68539326],0
p10,1,0.717161,0.13123,[36 13] ; [28 12],[35.23595506 13.76404494] ; [28.76404494 11.23595506],0
d4,1,0.736184,0.113509,[41 10] ; [31  9],[40.35164835 10.64835165] ; [31.64835165  8.35164835],0
a3,1,0.738103,0.111801,[39 11] ; [30 10],[38.33333333 11.66666667] ; [30.66666667  9.33333333],0
s2,1,0.763262,0.090722,[22 29] ; [16 24],[21.2967033 29.7032967] ; [16.7032967 23.2967033],0
d1,1,0.780502,0.077654,[24 27] ; [20 20],[24.65934066 26.34065934] ; [19.34065934 20.65934066],0
a5,1,0.829029,0.046633,[38 13] ; [29 11],[37.54945055 13.45054945] ; [29.45054945 10.54945055],0
p5,1,0.854536,0.033611,[ 3 48] ; [ 2 38],[ 2.8021978 48.1978022] ; [ 2.1978022 37.8021978],0
a1,1,0.854536,0.033611,[ 3 48] ; [ 2 38],[ 2.8021978 48.1978022] ; [ 2.1978022 37.8021978],0
p1,1,0.863838,0.029409,[ 7 44] ; [ 5 35],[ 6.72527473 44.27472527] ; [ 5.27472527 34.72527473],0
r4,1,0.863838,0.029409,[44  7] ; [35  5],[44.27472527  6.72527473] ; [34.72527473  5.27472527],0
d3,1,0.885519,0.020729,[26 25] ; [21 19],[26.34065934 24.65934066] ; [20.65934066 19.34065934],0
n3,1,0.929308,0.00787,[7 1] ; [8 1],[7.05882353 0.94117647] ; [7.94117647 1.05882353],0
n2,1,0.929308,0.00787,[7 1] ; [8 1],[7.05882353 0.94117647] ; [7.94117647 1.05882353],0
a7,1,0.939464,0.005767,[31 20] ; [24 16],[30.82417582 20.17582418] ; [24.17582418 15.82417582],0
