Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,1.2e-05,19.191898,[220  44] ; [20 18],[209.8013245  54.1986755] ; [30.1986755  7.8013245],1
s1,1,1.6e-05,18.615586,[  3 261] ; [ 5 33],[  6.99337748 257.00662252] ; [ 1.00662252 36.99337748],1
p11,1,2.4e-05,17.827455,[215  51] ; [19 19],[204.75  61.25] ; [29.25  8.75],1
p10,1,0.000111,14.946335,[214  51] ; [20 18],[204.65346535  60.34653465] ; [29.34653465  8.65346535],1
v4,1,0.000122,14.761677,[253   9] ; [31  7],[248.02666667  13.97333333] ; [35.97333333  2.02666667],1
d3,1,0.000192,13.903443,[188  76] ; [15 22],[178.04651163  85.95348837] ; [24.95348837 12.04651163],1
n6,1,0.001007,10.813779,[223  41] ; [23 14],[215.76079734  48.23920266] ; [30.23920266  6.76079734],0
p4,1,0.001293,10.352884,[176  89] ; [15 23],[167.04620462  97.95379538] ; [23.95379538 14.04620462],0
v1,1,0.012671,6.214474,[131 128] ; [11 27],[123.83164983 135.16835017] ; [18.16835017 19.83164983],0
d5,1,0.017224,5.673383,[211  54] ; [23 14],[205.33112583  59.66887417] ; [28.66887417  8.33112583],0
r2,1,0.018391,5.558497,[243  19] ; [30  7],[239.2173913  22.7826087] ; [33.7826087  3.2173913],0
r3,1,0.02253,5.204403,[248  15] ; [32  6],[244.65116279  18.34883721] ; [35.34883721  2.65116279],0
r4,1,0.02584,4.966702,[237  29] ; [29  9],[232.75  33.25] ; [33.25  4.75],0
a2,1,0.027217,4.877005,[ 63 203] ; [ 3 35],[ 57.75 208.25] ; [ 8.25 29.75],0
r1,1,0.027976,4.829537,[209  55] ; [24 14],[203.68211921  60.31788079] ; [29.31788079  8.68211921],0
p8,1,0.063978,3.43113,[170  94] ; [18 19],[164.89036545  99.10963455] ; [23.10963455 13.89036545],0
n4,1,0.080954,3.04564,[197  69] ; [23 15],[192.5  73.5] ; [27.5 10.5],0
u1,1,0.084496,2.976224,[ 42 224] ; [ 2 36],[ 38.5 227.5] ; [ 5.5 32.5],0
b4,1,0.098017,2.737509,[150 116] ; [16 22],[145.25 120.75] ; [20.75 17.25],0
s6,1,0.103352,2.653046,[145 113] ; [16 22],[140.33108108 117.66891892] ; [20.66891892 17.33108108],0
p6,1,0.105994,2.612952,[112 150] ; [11 27],[107.42 154.58] ; [15.58 22.42],0
n5,1,0.133744,2.248497,[191  73] ; [23 15],[187.07284768  76.92715232] ; [26.92715232 11.07284768],0
s7,1,0.16068,1.96781,[ 78 175] ; [ 7 29],[ 74.41176471 178.58823529] ; [10.58823529 25.41176471],0
u2,1,0.162299,1.952677,[48 38] ; [5 9],[45.58 40.42] ; [7.42 6.58],0
d2,1,0.169573,1.886714,[118 148] ; [12 25],[114.12541254 151.87458746] ; [15.87458746 21.12541254],0
d4,1,0.174911,1.840345,[212  53] ; [26 11],[208.8410596  56.1589404] ; [29.1589404  7.8410596],0
a4,1,0.195159,1.678238,[113 152] ; [12 26],[109.32343234 155.67656766] ; [15.67656766 22.32343234],0
p1,1,0.217113,1.523349,[ 22 243] ; [ 1 37],[ 20.11551155 244.88448845] ; [ 2.88448845 35.11551155],0
s5,1,0.227405,1.457022,[ 74 187] ; [ 7 30],[ 70.94295302 190.05704698] ; [10.05704698 26.94295302],0
a6,1,0.276168,1.185854,[182  84] ; [22 15],[179.08910891  86.91089109] ; [24.91089109 12.08910891],0
n1,1,0.279642,1.16883,[15 41] ; [4 5],[16.36923077 39.63076923] ; [2.63076923 6.36923077],0
b1,1,0.330573,0.946651,[104 162] ; [18 20],[106.75 159.25] ; [15.25 22.75],0
n3,1,0.338491,0.916136,[46 11] ; [6 3],[44.90909091 12.09090909] ; [7.09090909 1.90909091],0
s4,1,0.369793,0.80436,[ 42 218] ; [ 4 34],[ 40.13422819 219.86577181] ; [ 5.86577181 32.13422819],0
s2,1,0.37384,0.790862,[ 92 173] ; [16 22],[ 94.45544554 170.54455446] ; [13.54455446 24.45544554],0
v3,1,0.399198,0.710741,[ 90 168] ; [10 26],[ 87.75510204 170.24489796] ; [12.24489796 23.75510204],0
d1,1,0.409988,0.678836,[138 128] ; [17 21],[135.625 130.375] ; [19.375 18.625],0
a3,1,0.426927,0.631168,[177  87] ; [23 15],[174.83443709  89.16556291] ; [25.16556291 12.83443709],0
a5,1,0.436209,0.606234,[178  88] ; [23 15],[175.875  90.125] ; [25.125 12.875],0
p12,1,0.437369,0.603175,[ 15 251] ; [ 1 37],[ 14. 252.] ; [ 2. 36.],0
a8,1,0.45605,0.555571,[ 28 208] ; [ 6 31],[ 29.39194139 206.60805861] ; [ 4.60805861 32.39194139],0
