Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,29.077971,[ 20 101] ; [18  9],[31.06756757 89.93243243] ; [ 6.93243243 20.06756757],1
s2,1,1e-06,23.309637,[34 93] ; [21  7],[45.06451613 81.93548387] ; [ 9.93548387 18.06451613],1
s6,1,5.8e-05,16.165543,[46 79] ; [22  6],[55.55555556 69.44444444] ; [12.44444444 15.55555556],1
s3,1,0.000444,12.339339,[44 81] ; [20  8],[52.2875817 72.7124183] ; [11.7124183 16.2875817],1
p10,1,0.001901,9.642464,[72 52] ; [25  3],[79.13157895 44.86842105] ; [17.86842105 10.13157895],0
p4,1,0.003704,8.423646,[40 87] ; [17 11],[46.70322581 80.29677419] ; [10.29677419 17.70322581],0
r3,1,0.00619,7.494167,[91 35] ; [27  1],[96.54545455 29.45454545] ; [21.45454545  6.54545455],0
p3,1,0.007692,7.103855,[35 92] ; [15 13],[40.96774194 86.03225806] ; [ 9.03225806 18.96774194],0
p7,1,0.012691,6.211674,[44 81] ; [17 11],[49.83660131 75.16339869] ; [11.16339869 16.83660131],0
p9,1,0.022577,5.200737,[82 39] ; [25  3],[86.89261745 34.10738255] ; [20.10738255  7.89261745],0
n1,1,0.02298,5.169986,[12 32] ; [6 3],[14.94339623 29.05660377] ; [3.05660377 5.94339623],0
r4,1,0.033542,4.517921,[58 69] ; [19  9],[63.09032258 63.90967742] ; [13.90967742 14.09032258],0
v4,1,0.034975,4.446403,[93 33] ; [25  2],[97.17647059 28.82352941] ; [20.82352941  6.17647059],0
p11,1,0.038079,4.301477,[73 54] ; [22  6],[77.83870968 49.16129032] ; [17.16129032 10.83870968],0
p2,1,0.14554,2.118386,[76 50] ; [21  7],[79.36363636 46.63636364] ; [17.63636364 10.36363636],0
a2,1,0.147713,2.095708,[ 11 116] ; [ 5 23],[ 13.10967742 113.89032258] ; [ 2.89032258 25.10967742],0
u3,1,0.155674,2.015751,[19 40] ; [6 5],[21.07142857 37.92857143] ; [3.92857143 7.07142857],0
n3,1,0.216474,1.527594,[26 18] ; [8 2],[27.7037037 16.2962963] ; [6.2962963 3.7037037],0
d1,1,0.24911,1.328288,[40 87] ; [12 16],[42.60645161 84.39354839] ; [ 9.39354839 18.60645161],0
u2,1,0.253205,1.305531,[21 37] ; [6 5],[22.69565217 35.30434783] ; [4.30434783 6.69565217],0
a8,1,0.302368,1.063721,[ 12 109] ; [ 1 26],[ 10.62837838 110.37162162] ; [ 2.37162162 24.62837838],0
v2,1,0.317575,0.998909,[36 90] ; [10 16],[38.13157895 87.86842105] ; [ 7.86842105 18.13157895],0
a1,1,0.361647,0.832166,[ 11 116] ; [ 1 27],[  9.83225806 117.16774194] ; [ 2.16774194 25.83225806],0
s4,1,0.403556,0.697703,[ 23 104] ; [ 7 21],[ 24.58064516 102.41935484] ; [ 5.41935484 22.58064516],0
v1,1,0.429641,0.623795,[42 81] ; [11 15],[43.75167785 79.24832215] ; [ 9.24832215 16.75167785],0
p5,1,0.434595,0.610512,[ 10 115] ; [ 1 26],[  9.04605263 115.95394737] ; [ 1.95394737 25.04605263],0
b2,1,0.455509,0.556908,[24 47] ; [ 5 15],[22.62637363 48.37362637] ; [ 6.37362637 13.62637363],0
b3,1,0.455509,0.556908,[24 47] ; [ 5 15],[22.62637363 48.37362637] ; [ 6.37362637 13.62637363],0
n2,1,0.460033,0.545813,[30 14] ; [8 2],[30.96296296 13.03703704] ; [7.03703704 2.96296296],0
a5,1,0.470231,0.521433,[63 64] ; [16 12],[64.72903226 62.27096774] ; [14.27096774 13.72903226],0
d3,1,0.470231,0.521433,[64 63] ; [12 16],[62.27096774 64.72903226] ; [13.72903226 14.27096774],0
s5,1,0.515921,0.422039,[ 21 103] ; [ 6 21],[ 22.17218543 101.82781457] ; [ 4.82781457 22.17218543],0
a3,1,0.516151,0.421578,[68 58] ; [17 11],[69.54545455 56.45454545] ; [15.45454545 12.54545455],0
b4,1,0.5189,0.416079,[72 55] ; [14 14],[70.46451613 56.53548387] ; [15.53548387 12.46451613],0
p8,1,0.526143,0.401834,[37 88] ; [10 18],[38.39869281 86.60130719] ; [ 8.60130719 19.39869281],0
r2,1,0.64893,0.207252,[90 34] ; [20  6],[90.93333333 33.06666667] ; [19.06666667  6.93333333],0
a6,1,0.673527,0.177504,[67 60] ; [16 12],[68.00645161 58.99354839] ; [14.99354839 13.00645161],0
n6,1,0.703173,0.145192,[90 36] ; [21  7],[90.81818182 35.18181818] ; [20.18181818  7.81818182],0
a4,1,0.707007,0.141284,[36 90] ; [ 9 19],[36.81818182 89.18181818] ; [ 8.18181818 19.81818182],0
b5,1,0.719226,0.129235,[77 50] ; [18 10],[77.83870968 49.16129032] ; [17.16129032 10.83870968],0
v3,1,0.780949,0.07733,[ 26 100] ; [ 6 20],[26.52631579 99.47368421] ; [ 5.47368421 20.52631579],0
d2,1,0.80576,0.060467,[46 79] ; [11 17],[46.56862745 78.43137255] ; [10.43137255 17.56862745],0
d5,1,0.83681,0.042426,[79 48] ; [18 10],[79.47741935 47.52258065] ; [17.52258065 10.47741935],0
p1,1,0.887304,0.020083,[ 10 116] ; [ 2 26],[  9.81818182 116.18181818] ; [ 2.18181818 25.81818182],0
a7,1,0.904932,0.014264,[71 56] ; [16 12],[71.28387097 55.71612903] ; [15.71612903 12.28387097],0
s1,1,0.908958,0.013076,[  4 123] ; [ 1 27],[  4.09677419 122.90322581] ; [ 0.90322581 27.09677419],0
b1,1,0.913055,0.011922,[53 74] ; [12 16],[53.25806452 73.74193548] ; [11.74193548 16.25806452],0
n5,1,0.914451,0.01154,[83 44] ; [18 10],[82.75483871 44.24516129] ; [18.24516129  9.75483871],0
d4,1,0.977541,0.000793,[82 45] ; [18 10],[81.93548387 45.06451613] ; [18.06451613  9.93548387],0
n4,1,0.9934,6.8e-05,[77 50] ; [17 11],[77.01935484 49.98064516] ; [16.98064516 11.01935484],0
