Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.405405,[70  7] ; [4 7],[64.75 12.25] ; [9.25 1.75],1
v4,1,0.000411,12.482375,[71  6] ; [6 5],[67.375  9.625] ; [9.625 1.375],1
p4,1,0.011289,6.41929,[57 20] ; [4 7],[53.375 23.625] ; [7.625 3.375],0
r2,1,0.011363,6.407659,[73  4] ; [8 3],[70.875  6.125] ; [10.125  0.875],0
r1,1,0.029913,4.714286,[59 18] ; [5 6],[56. 21.] ; [8. 3.],0
n6,1,0.034926,4.448798,[57 18] ; [5 6],[54.06976744 20.93023256] ; [7.93023256 3.06976744],0
s6,1,0.037746,4.31642,[56 18] ; [5 6],[53.10588235 20.89411765] ; [7.89411765 3.10588235],0
p6,1,0.057267,3.614827,[37 39] ; [2 9],[34.06896552 41.93103448] ; [4.93103448 6.06896552],0
s7,1,0.057518,3.607547,[38 30] ; [2 7],[35.32467532 32.67532468] ; [4.67532468 4.32467532],0
p2,1,0.072499,3.225505,[61 16] ; [6 5],[58.625 18.375] ; [8.375 2.625],0
s8,1,0.080544,3.053888,[35 41] ; [2 9],[32.32183908 43.67816092] ; [4.67816092 6.32183908],0
d5,1,0.094638,2.793651,[65 12] ; [7 4],[63. 14.] ; [9. 2.],0
v2,1,0.106456,2.606061,[40 35] ; [3 8],[37.5 37.5] ; [5.5 5.5],0
p1,1,0.165395,1.924199,[ 9 67] ; [3 8],[10.48275862 65.51724138] ; [1.51724138 9.48275862],0
a6,1,0.167947,1.901174,[45 32] ; [4 7],[42.875 34.125] ; [6.125 4.875],0
a2,1,0.219139,1.510001,[20 57] ; [ 1 10],[18.375 58.625] ; [2.625 8.375],0
n5,1,0.275555,1.188882,[47 28] ; [5 6],[45.34883721 29.65116279] ; [6.65116279 4.34883721],0
a3,1,0.287534,1.13113,[50 26] ; [9 2],[51.54022989 24.45977011] ; [7.45977011 3.54022989],0
a5,1,0.299246,1.077551,[54 23] ; [6 5],[52.5 24.5] ; [7.5 3.5],0
a7,1,0.299246,1.077551,[54 23] ; [6 5],[52.5 24.5] ; [7.5 3.5],0
b3,1,0.428014,0.628205,[12 30] ; [1 6],[11.14285714 30.85714286] ; [1.85714286 5.14285714],0
b2,1,0.428014,0.628205,[12 30] ; [1 6],[11.14285714 30.85714286] ; [1.85714286 5.14285714],0
s1,1,0.446478,0.579578,[ 3 73] ; [ 1 10],[ 3.49425287 72.50574713] ; [ 0.50574713 10.49425287],0
u1,1,0.453232,0.562557,[14 63] ; [ 1 10],[13.125 63.875] ; [1.875 9.125],0
d4,1,0.453232,0.562557,[63 14] ; [10  1],[63.875 13.125] ; [9.125 1.875],0
n3,1,0.464069,0.536062,[16  3] ; [2 1],[15.54545455  3.45454545] ; [2.45454545 0.54545455],0
a4,1,0.517413,0.419048,[36 41] ; [4 7],[35. 42.] ; [5. 6.],0
s2,1,0.541805,0.372206,[42 34] ; [5 6],[41.05747126 34.94252874] ; [5.94252874 5.05747126],0
p7,1,0.560179,0.339394,[49 28] ; [6 5],[48.125 28.875] ; [6.875 4.125],0
p12,1,0.601571,0.272633,[ 4 73] ; [ 1 10],[ 4.375 72.625] ; [ 0.625 10.375],0
p8,1,0.625512,0.238195,[34 43] ; [4 7],[33.25 43.75] ; [4.75 6.25],0
n2,1,0.637144,0.222497,[15  4] ; [2 1],[14.68181818  4.31818182] ; [2.31818182 0.68181818],0
v1,1,0.656159,0.198223,[40 36] ; [5 6],[39.31034483 36.68965517] ; [5.68965517 5.31034483],0
s4,1,0.685198,0.164333,[18 58] ; [2 9],[17.47126437 58.52873563] ; [2.52873563 8.47126437],0
b5,1,0.72933,0.119728,[53 24] ; [7 4],[52.5 24.5] ; [7.5 3.5],0
a8,1,0.795671,0.067057,[ 8 60] ; [ 1 10],[ 7.74683544 60.25316456] ; [1.25316456 9.74683544],0
p5,1,0.799567,0.064469,[ 9 68] ; [ 1 10],[ 8.75 68.25] ; [1.25 9.75],0
b1,1,0.804933,0.060993,[46 31] ; [7 4],[46.375 30.625] ; [6.625 4.375],0
b4,1,0.804933,0.060993,[46 31] ; [7 4],[46.375 30.625] ; [6.625 4.375],0
n4,1,0.839519,0.04101,[53 23] ; [8 3],[53.28735632 22.71264368] ; [7.71264368 3.28735632],0
d3,1,0.859807,0.031195,[54 23] ; [8 3],[54.25 22.75] ; [7.75 3.25],0
d1,1,0.868554,0.027389,[47 30] ; [7 4],[47.25 29.75] ; [6.75 4.25],0
p10,1,0.905393,0.014126,[40 36] ; [6 5],[40.18390805 35.81609195] ; [5.81609195 5.18390805],0
d2,1,0.935356,0.006578,[43 34] ; [6 5],[42.875 34.125] ; [6.125 4.875],0
p9,1,0.956778,0.002937,[49 27] ; [7 4],[48.91954023 27.08045977] ; [7.08045977 3.91954023],0
s5,1,0.960321,0.002475,[26 44] ; [4 7],[25.92592593 44.07407407] ; [4.07407407 6.92592593],0
v3,1,0.987045,0.000264,[26 46] ; [4 7],[26.02409639 45.97590361] ; [3.97590361 7.02409639],0
s3,1,1.0,0.0,[42 35] ; [6 5],[42. 35.] ; [6. 5.],0
