Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000623,11.705628,[14 11] ; [10 45],[ 7.5 17.5] ; [16.5 38.5],1
p3,1,0.003028,8.790548,[13 13] ; [10 45],[ 7.38271605 18.61728395] ; [15.61728395 39.38271605],0
p8,1,0.003641,8.454892,[10 16] ; [ 6 49],[ 5.13580247 20.86419753] ; [10.86419753 44.13580247],0
s6,1,0.008472,6.930904,[18  8] ; [20 33],[12.50632911 13.49367089] ; [25.49367089 27.50632911],0
p6,1,0.008708,6.881778,[ 9 16] ; [ 6 48],[ 4.74683544 20.25316456] ; [10.25316456 43.74683544],0
r3,1,0.014713,5.950524,[24  2] ; [37 18],[19.58024691  6.41975309] ; [41.41975309 13.58024691],0
a8,1,0.017857,5.610077,[ 4 22] ; [ 1 54],[ 1.60493827 24.39506173] ; [ 3.39506173 51.60493827],0
u3,1,0.025574,4.984615,[8 2] ; [10 16],[5. 5.] ; [13. 13.],0
d5,1,0.041902,4.139152,[19  7] ; [27 28],[14.7654321 11.2345679] ; [31.2345679 23.7654321],0
r4,1,0.045984,3.982173,[21  5] ; [32 23],[17.01234568  8.98765432] ; [35.98765432 19.01234568],0
v4,1,0.074189,3.187824,[22  4] ; [36 19],[18.61728395  7.38271605] ; [39.38271605 15.61728395],0
s2,1,0.079411,3.076923,[14 12] ; [18 36],[10.4 15.6] ; [21.6 32.4],0
p9,1,0.09079,2.860309,[16 10] ; [21 30],[12.49350649 13.50649351] ; [24.50649351 26.49350649],0
n1,1,0.116623,2.462095,[5 1] ; [14 15],[3.25714286 2.74285714] ; [15.74285714 13.25714286],0
d3,1,0.125289,2.349931,[11 15] ; [14 41],[ 8.02469136 17.97530864] ; [16.97530864 38.02469136],0
n3,1,0.125606,2.345985,[6 1] ; [14 12],[4.24242424 2.75757576] ; [15.75757576 10.24242424],0
s8,1,0.146686,2.106384,[12 14] ; [16 38],[ 9.1 16.9] ; [18.9 35.1],0
p1,1,0.211024,1.564385,[ 1 25] ; [ 7 48],[ 2.56790123 23.43209877] ; [ 5.43209877 49.56790123],0
b1,1,0.283005,1.152604,[17  9] ; [29 26],[14.7654321 11.2345679] ; [31.2345679 23.7654321],0
v2,1,0.307434,1.041667,[11 14] ; [16 34],[ 9. 16.] ; [18. 32.],0
d1,1,0.313917,1.014122,[11 15] ; [17 38],[ 8.98765432 17.01234568] ; [19.01234568 35.98765432],0
v3,1,0.370455,0.802139,[ 8 16] ; [12 39],[ 6.4 17.6] ; [13.6 37.4],0
s1,1,0.380467,0.769193,[ 4 21] ; [ 5 49],[ 2.84810127 22.15189873] ; [ 6.15189873 47.84810127],0
s4,1,0.394538,0.72491,[ 4 22] ; [13 42],[ 5.45679012 20.54320988] ; [11.54320988 43.45679012],0
p5,1,0.417909,0.656188,[ 2 23] ; [ 2 52],[ 1.26582278 23.73417722] ; [ 2.73417722 51.26582278],0
v1,1,0.418148,0.655515,[11 14] ; [19 36],[ 9.375 15.625] ; [20.625 34.375],0
a4,1,0.435622,0.607787,[12 14] ; [20 34],[10.4 15.6] ; [21.6 32.4],0
r1,1,0.456239,0.555105,[16 10] ; [29 26],[14.44444444 11.55555556] ; [30.55555556 24.44444444],0
p11,1,0.456239,0.555105,[16 10] ; [29 26],[14.44444444 11.55555556] ; [30.55555556 24.44444444],0
b5,1,0.456239,0.555105,[10 16] ; [26 29],[11.55555556 14.44444444] ; [24.44444444 30.55555556],0
a3,1,0.456239,0.555105,[16 10] ; [29 26],[14.44444444 11.55555556] ; [30.55555556 24.44444444],0
p10,1,0.580202,0.305908,[12 14] ; [21 32],[10.86075949 15.13924051] ; [22.13924051 30.86075949],0
s3,1,0.580202,0.305908,[12 14] ; [21 32],[10.86075949 15.13924051] ; [22.13924051 30.86075949],0
u4,1,0.582943,0.3015,[ 1 25] ; [ 1 54],[ 0.64197531 25.35802469] ; [ 1.35802469 53.64197531],0
u1,1,0.582943,0.3015,[ 1 25] ; [ 1 54],[ 0.64197531 25.35802469] ; [ 1.35802469 53.64197531],0
n4,1,0.600331,0.274497,[14 12] ; [33 22],[15.08641975 10.91358025] ; [31.91358025 23.08641975],0
s5,1,0.600541,0.27418,[ 7 17] ; [12 39],[ 6.08 17.92] ; [12.92 38.08],0
d4,1,0.641589,0.21667,[17  9] ; [33 22],[16.04938272  9.95061728] ; [33.95061728 21.04938272],0
a5,1,0.675363,0.175393,[15 11] ; [29 26],[14.12345679 11.87654321] ; [29.87654321 25.12345679],0
s7,1,0.686645,0.162741,[ 9 16] ; [16 35],[ 8.22368421 16.77631579] ; [16.77631579 34.22368421],0
b3,1,0.728268,0.120707,[ 8 11] ; [16 18],[ 8.60377358 10.39622642] ; [15.39622642 18.60377358],0
b2,1,0.728268,0.120707,[ 8 11] ; [16 18],[ 8.60377358 10.39622642] ; [15.39622642 18.60377358],0
r2,1,0.729701,0.119387,[22  4] ; [44 10],[21.45  4.55] ; [44.55  9.45],0
u2,1,0.752172,0.099715,[4 5] ; [10 16],[3.6 5.4] ; [10.4 15.6],0
d2,1,0.816652,0.053756,[12 14] ; [23 30],[11.51898734 14.48101266] ; [23.48101266 29.51898734],0
n5,1,0.843563,0.038942,[15 11] ; [33 22],[15.40740741 10.59259259] ; [32.59259259 22.40740741],0
a6,1,0.855162,0.03332,[10 16] ; [20 35],[ 9.62962963 16.37037037] ; [20.37037037 34.62962963],0
n6,1,0.855162,0.03332,[16 10] ; [35 20],[16.37037037  9.62962963] ; [34.62962963 20.37037037],0
b4,1,0.939101,0.005837,[13 13] ; [28 27],[13.16049383 12.83950617] ; [27.83950617 27.16049383],0
